日期类型,时段编号,相位,平均每10分钟流量,方向,转向
五一节假日,1,南向北-直行,8.756294902919274,南向北,直行
五一节假日,2,南向北-直行,54.5589708921339,南向北,直行
五一节假日,3,南向北-直行,62.04891599406331,南向北,直行
五一节假日,4,南向北-直行,22.00132887301938,南向北,直行
周末及普通休息日,1,南向北-直行,8.873801919652726,南向北,直行
周末及普通休息日,2,南向北-直行,62.90037712891137,南向北,直行
周末及普通休息日,3,南向北-直行,70.08990699002933,南向北,直行
周末及普通休息日,4,南向北-直行,23.62135978425032,南向北,直行
周末及普通休息日,5,南向北-直行,13.330128423453491,南向北,直行
工作日,1,南向北-直行,7.38740431485595,南向北,直行
工作日,2,南向北-直行,67.75781620251135,南向北,直行
工作日,3,南向北-直行,49.75354817294696,南向北,直行
工作日,4,南向北-直行,62.5526685114033,南向北,直行
工作日,5,南向北-直行,33.52253946340157,南向北,直行
工作日,6,南向北-直行,51.94748651554551,南向北,直行
工作日,7,南向北-直行,19.978545902257306,南向北,直行
工作日,8,南向北-直行,12.2471853690052,南向北,直行
五一节假日,1,南向北-左转,0.39849724165639333,南向北,左转
五一节假日,2,南向北-左转,1.01312392604716,南向北,左转
五一节假日,3,南向北-左转,2.2013921329267676,南向北,左转
五一节假日,4,南向北-左转,1.0334223857653388,南向北,左转
周末及普通休息日,1,南向北-左转,0.7639633039465972,南向北,左转
周末及普通休息日,2,南向北-左转,2.0353109199925696,南向北,左转
周末及普通休息日,3,南向北-左转,4.31725589012198,南向北,左转
周末及普通休息日,4,南向北-左转,2.4953341698808313,南向北,左转
周末及普通休息日,5,南向北-左转,1.4372401305458664,南向北,左转
工作日,1,南向北-左转,0.48229906377347137,南向北,左转
工作日,2,南向北-左转,1.6747708414204843,南向北,左转
工作日,3,南向北-左转,2.8465858831784785,南向北,左转
工作日,4,南向北-左转,3.53297237695068,南向北,左转
工作日,5,南向北-左转,2.8264067250389986,南向北,左转
工作日,6,南向北-左转,3.1341797704540797,南向北,左转
工作日,7,南向北-左转,1.9195269830479549,南向北,左转
工作日,8,南向北-左转,1.1517709306885464,南向北,左转
五一节假日,1,南向北-右转,0.6400796502961272,南向北,右转
五一节假日,2,南向北-右转,2.7679051818189344,南向北,右转
五一节假日,3,南向北-右转,10.971914095232147,南向北,右转
五一节假日,4,南向北-右转,3.193820169786713,南向北,右转
周末及普通休息日,1,南向北-右转,0.6028597764006761,南向北,右转
周末及普通休息日,2,南向北-右转,1.8143119510960601,南向北,右转
周末及普通休息日,3,南向北-右转,6.426170453182032,南向北,右转
周末及普通休息日,4,南向北-右转,3.124972712535516,南向北,右转
周末及普通休息日,5,南向北-右转,1.3576314460006422,南向北,右转
工作日,1,南向北-右转,0.4689693902492962,南向北,右转
工作日,2,南向北-右转,2.3438104715961177,南向北,右转
工作日,3,南向北-右转,1.305663045323838,南向北,右转
工作日,4,南向北-右转,5.042236349497685,南向北,右转
工作日,5,南向北-右转,1.3322132318492874,南向北,右转
工作日,6,南向北-右转,4.819519484751394,南向北,右转
工作日,7,南向北-右转,2.0522376737009536,南向北,右转
工作日,8,南向北-右转,1.354666888712052,南向北,右转
五一节假日,1,北向南-直行,10.725941540852464,北向南,直行
五一节假日,2,北向南-直行,36.918819580965405,北向南,直行
五一节假日,3,北向南-直行,52.28417669544263,北向南,直行
五一节假日,4,北向南-直行,31.66411628547092,北向南,直行
周末及普通休息日,1,北向南-直行,11.047919083360101,北向南,直行
周末及普通休息日,2,北向南-直行,47.909845392824394,北向南,直行
周末及普通休息日,3,北向南-直行,70.1577258367415,北向南,直行
周末及普通休息日,4,北向南-直行,38.37844646800362,北向南,直行
周末及普通休息日,5,北向南-直行,21.120182990201037,北向南,直行
工作日,1,北向南-直行,9.610597848581163,北向南,直行
工作日,2,北向南-直行,60.49314115527998,北向南,直行
工作日,3,北向南-直行,27.233302773526948,北向南,直行
工作日,4,北向南-直行,58.747675111382186,北向南,直行
工作日,5,北向南-直行,34.70178977306586,北向南,直行
工作日,6,北向南-直行,61.667610823774766,北向南,直行
工作日,7,北向南-直行,29.850010492300193,北向南,直行
工作日,8,北向南-直行,16.566527705330557,北向南,直行
五一节假日,1,北向南-左转,4.53696583466144,北向南,左转
五一节假日,2,北向南-左转,19.129754369819302,北向南,左转
五一节假日,3,北向南-左转,39.338166424978944,北向南,左转
五一节假日,4,北向南-左转,15.201690272937782,北向南,左转
周末及普通休息日,1,北向南-左转,3.5516812840199434,北向南,左转
周末及普通休息日,2,北向南-左转,11.976130881670978,北向南,左转
周末及普通休息日,3,北向南-左转,29.132443792636998,北向南,左转
周末及普通休息日,4,北向南-左转,15.149835567026205,北向南,左转
周末及普通休息日,5,北向南-左转,7.35609510546009,北向南,左转
工作日,1,北向南-左转,2.941618046594463,北向南,左转
工作日,2,北向南-左转,12.71129957348543,北向南,左转
工作日,3,北向南-左转,11.013026946288988,北向南,左转
工作日,4,北向南-左转,23.898953587825645,北向南,左转
工作日,5,北向南-左转,21.16557813495632,北向南,左转
工作日,6,北向南-左转,24.782626585225408,北向南,左转
工作日,7,北向南-左转,11.486899503812541,北向南,左转
工作日,8,北向南-左转,6.545365678814529,北向南,左转
五一节假日,1,北向南-右转,2.2806823680758406,北向南,右转
五一节假日,2,北向南-右转,8.271426049215284,北向南,右转
五一节假日,3,北向南-右转,19.23938527464015,北向南,右转
五一节假日,4,北向南-右转,11.205622013019868,北向南,右转
周末及普通休息日,1,北向南-右转,2.6910246326199556,北向南,右转
周末及普通休息日,2,北向南-右转,10.901523725504628,北向南,右转
周末及普通休息日,3,北向南-右转,23.669830370621504,北向南,右转
周末及普通休息日,4,北向南-右转,13.830051298303518,北向南,右转
周末及普通休息日,5,北向南-右转,5.929971904338874,北向南,右转
工作日,1,北向南-右转,2.2052211757625892,北向南,右转
工作日,2,北向南-右转,16.52226734576876,北向南,右转
工作日,3,北向南-右转,18.11598912076378,北向南,右转
工作日,4,北向南-右转,20.640668828498907,北向南,右转
工作日,5,北向南-右转,29.48045817893434,北向南,右转
工作日,6,北向南-右转,22.367944409181646,北向南,右转
工作日,7,北向南-右转,9.989176960409006,北向南,右转
工作日,8,北向南-右转,5.3228892245505675,北向南,右转
