企业代号,企业名称,信誉评级,是否违约,有效销项金额,有效进项金额,月均销项收入,毛利率,有效销项发票数,有效进项发票数,销项作废率,进项作废率,销项负数率,进项负数率,有效经营月份数,最长销项断档月数,销项收入波动系数,客户数,供应商数,客户集中度HHI,供应商集中度HHI,进销匹配差异,经营规模分,经营连续性分,交易真实性分,抗风险能力分,信用基础分,信用得分,风险得分,最大作废率,最大负数率,是否一票否决,一票否决原因,是否高风险池,高风险池原因,风险等级,分级依据指标
E25,***通讯设备有限公司,C,否,37997036.420000,8975529.430000,1117559.894706,0.763783,814,1391,0.167689,0.013475,0.023517,0.004255,34,0,1.116687,233,368,0.049795,0.062934,0.763783,25.516042,84.268233,59.629700,80.541673,60.000000,60.248417,39.751583,0.167689,0.023517,否,,否,,中风险,信用得分=60.25，有效销项金额=37997036.42，毛利率=76.38%，有效经营月份=34，最大作废率=16.77%，最大负数率=2.35%，进销匹配差异=0.76，客户HHI=0.050，供应商HHI=0.063
E26,***金属材料有限公司,A,否,36648003.490000,37078221.160000,1018000.096944,-0.011739,450,758,0.107143,0.041719,0.003968,0.001264,37,0,0.706913,42,117,0.080702,0.085516,0.011739,36.637854,92.959536,84.199326,53.437708,100,69.488744,30.511256,0.107143,0.003968,否,,否,,较低风险,信用得分=69.49，有效销项金额=36648003.49，毛利率=-1.17%，有效经营月份=37，最大作废率=10.71%，最大负数率=0.40%，进销匹配差异=0.01，客户HHI=0.081，供应商HHI=0.086
E27,***农业开发有限公司,A,否,44058220.500000,44272038.460000,1190762.716216,-0.004853,1389,2475,0.053815,0.035088,0.016349,0.008577,37,0,0.516917,177,403,0.065308,0.378742,0.004853,39.536969,95.598376,89.928695,66.845769,100,74.855245,25.144755,0.053815,0.016349,否,,否,,较低风险,信用得分=74.86，有效销项金额=44058220.50，毛利率=-0.49%，有效经营月份=37，最大作废率=5.38%，最大负数率=1.63%，进销匹配差异=0.00，客户HHI=0.065，供应商HHI=0.379
E28,***景观工程有限公司,B,否,49029625.430000,1272115.790000,2042901.059583,0.974054,525,156,0.077329,0.076923,0.000000,0.000000,32,4,0.941747,5,61,0.347824,0.108438,0.974054,20.244590,73.697962,72.128042,38.926335,80.000000,53.618017,46.381983,0.077329,0.000000,否,,否,,中风险,信用得分=53.62，有效销项金额=49029625.43，毛利率=97.41%，有效经营月份=32，最大作废率=7.73%，最大负数率=0.00%，进销匹配差异=0.97，客户HHI=0.348，供应商HHI=0.108
E29,***建筑劳务有限公司,C,是,45171435.470000,160579.420000,3011429.031333,0.996445,469,48,0.012632,0.040000,0.000000,0.000000,24,8,0.861618,3,17,0.403736,0.790905,0.996445,22.194170,52.810868,76.962211,13.426656,35.000000,41.536600,58.463400,0.040000,0.000000,否,,是,历史违约记录；信用得分41.54 < 50,高风险,信用得分=41.54，有效销项金额=45171435.47，毛利率=99.64%，有效经营月份=24，最大作废率=4.00%，最大负数率=0.00%，进销匹配差异=1.00，客户HHI=0.404，供应商HHI=0.791
E30,***建筑工程有限公司,B,否,71493447.690000,21154741.030000,2978893.653750,0.704102,747,740,0.066250,0.018568,0.000000,0.002653,32,2,0.767045,7,169,0.228031,0.638047,0.704102,43.671777,81.124369,78.005330,30.294999,80.000000,60.703150,39.296850,0.066250,0.002653,否,,否,,中风险,信用得分=60.70，有效销项金额=71493447.69，毛利率=70.41%，有效经营月份=32，最大作废率=6.62%，最大负数率=0.27%，进销匹配差异=0.70，客户HHI=0.228，供应商HHI=0.638
E31,***食品有限公司,A,否,47282037.600000,4411556.940000,1277892.908108,0.906697,2501,404,0.041028,0.019417,0.002301,0.002427,37,0,0.372092,151,109,0.065792,0.678635,0.906697,20.381847,97.609839,78.024860,43.311997,100,62.786044,37.213956,0.041028,0.002427,否,,否,,中风险,信用得分=62.79，有效销项金额=47282037.60，毛利率=90.67%，有效经营月份=37，最大作废率=4.10%，最大负数率=0.24%，进销匹配差异=0.91，客户HHI=0.066，供应商HHI=0.679
E32,***建筑劳务有限公司,B,否,44150482.290000,2351999.100000,1522430.423793,0.946728,468,2811,0.152174,0.005308,0.003623,0.002123,35,1,0.902905,10,272,0.553213,0.107264,0.946728,18.534550,86.237434,61.584440,41.267513,80.000000,53.530737,46.469263,0.152174,0.003623,否,,否,,中风险,信用得分=53.53，有效销项金额=44150482.29，毛利率=94.67%，有效经营月份=35，最大作废率=15.22%，最大负数率=0.36%，进销匹配差异=0.95，客户HHI=0.553，供应商HHI=0.107
E33,***园林有限责任公司,B,否,69611432.640000,68636564.720000,2047395.077647,0.014004,912,1133,0.150047,0.123743,0.013048,0.010828,34,0,0.821764,84,240,0.045029,0.046127,0.014004,50.193019,88.364393,76.791269,64.153675,80.000000,70.249686,29.750314,0.150047,0.013048,否,,否,,较低风险,信用得分=70.25，有效销项金额=69611432.64，毛利率=1.40%，有效经营月份=34，最大作废率=15.00%，最大负数率=1.30%，进销匹配差异=0.01，客户HHI=0.045，供应商HHI=0.046
E34,***建设工程有限公司,B,否,90353514.160000,49370789.220000,2581528.976000,0.453582,596,2071,0.157001,0.103075,0.004243,0.019056,37,1,1.393802,64,447,0.290707,0.037379,0.453582,59.754643,80.919418,67.223737,63.283499,80.000000,68.585178,31.414822,0.157001,0.019056,否,,否,,较低风险,信用得分=68.59，有效销项金额=90353514.16，毛利率=45.36%，有效经营月份=37，最大作废率=15.70%，最大负数率=1.91%，进销匹配差异=0.45，客户HHI=0.291，供应商HHI=0.037
E35,***商贸有限公司,B,否,35050115.760000,29957308.160000,947300.425946,0.145301,737,633,0.042857,0.053812,0.002597,0.017937,37,0,0.762516,31,103,0.154507,0.045885,0.145301,41.293733,92.187274,87.233022,50.898466,80.000000,68.748837,31.251163,0.053812,0.017937,否,,否,,较低风险,信用得分=68.75，有效销项金额=35050115.76，毛利率=14.53%，有效经营月份=37，最大作废率=5.38%，最大负数率=1.79%，进销匹配差异=0.15，客户HHI=0.155，供应商HHI=0.046
E36,***超硬材料有限公司,D,是,35208995.920000,19556418.010000,1100281.122500,0.444562,1429,1562,0.076277,0.045232,0.023271,0.003667,32,0,0.386605,198,417,0.029139,0.053804,0.444562,41.959964,91.408257,78.050807,80.664377,0,64.417219,35.582781,0.076277,0.023271,是,信誉评级D,否,,中风险,信用得分=64.42，有效销项金额=35208995.92，毛利率=44.46%，有效经营月份=32，最大作废率=7.63%，最大负数率=2.33%，进销匹配差异=0.44，客户HHI=0.029，供应商HHI=0.054
E37,***木业有限公司,B,否,43448933.420000,43487945.830000,1174295.497838,-0.000898,1184,592,0.069914,0.042071,0.010998,0.003236,37,0,0.672412,276,79,0.024203,0.061906,0.000898,39.676797,93.438721,88.546738,73.214955,80.000000,73.386619,26.613381,0.069914,0.010998,否,,否,,较低风险,信用得分=73.39，有效销项金额=43448933.42，毛利率=-0.09%，有效经营月份=37，最大作废率=6.99%，最大负数率=1.10%，进销匹配差异=0.00，客户HHI=0.024，供应商HHI=0.062
E38,***建设工程有限公司,B,否,48352635.910000,12119875.870000,2014693.162917,0.749344,552,958,0.121019,0.033300,0.006369,0.004036,33,3,0.992345,8,236,0.424663,0.111928,0.749344,32.239237,76.995213,68.988390,43.630211,80.000000,57.431992,42.568008,0.121019,0.006369,否,,否,,中风险,信用得分=57.43，有效销项金额=48352635.91，毛利率=74.93%，有效经营月份=33，最大作废率=12.10%，最大负数率=0.64%，进销匹配差异=0.75，客户HHI=0.425，供应商HHI=0.112
E39,***建筑劳务有限公司,C,否,29171167.310000,350218.910000,1215465.304583,0.987994,236,279,0.106061,0.010638,0.022727,0.000000,30,1,1.023720,2,54,0.944458,0.099733,0.987994,11.790995,77.059450,64.452523,24.366921,60.000000,45.346154,54.653846,0.106061,0.022727,否,,是,信用得分45.35 < 50,高风险,信用得分=45.35，有效销项金额=29171167.31，毛利率=98.80%，有效经营月份=30，最大作废率=10.61%，最大负数率=2.27%，进销匹配差异=0.99，客户HHI=0.944，供应商HHI=0.100
E40,***财税咨询服务有限公司,C,否,33731395.200000,4270659.390000,963754.148571,0.873392,800,3068,0.093998,0.025413,0.047565,0.010801,35,0,1.122357,483,796,0.012953,0.021487,0.873392,17.983726,85.689491,64.421187,99.952332,60.000000,63.729593,36.270407,0.093998,0.047565,否,,否,,中风险,信用得分=63.73，有效销项金额=33731395.20，毛利率=87.34%，有效经营月份=35，最大作废率=9.40%，最大负数率=4.76%，进销匹配差异=0.87，客户HHI=0.013，供应商HHI=0.021
E41,***物业发展有限公司,C,否,32547375.890000,5084164.040000,856509.891842,0.843792,605,1968,0.087481,0.031972,0.027149,0.006394,38,0,0.800242,13,486,0.341506,0.029483,0.843792,18.900341,91.663312,68.913883,59.393024,60.000000,58.164823,41.835177,0.087481,0.027149,否,,否,,中风险,信用得分=58.16，有效销项金额=32547375.89，毛利率=84.38%，有效经营月份=38，最大作废率=8.75%，最大负数率=2.71%，进销匹配差异=0.84，客户HHI=0.342，供应商HHI=0.029
E42,***园艺场,A,否,26235453.610000,10425.630000,1380813.347895,0.999603,294,47,0.100917,0.000000,0.018349,0.000000,22,3,0.862722,28,7,0.081001,0.630247,0.999603,11.209003,62.295531,65.626220,30.423661,100,47.752644,52.247356,0.100917,0.018349,否,,是,信用得分47.75 < 50,高风险,信用得分=47.75，有效销项金额=26235453.61，毛利率=99.96%，有效经营月份=22，最大作废率=10.09%，最大负数率=1.83%，进销匹配差异=1.00，客户HHI=0.081，供应商HHI=0.630
E43,***建设工程有限公司,B,否,18337561.200000,3367877.650000,1410581.630769,0.816340,214,68,0.126531,0.128205,0.020408,0.128205,18,2,0.369006,5,19,0.415211,0.264831,0.816340,19.628040,65.652692,48.534564,30.064708,80.000000,44.184131,55.815869,0.128205,0.128205,否,,是,信用得分44.18 < 50,高风险,信用得分=44.18，有效销项金额=18337561.20，毛利率=81.63%，有效经营月份=18，最大作废率=12.82%，最大负数率=12.82%，进销匹配差异=0.82，客户HHI=0.415，供应商HHI=0.265
E44,***商贸有限公司,C,否,32843928.710000,29879150.640000,887673.748919,0.090269,2242,1222,0.079261,0.020833,0.023409,0.001603,37,0,0.708688,30,211,0.351781,0.052949,0.090269,40.572486,92.934893,83.812495,48.612744,60.000000,65.405773,34.594227,0.079261,0.023409,否,,否,,较低风险,信用得分=65.41，有效销项金额=32843928.71，毛利率=9.03%，有效经营月份=37，最大作废率=7.93%，最大负数率=2.34%，进销匹配差异=0.09，客户HHI=0.352，供应商HHI=0.053
E45,个体经营E45,B,是,24516874.660000,23845376.530000,1114403.393636,0.027389,305,592,0.061538,0.013333,0.021538,0.000000,29,3,0.970178,63,114,0.107982,0.407559,0.027389,37.778664,71.303078,87.674535,43.802424,55.000000,59.884400,40.115600,0.061538,0.021538,否,,是,历史违约记录,高风险,信用得分=59.88，有效销项金额=24516874.66，毛利率=2.74%，有效经营月份=29，最大作废率=6.15%，最大负数率=2.15%，进销匹配差异=0.03，客户HHI=0.108，供应商HHI=0.408
E46,***广告传媒有限公司,C,否,58575368.490000,49609846.300000,1583118.067297,0.153060,889,2492,0.087269,0.020440,0.039014,0.006682,37,0,0.577086,140,437,0.048882,0.078246,0.153060,48.984606,94.762693,79.251642,75.408116,60.000000,72.093224,27.906776,0.087269,0.039014,否,,否,,较低风险,信用得分=72.09，有效销项金额=58575368.49，毛利率=15.31%，有效经营月份=37，最大作废率=8.73%，最大负数率=3.90%，进销匹配差异=0.15，客户HHI=0.049，供应商HHI=0.078
E47,***控制设备有限责任公司,C,否,49623136.130000,41361240.740000,1341165.841351,0.166493,3356,2811,0.046049,0.032358,0.005969,0.003787,37,0,0.362428,760,374,0.019787,0.155983,0.166493,46.057943,97.744061,89.744136,85.434057,60.000000,76.586143,23.413857,0.046049,0.005969,否,,否,,较低风险,信用得分=76.59，有效销项金额=49623136.13，毛利率=16.65%，有效经营月份=37，最大作废率=4.60%，最大负数率=0.60%，进销匹配差异=0.17，客户HHI=0.020，供应商HHI=0.156
E48,***化工有限公司,A,否,50061017.690000,12605373.220000,1390583.824722,0.748200,960,1210,0.055118,0.020243,0.005906,0.004049,38,1,0.711310,59,232,0.063636,0.136741,0.748200,30.090924,90.398477,78.304141,58.329350,100,66.844331,33.155669,0.055118,0.005906,否,,否,,较低风险,信用得分=66.84，有效销项金额=50061017.69，毛利率=74.82%，有效经营月份=38，最大作废率=5.51%，最大负数率=0.59%，进销匹配差异=0.75，客户HHI=0.064，供应商HHI=0.137
E49,***地球环保科技有限公司,C,否,36887103.240000,23269176.610000,1271969.077241,0.369179,461,3518,0.101365,0.026833,0.025341,0.005256,37,3,1.128085,248,713,0.073995,0.087846,0.369179,43.030511,79.609925,75.547173,90.617574,60.000000,69.689921,30.310079,0.101365,0.025341,否,,否,,较低风险,信用得分=69.69，有效销项金额=36887103.24，毛利率=36.92%，有效经营月份=37，最大作废率=10.14%，最大负数率=2.53%，进销匹配差异=0.37，客户HHI=0.074，供应商HHI=0.088
E50,***建筑劳务有限公司,C,否,19113678.350000,1699224.010000,1470282.950000,0.911099,255,186,0.105263,0.055838,0.063158,0.005076,28,9,0.670428,5,66,0.314776,0.460896,0.911099,14.873080,58.966284,59.845240,28.889914,60.000000,42.250819,57.749181,0.105263,0.063158,否,,是,信用得分42.25 < 50,高风险,信用得分=42.25，有效销项金额=19113678.35，毛利率=91.11%，有效经营月份=28，最大作废率=10.53%，最大负数率=6.32%，进销匹配差异=0.91，客户HHI=0.315，供应商HHI=0.461
E51,***物流有限公司,B,否,27726264.060000,20388050.510000,749358.488108,0.264667,834,451,0.068156,0.004415,0.003352,0.008830,37,0,0.583924,129,61,0.110062,0.284688,0.264667,38.899420,94.667720,84.501933,50.827410,80.000000,67.949364,32.050636,0.068156,0.008830,否,,否,,较低风险,信用得分=67.95，有效销项金额=27726264.06，毛利率=26.47%，有效经营月份=37，最大作废率=6.82%，最大负数率=0.88%，进销匹配差异=0.26，客户HHI=0.110，供应商HHI=0.285
E52,***商贸有限公司,D,是,18778556.890000,16298326.870000,782439.870417,0.132078,286,409,0.245383,0.037647,0.013193,0.004706,29,1,1.510336,11,131,0.447942,0.139786,0.132078,37.110016,68.800892,61.356185,38.008433,0,45.978415,54.021585,0.245383,0.013193,是,信誉评级D,否,,高风险,信用得分=45.98，有效销项金额=18778556.89，毛利率=13.21%，有效经营月份=29，最大作废率=24.54%，最大负数率=1.32%，进销匹配差异=0.13，客户HHI=0.448，供应商HHI=0.140
E53,***文化传媒有限公司,C,否,35969165.350000,32639105.100000,1198972.178333,0.092581,396,599,0.127753,0.049206,0.008811,0.001587,32,1,1.027487,43,62,0.077312,0.450486,0.092581,42.531334,80.007128,79.172785,39.716657,60.000000,60.370787,39.629213,0.127753,0.008811,否,,否,,中风险,信用得分=60.37，有效销项金额=35969165.35，毛利率=9.26%，有效经营月份=32，最大作废率=12.78%，最大负数率=0.88%，进销匹配差异=0.09，客户HHI=0.077，供应商HHI=0.450
E54,***新技术开发有限公司,A,否,33674511.370000,7510589.240000,886171.351842,0.776965,3215,1555,0.081691,0.054136,0.010568,0.012165,38,0,0.610734,1110,458,0.016869,0.035688,0.776965,22.910606,94.295358,73.141560,92.668025,100,71.405718,28.594282,0.081691,0.012165,否,,否,,较低风险,信用得分=71.41，有效销项金额=33674511.37，毛利率=77.70%，有效经营月份=38，最大作废率=8.17%，最大负数率=1.22%，进销匹配差异=0.78，客户HHI=0.017，供应商HHI=0.036
