企业代号,企业名称,估计信用等级,信用得分,风险等级,分级依据指标,是否一票否决,一票否决原因,是否高风险池,高风险池原因,是否放贷,初始建议额度_万元,额度上限_万元,最终贷款额度_万元,建议贷款年利率,客户流失率
E138,个体经营E138 ,类B,67.337497,较低风险,信用得分=67.34，有效销项金额=107831741.03，毛利率=80.72%，有效经营月份=36，最大作废率=3.55%，最大负数率=4.81%，进销匹配差异=0.81，客户HHI=0.043，供应商HHI=0.174,否,,否,,放贷,70.603748,80.000000,70.603748,0.070500,0.458295
E139,个体经营E139 ,类A,75.102174,较低风险,信用得分=75.10，有效销项金额=187713527.39，毛利率=99.36%，有效经营月份=36，最大作废率=4.78%，最大负数率=0.42%，进销匹配差异=0.99，客户HHI=0.097，供应商HHI=0.077,否,,否,,放贷,77.591956,80.000000,77.591956,0.074500,0.511097
E140,***建筑工程有限公司,类B,69.436051,较低风险,信用得分=69.44，有效销项金额=182429033.05，毛利率=96.20%，有效经营月份=37，最大作废率=14.08%，最大负数率=2.60%，进销匹配差异=0.96，客户HHI=0.135，供应商HHI=0.118,否,,否,,放贷,72.492446,80.000000,72.492446,0.070500,0.458295
E141,***食品有限公司,类A,79.834524,较低风险,信用得分=79.83，有效销项金额=159374968.20，毛利率=75.42%，有效经营月份=36，最大作废率=5.95%，最大负数率=3.04%，进销匹配差异=0.75，客户HHI=0.016，供应商HHI=0.057,否,,否,,放贷,80,80.000000,80,0.074500,0.511097
E142,***运业有限公司,类B,69.369218,较低风险,信用得分=69.37，有效销项金额=97267679.64，毛利率=49.29%，有效经营月份=37，最大作废率=7.45%，最大负数率=1.51%，进销匹配差异=0.49，客户HHI=0.301，供应商HHI=0.235,否,,否,,放贷,72.432296,80.000000,72.432296,0.070500,0.458295
E143,***电子科技有限公司,类B,69.858474,较低风险,信用得分=69.86，有效销项金额=90439864.44，毛利率=63.83%，有效经营月份=38，最大作废率=4.43%，最大负数率=1.83%，进销匹配差异=0.64，客户HHI=0.386，供应商HHI=0.080,否,,否,,放贷,72.872627,80.000000,72.872627,0.070500,0.458295
E144,***劳务有限公司,类B,64.590880,中风险,信用得分=64.59，有效销项金额=104168305.74，毛利率=91.68%，有效经营月份=30，最大作废率=8.46%，最大负数率=4.26%，进销匹配差异=0.92，客户HHI=0.129，供应商HHI=0.074,否,,否,,放贷,50,50.000000,50,0.106500,0.705316
E145,***工贸有限公司,类A,82.638433,低风险,信用得分=82.64，有效销项金额=117569720.06，毛利率=3.91%，有效经营月份=37，最大作废率=10.00%，最大负数率=1.90%，进销匹配差异=0.04，客户HHI=0.087，供应商HHI=0.149,否,,否,,放贷,84.374590,100.000000,84.374590,0.046500,0.135727
E146,***基础建设工程有限公司,类A,77.037768,较低风险,信用得分=77.04，有效销项金额=131110608.43，毛利率=6.17%，有效经营月份=37，最大作废率=12.16%，最大负数率=2.11%，进销匹配差异=0.06，客户HHI=0.080，供应商HHI=0.369,否,,否,,放贷,79.333991,80.000000,79.333991,0.074500,0.511097
E147,***装饰工程有限责任公司,类A,88.171545,低风险,信用得分=88.17，有效销项金额=187669783.07，毛利率=21.35%，有效经营月份=37，最大作废率=6.48%，最大负数率=1.07%，进销匹配差异=0.21，客户HHI=0.060，供应商HHI=0.051,否,,否,,放贷,89.354390,100.000000,89.354390,0.046500,0.135727
E148,***商贸有限公司,类B,69.373987,较低风险,信用得分=69.37，有效销项金额=80568173.17，毛利率=64.17%，有效经营月份=36，最大作废率=6.41%，最大负数率=0.37%，进销匹配差异=0.64，客户HHI=0.011，供应商HHI=0.478,否,,否,,放贷,72.436589,80.000000,72.436589,0.070500,0.458295
E149,***建筑劳务有限公司,类C,57.386465,中风险,信用得分=57.39，有效销项金额=101240606.26，毛利率=99.44%，有效经营月份=34，最大作废率=6.44%，最大负数率=2.61%，进销匹配差异=0.99，客户HHI=0.231，供应商HHI=0.192,否,,否,,资金不足未放贷,50,50.000000,0.000000,0.110500,0.711101
E150,***建设工程有限公司,类A,78.440739,较低风险,信用得分=78.44，有效销项金额=114258375.14，毛利率=27.18%，有效经营月份=37，最大作废率=11.64%，最大负数率=0.47%，进销匹配差异=0.27，客户HHI=0.074，供应商HHI=0.037,否,,否,,放贷,80,80.000000,80,0.074500,0.511097
E151,***路桥工程有限公司,类C,60.306157,中风险,信用得分=60.31，有效销项金额=102421152.95，毛利率=89.95%，有效经营月份=31，最大作废率=5.41%，最大负数率=0.12%，进销匹配差异=0.90，客户HHI=0.274，供应商HHI=0.278,否,,否,,放贷,50,50.000000,50,0.110500,0.711101
E152,***运贸有限责任公司,类B,62.529331,中风险,信用得分=62.53，有效销项金额=119611727.99，毛利率=94.73%，有效经营月份=37，最大作废率=2.43%，最大负数率=2.52%，进销匹配差异=0.95，客户HHI=0.696，供应商HHI=0.204,否,,否,,放贷,50,50.000000,50,0.106500,0.705316
E153,个体经营E153 ,类C,56.503199,中风险,信用得分=56.50，有效销项金额=241023767.76，毛利率=99.96%，有效经营月份=32，最大作废率=21.13%，最大负数率=0.28%，进销匹配差异=1.00，客户HHI=0.494，供应商HHI=0.452,否,,否,,资金不足未放贷,50,50.000000,0.000000,0.110500,0.711101
E154,***汽车销售服务有限公司,类B,63.125687,中风险,信用得分=63.13，有效销项金额=74457899.33，毛利率=-65.27%，有效经营月份=30，最大作废率=5.56%，最大负数率=2.00%，进销匹配差异=0.65，客户HHI=0.364，供应商HHI=0.387,否,,否,,放贷,50,50.000000,50,0.106500,0.705316
E155,个体经营E155 ,类B,70.331871,较低风险,信用得分=70.33，有效销项金额=78595786.98，毛利率=5.54%，有效经营月份=25，最大作废率=4.56%，最大负数率=2.16%，进销匹配差异=0.06，客户HHI=0.076，供应商HHI=0.165,否,,否,,放贷,73.298684,80.000000,73.298684,0.070500,0.458295
E156,个体经营E156 ,类C,57.520093,中风险,信用得分=57.52，有效销项金额=153867406.21，毛利率=98.61%，有效经营月份=36，最大作废率=13.51%，最大负数率=6.53%，进销匹配差异=0.99，客户HHI=0.179，供应商HHI=0.203,否,,否,,放贷,50,50.000000,37.651566,0.110500,0.711101
E157,***环境设备工程有限公司,类B,66.170379,较低风险,信用得分=66.17，有效销项金额=67116525.76，毛利率=28.62%，有效经营月份=37，最大作废率=8.11%，最大负数率=7.51%，进销匹配差异=0.29，客户HHI=0.203，供应商HHI=0.051,否,,否,,放贷,69.553341,80.000000,69.553341,0.070500,0.458295
E158,***装饰工程有限公司,类B,62.146529,中风险,信用得分=62.15，有效销项金额=79121019.39，毛利率=20.77%，有效经营月份=31，最大作废率=12.88%，最大负数率=1.11%，进销匹配差异=0.21，客户HHI=0.175，供应商HHI=0.826,否,,否,,放贷,50,50.000000,50,0.106500,0.705316
E159,个体经营E159 ,类A,79.224865,较低风险,信用得分=79.22，有效销项金额=103171771.59，毛利率=35.81%，有效经营月份=35，最大作废率=7.91%，最大负数率=0.79%，进销匹配差异=0.36，客户HHI=0.043，供应商HHI=0.042,否,,否,,放贷,80,80.000000,80,0.074500,0.511097
E160,***钢结构工程有限公司,类A,81.471509,低风险,信用得分=81.47，有效销项金额=222833468.58，毛利率=32.61%，有效经营月份=37，最大作废率=16.67%，最大负数率=3.38%，进销匹配差异=0.33，客户HHI=0.218，供应商HHI=0.095,否,,否,,放贷,83.324358,100.000000,83.324358,0.046500,0.135727
E161,***建筑劳务有限责任公司,类B,62.421366,中风险,信用得分=62.42，有效销项金额=153900098.87，毛利率=99.43%，有效经营月份=37，最大作废率=17.65%，最大负数率=1.04%，进销匹配差异=0.99，客户HHI=0.088，供应商HHI=0.143,否,,否,,放贷,50,50.000000,50,0.106500,0.705316
E162,***网络信息安全有限公司,类A,79.283838,较低风险,信用得分=79.28，有效销项金额=136961159.18，毛利率=2.51%，有效经营月份=38，最大作废率=7.83%，最大负数率=5.87%，进销匹配差异=0.03，客户HHI=0.065，供应商HHI=0.052,否,,否,,放贷,80,80.000000,80,0.074500,0.511097
E163,***物流有限公司,类B,68.987954,较低风险,信用得分=68.99，有效销项金额=130693646.52，毛利率=42.52%，有效经营月份=38，最大作废率=15.02%，最大负数率=0.82%，进销匹配差异=0.43，客户HHI=0.582，供应商HHI=0.130,否,,否,,放贷,72.089159,80.000000,72.089159,0.070500,0.458295
E164,个体经营E164 ,类A,76.968177,较低风险,信用得分=76.97，有效销项金额=119829636.73，毛利率=41.07%，有效经营月份=36，最大作废率=12.52%，最大负数率=1.26%，进销匹配差异=0.41，客户HHI=0.041，供应商HHI=0.224,否,,否,,放贷,79.271359,80.000000,79.271359,0.074500,0.511097
E165,***文化传媒股份有限公司,类A,82.210799,低风险,信用得分=82.21，有效销项金额=114219774.23，毛利率=23.90%，有效经营月份=37，最大作废率=9.98%，最大负数率=4.45%，进销匹配差异=0.24，客户HHI=0.040，供应商HHI=0.068,否,,否,,放贷,83.989720,100.000000,83.989720,0.046500,0.135727
E166,***建筑工程有限公司,类D,41.562337,高风险,信用得分=41.56，有效销项金额=77618674.30，毛利率=96.23%，有效经营月份=34，最大作废率=11.13%，最大负数率=16.41%，进销匹配差异=0.96，客户HHI=0.499，供应商HHI=0.237,否,,是,信用得分41.56 < 50；最大负数率16.41% > 15%,资金不足未放贷,30,30.000000,0.000000,0.122500,0.784481
E167,***体育文化股份有限公司,类A,81.575594,低风险,信用得分=81.58，有效销项金额=119627824.72，毛利率=-15.95%，有效经营月份=37，最大作废率=6.77%，最大负数率=1.87%，进销匹配差异=0.16，客户HHI=0.077，供应商HHI=0.107,否,,否,,放贷,83.418034,100.000000,83.418034,0.046500,0.135727
E168,***建材有限公司,类C,53.546518,中风险,信用得分=53.55，有效销项金额=90209902.91，毛利率=98.49%，有效经营月份=30，最大作废率=3.86%，最大负数率=0.00%，进销匹配差异=0.98，客户HHI=0.411，供应商HHI=0.490,否,,否,,资金不足未放贷,50,50.000000,0.000000,0.110500,0.711101
E169,***建筑设计有限公司,类A,82.255953,低风险,信用得分=82.26，有效销项金额=114831443.15，毛利率=34.42%，有效经营月份=37，最大作废率=5.37%，最大负数率=2.01%，进销匹配差异=0.34，客户HHI=0.044，供应商HHI=0.038,否,,否,,放贷,84.030358,100.000000,84.030358,0.046500,0.135727
E170,***建筑劳务有限公司,类B,64.892760,中风险,信用得分=64.89，有效销项金额=71763015.63，毛利率=55.14%，有效经营月份=34，最大作废率=6.24%，最大负数率=4.14%，进销匹配差异=0.55，客户HHI=0.171，供应商HHI=0.101,否,,否,,放贷,50,50.000000,50,0.106500,0.705316
E171,***质量检验测试站,类A,78.725413,较低风险,信用得分=78.73，有效销项金额=104409268.07，毛利率=56.70%，有效经营月份=38，最大作废率=6.59%，最大负数率=1.51%，进销匹配差异=0.57，客户HHI=0.018，供应商HHI=0.109,否,,否,,放贷,80,80.000000,80,0.074500,0.511097
E172,***物流有限公司,类B,69.468968,较低风险,信用得分=69.47，有效销项金额=74903266.59，毛利率=44.91%，有效经营月份=37，最大作废率=8.01%，最大负数率=1.06%，进销匹配差异=0.45，客户HHI=0.120，供应商HHI=0.116,否,,否,,放贷,72.522072,80.000000,72.522072,0.070500,0.458295
E173,***贸易有限责任公司,类A,81.645935,低风险,信用得分=81.65，有效销项金额=106836324.76，毛利率=0.84%，有效经营月份=37，最大作废率=5.24%，最大负数率=1.24%，进销匹配差异=0.01，客户HHI=0.037，供应商HHI=0.246,否,,否,,放贷,83.481341,100.000000,83.481341,0.046500,0.135727
E174,***工程技术有限公司,类A,76.621670,较低风险,信用得分=76.62，有效销项金额=91150036.85，毛利率=17.02%，有效经营月份=34，最大作废率=8.09%，最大负数率=0.40%，进销匹配差异=0.17，客户HHI=0.049，供应商HHI=0.241,否,,否,,放贷,78.959503,80.000000,78.959503,0.074500,0.511097
E175,***食品集团有限公司,类A,74.704265,较低风险,信用得分=74.70，有效销项金额=74001823.99，毛利率=-5.90%，有效经营月份=38，最大作废率=7.69%，最大负数率=1.64%，进销匹配差异=0.06，客户HHI=0.034，供应商HHI=0.434,否,,否,,放贷,77.233838,80.000000,77.233838,0.074500,0.511097
E176,***科技有限公司,类B,67.269619,较低风险,信用得分=67.27，有效销项金额=83492525.80，毛利率=94.86%，有效经营月份=38，最大作废率=10.71%，最大负数率=3.09%，进销匹配差异=0.95，客户HHI=0.107，供应商HHI=0.038,否,,否,,放贷,70.542657,80.000000,70.542657,0.070500,0.458295
E177,***电力工程有限公司,类A,75.784014,较低风险,信用得分=75.78，有效销项金额=97717360.95，毛利率=27.43%，有效经营月份=37，最大作废率=13.92%，最大负数率=1.96%，进销匹配差异=0.27，客户HHI=0.073，供应商HHI=0.110,否,,否,,放贷,78.205613,80.000000,78.205613,0.074500,0.511097
E178,***贸易有限公司,类B,71.392116,较低风险,信用得分=71.39，有效销项金额=78541364.38，毛利率=-2.00%，有效经营月份=37，最大作废率=8.69%，最大负数率=1.97%，进销匹配差异=0.02，客户HHI=0.024，供应商HHI=0.231,否,,否,,放贷,74.252905,80.000000,74.252905,0.070500,0.458295
E179,***园林有限公司,类B,67.627481,较低风险,信用得分=67.63，有效销项金额=60347261.57，毛利率=39.75%，有效经营月份=37，最大作废率=10.81%，最大负数率=3.11%，进销匹配差异=0.40，客户HHI=0.065，供应商HHI=0.040,否,,否,,放贷,70.864733,80.000000,70.864733,0.070500,0.458295
E180,***电气有限公司,类A,78.911399,较低风险,信用得分=78.91，有效销项金额=74087731.47，毛利率=14.84%，有效经营月份=38，最大作废率=4.12%，最大负数率=0.84%，进销匹配差异=0.15，客户HHI=0.022，供应商HHI=0.742,否,,否,,放贷,80,80.000000,80,0.074500,0.511097
E181,***食品有限公司,类B,71.063317,较低风险,信用得分=71.06，有效销项金额=76977567.97，毛利率=-12.30%，有效经营月份=37，最大作废率=6.11%，最大负数率=1.05%，进销匹配差异=0.12，客户HHI=0.530，供应商HHI=0.071,否,,否,,放贷,73.956985,80.000000,73.956985,0.070500,0.458295
E182,***新材料科技有限公司,类A,75.850004,较低风险,信用得分=75.85，有效销项金额=77437981.47，毛利率=5.40%，有效经营月份=37，最大作废率=2.69%，最大负数率=0.00%，进销匹配差异=0.05，客户HHI=0.086，供应商HHI=0.224,否,,否,,放贷,78.265004,80.000000,78.265004,0.074500,0.511097
E183,***建设工程有限公司,类B,62.993445,中风险,信用得分=62.99，有效销项金额=65085708.14，毛利率=60.31%，有效经营月份=37，最大作废率=9.82%，最大负数率=0.89%，进销匹配差异=0.60，客户HHI=0.725，供应商HHI=0.034,否,,否,,放贷,50,50.000000,50,0.106500,0.705316
E184,***建筑装饰工程有限公司,类B,70.265643,较低风险,信用得分=70.27，有效销项金额=53005659.13，毛利率=28.43%，有效经营月份=35，最大作废率=2.82%，最大负数率=3.20%，进销匹配差异=0.28，客户HHI=0.173，供应商HHI=0.041,否,,否,,放贷,73.239079,80.000000,73.239079,0.070500,0.458295
E185,***生态魔芋有限公司,类B,64.677025,中风险,信用得分=64.68，有效销项金额=96329021.71，毛利率=99.27%，有效经营月份=33，最大作废率=1.47%，最大负数率=2.94%，进销匹配差异=0.99，客户HHI=0.096，供应商HHI=0.245,否,,否,,放贷,50,50.000000,50,0.106500,0.705316
E186,***建筑劳务有限公司,类C,55.415853,中风险,信用得分=55.42，有效销项金额=83555221.12，毛利率=96.49%，有效经营月份=35，最大作废率=4.85%，最大负数率=1.11%，进销匹配差异=0.96，客户HHI=0.759，供应商HHI=0.059,否,,否,,资金不足未放贷,50,50.000000,0.000000,0.110500,0.711101
E187,个体经营E187 ,类D,36.397335,高风险,信用得分=36.40，有效销项金额=3403409.07，毛利率=-2062.25%，有效经营月份=25，最大作废率=90.91%，最大负数率=1.08%，进销匹配差异=20.62，客户HHI=0.241，供应商HHI=0.002,是,最大作废率90.91% > 40%；进销匹配差异20.62 > 4,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
E188,***硬质合金有限公司,类A,81.898536,低风险,信用得分=81.90，有效销项金额=80713142.81，毛利率=2.99%，有效经营月份=37，最大作废率=3.94%，最大负数率=0.42%，进销匹配差异=0.03，客户HHI=0.039，供应商HHI=0.068,否,,否,,放贷,83.708682,100.000000,83.708682,0.046500,0.135727
E189,***石油工程技术服务有限公司,类B,70.686479,较低风险,信用得分=70.69，有效销项金额=50709690.27，毛利率=42.22%，有效经营月份=37，最大作废率=5.46%，最大负数率=2.03%，进销匹配差异=0.42，客户HHI=0.139，供应商HHI=0.061,否,,否,,放贷,73.617831,80.000000,73.617831,0.070500,0.458295
E190,***劳务有限公司,类C,57.044594,中风险,信用得分=57.04，有效销项金额=119934393.79，毛利率=98.72%，有效经营月份=36，最大作废率=14.21%，最大负数率=3.49%，进销匹配差异=0.99，客户HHI=0.125，供应商HHI=0.245,否,,否,,资金不足未放贷,50,50.000000,0.000000,0.110500,0.711101
E191,***商贸有限责任公司,类A,81.302318,低风险,信用得分=81.30，有效销项金额=256138436.25，毛利率=-1.85%，有效经营月份=37，最大作废率=4.88%，最大负数率=0.33%，进销匹配差异=0.02，客户HHI=0.359，供应商HHI=0.345,否,,否,,放贷,83.172087,100.000000,83.172087,0.046500,0.135727
E192,***建设工程有限公司,类D,44.720590,高风险,信用得分=44.72，有效销项金额=42118600.17，毛利率=58.90%，有效经营月份=27，最大作废率=20.93%，最大负数率=2.70%，进销匹配差异=0.59，客户HHI=0.391，供应商HHI=0.124,否,,是,信用得分44.72 < 50,资金不足未放贷,30,30.000000,0.000000,0.122500,0.784481
E193,个体经营E193 ,类A,75.276702,较低风险,信用得分=75.28，有效销项金额=122316829.73，毛利率=86.04%，有效经营月份=36，最大作废率=6.91%，最大负数率=1.14%，进销匹配差异=0.86，客户HHI=0.008，供应商HHI=0.118,否,,否,,放贷,77.749032,80.000000,77.749032,0.074500,0.511097
E194,***文化传播有限公司,类B,71.618661,较低风险,信用得分=71.62，有效销项金额=88972764.61，毛利率=87.83%，有效经营月份=34，最大作废率=5.86%，最大负数率=3.35%，进销匹配差异=0.88，客户HHI=0.057，供应商HHI=0.152,否,,否,,放贷,74.456795,80.000000,74.456795,0.070500,0.458295
E195,***医药有限公司,类A,84.254562,低风险,信用得分=84.25，有效销项金额=109903508.15，毛利率=31.26%，有效经营月份=37，最大作废率=4.76%，最大负数率=2.05%，进销匹配差异=0.31，客户HHI=0.054，供应商HHI=0.108,否,,否,,放贷,85.829106,100.000000,85.829106,0.046500,0.135727
E196,***地质制图印刷厂,类A,76.009258,较低风险,信用得分=76.01，有效销项金额=72526203.12，毛利率=41.68%，有效经营月份=38，最大作废率=6.99%，最大负数率=2.94%，进销匹配差异=0.42，客户HHI=0.037，供应商HHI=0.185,否,,否,,放贷,78.408332,80.000000,78.408332,0.074500,0.511097
E197,***医疗设备有限公司,类A,89.136244,低风险,信用得分=89.14，有效销项金额=181712080.29，毛利率=44.39%，有效经营月份=34，最大作废率=6.23%，最大负数率=1.20%，进销匹配差异=0.44，客户HHI=0.039，供应商HHI=0.098,否,,否,,放贷,90.222619,100.000000,90.222619,0.046500,0.135727
E198,***商贸有限公司,类B,65.025020,较低风险,信用得分=65.03，有效销项金额=57406622.72，毛利率=-0.93%，有效经营月份=37，最大作废率=10.01%，最大负数率=6.80%，进销匹配差异=0.01，客户HHI=0.135，供应商HHI=0.077,否,,否,,放贷,68.522518,80.000000,68.522518,0.070500,0.458295
E199,***建筑劳务有限公司,类D,42.386741,高风险,信用得分=42.39，有效销项金额=59575542.09，毛利率=99.73%，有效经营月份=23，最大作废率=2.08%，最大负数率=10.98%，进销匹配差异=1.00，客户HHI=0.371，供应商HHI=0.289,否,,是,信用得分42.39 < 50,资金不足未放贷,30,30.000000,0.000000,0.122500,0.784481
E200,个体经营E200 ,类B,67.285700,较低风险,信用得分=67.29，有效销项金额=47163293.45，毛利率=-0.65%，有效经营月份=36，最大作废率=7.99%，最大负数率=1.96%，进销匹配差异=0.01，客户HHI=0.059，供应商HHI=0.176,否,,否,,放贷,70.557130,80.000000,70.557130,0.070500,0.458295
E201,***物流有限责任公司,类B,68.127018,较低风险,信用得分=68.13，有效销项金额=48047952.48，毛利率=18.39%，有效经营月份=37，最大作废率=10.19%，最大负数率=1.41%，进销匹配差异=0.18，客户HHI=0.078，供应商HHI=0.149,否,,否,,放贷,71.314316,80.000000,71.314316,0.070500,0.458295
E202,个体经营E202 ,类C,56.061585,中风险,信用得分=56.06，有效销项金额=99269637.60，毛利率=89.54%，有效经营月份=36，最大作废率=9.90%，最大负数率=0.50%，进销匹配差异=0.90，客户HHI=0.903，供应商HHI=0.094,否,,否,,资金不足未放贷,50,50.000000,0.000000,0.110500,0.711101
E203,***建设工程有限公司,类B,64.318539,中风险,信用得分=64.32，有效销项金额=47646507.18，毛利率=50.89%，有效经营月份=36，最大作废率=9.26%，最大负数率=0.31%，进销匹配差异=0.51，客户HHI=0.361，供应商HHI=0.087,否,,否,,放贷,50,50.000000,50,0.106500,0.705316
E204,***科技发展有限公司,类A,78.159448,较低风险,信用得分=78.16，有效销项金额=92091768.28，毛利率=37.66%，有效经营月份=37，最大作废率=20.30%，最大负数率=2.08%，进销匹配差异=0.38，客户HHI=0.025，供应商HHI=0.021,否,,否,,放贷,80,80.000000,80,0.074500,0.511097
E205,个体经营E205 ,类B,64.242681,中风险,信用得分=64.24，有效销项金额=74253216.71，毛利率=67.77%，有效经营月份=36，最大作废率=9.27%，最大负数率=0.89%，进销匹配差异=0.68，客户HHI=0.080，供应商HHI=0.398,否,,否,,放贷,50,50.000000,50,0.106500,0.705316
E206,***建设工程有限公司,类A,83.489250,低风险,信用得分=83.49，有效销项金额=96008119.43，毛利率=24.02%，有效经营月份=37，最大作废率=5.19%，最大负数率=0.22%，进销匹配差异=0.24，客户HHI=0.096，供应商HHI=0.037,否,,否,,放贷,85.140325,100.000000,85.140325,0.046500,0.135727
E207,个体经营E207 ,类A,72.573303,较低风险,信用得分=72.57，有效销项金额=120936342.80，毛利率=40.30%，有效经营月份=35，最大作废率=4.46%，最大负数率=0.69%，进销匹配差异=0.40，客户HHI=0.586，供应商HHI=0.082,否,,否,,放贷,75.315973,80.000000,75.315973,0.074500,0.511097
E208,个体经营E208 ,类B,67.649437,较低风险,信用得分=67.65，有效销项金额=75553782.03，毛利率=-0.41%，有效经营月份=36，最大作废率=12.74%，最大负数率=1.95%，进销匹配差异=0.00，客户HHI=0.037，供应商HHI=0.329,否,,否,,放贷,70.884493,80.000000,70.884493,0.070500,0.458295
E209,***工程检测有限公司,类A,75.605973,较低风险,信用得分=75.61，有效销项金额=65700985.17，毛利率=33.04%，有效经营月份=37，最大作废率=17.08%，最大负数率=4.20%，进销匹配差异=0.33，客户HHI=0.014，供应商HHI=0.023,否,,否,,放贷,78.045375,80.000000,78.045375,0.074500,0.511097
E210,***建筑工程有限公司,类C,50.926195,中风险,信用得分=50.93，有效销项金额=53682992.72，毛利率=89.09%，有效经营月份=30，最大作废率=6.70%，最大负数率=0.55%，进销匹配差异=0.89，客户HHI=0.783，供应商HHI=0.112,否,,否,,资金不足未放贷,50,50.000000,0.000000,0.110500,0.711101
E211,个体经营E211 ,类B,64.201688,中风险,信用得分=64.20，有效销项金额=49070943.99，毛利率=55.40%，有效经营月份=36，最大作废率=10.15%，最大负数率=0.92%，进销匹配差异=0.55，客户HHI=0.048，供应商HHI=0.481,否,,否,,放贷,50,50.000000,50,0.106500,0.705316
