企业代号,企业名称,估计信用等级,有效销项金额,有效进项金额,月均销项收入,毛利率,有效销项发票数,有效进项发票数,销项作废率,进项作废率,销项负数率,进项负数率,有效经营月份数,最长销项断档月数,销项收入波动系数,客户数,供应商数,客户集中度HHI,供应商集中度HHI,进销匹配差异,经营规模分,经营连续性分,交易真实性分,抗风险能力分,经营综合预评分,信用基础分,信用得分,风险得分,最大作废率,最大负数率,是否一票否决,一票否决原因,是否高风险池,高风险池原因,风险等级,分级依据指标
E134,***工程咨询有限公司,类A,122815469.980001,3928745.500000,3319337.026487,0.968011,2835,1664,0.076547,0.018289,0.018893,0.004130,37,0,0.787400,1672,581,0.007615,0.109889,0.968011,41.730828,91.841668,69.509319,95.236706,71.904336,90.000000,74.225712,25.774288,0.076547,0.018893,否,,否,,较低风险,信用得分=74.23，有效销项金额=122815469.98，毛利率=96.80%，有效经营月份=37，最大作废率=7.65%，最大负数率=1.89%，进销匹配差异=0.97，客户HHI=0.008，供应商HHI=0.110
E135,***建设工程有限公司,类B,135537558.520000,24565279.450000,3872501.672000,0.818757,367,2847,0.111380,0.015220,0.033898,0.001730,37,2,0.796003,73,364,0.092281,0.050838,0.818757,54.895888,86.722177,64.993792,66.594445,67.716648,75.000000,68.135745,31.864255,0.111380,0.033898,否,,否,,较低风险,信用得分=68.14，有效销项金额=135537558.52，毛利率=81.88%，有效经营月份=37，最大作废率=11.14%，最大负数率=3.39%，进销匹配差异=0.82，客户HHI=0.092，供应商HHI=0.051
E136,***机械有限责任公司,类B,116652185.360000,114520005.260000,4166149.477143,0.018278,1284,1286,0.052399,0.001553,0.002952,0.000776,29,1,0.938048,4,16,0.639820,0.999322,0.018278,69.438803,76.749335,91.901535,5.528124,64.099983,75.000000,64.290576,35.709424,0.052399,0.002952,否,,否,,中风险,信用得分=64.29，有效销项金额=116652185.36，毛利率=1.83%，有效经营月份=29，最大作废率=5.24%，最大负数率=0.30%，进销匹配差异=0.02，客户HHI=0.640，供应商HHI=0.999
E137,***建设工程有限公司,类A,143264372.920000,103268584.529999,4775479.097333,0.279175,231,3141,0.090551,0.042670,0.023622,0.011582,37,2,1.052346,25,675,0.137409,0.038214,0.279175,80.403754,83.161856,78.893970,72.318719,79.098827,90.000000,79.920546,20.079454,0.090551,0.023622,否,,否,,较低风险,信用得分=79.92，有效销项金额=143264372.92，毛利率=27.92%，有效经营月份=37，最大作废率=9.06%，最大负数率=2.36%，进销匹配差异=0.28，客户HHI=0.137，供应商HHI=0.038
E138,个体经营E138 ,类B,107831741.030000,20785662.730000,2995326.139722,0.807240,1439,512,0.035523,0.015385,0.008043,0.048077,36,0,0.612094,118,54,0.042573,0.173865,0.807240,45.936143,94.276476,73.688574,55.380114,66.848128,75.000000,67.337497,32.662503,0.035523,0.048077,否,,否,,较低风险,信用得分=67.34，有效销项金额=107831741.03，毛利率=80.72%，有效经营月份=36，最大作废率=3.55%，最大负数率=4.81%，进销匹配差异=0.81，客户HHI=0.043，供应商HHI=0.174
E139,个体经营E139 ,类A,187713527.390002,1210488.040000,5214264.649722,0.993551,12209,457,0.047808,0.031780,0.002574,0.004237,36,0,0.405477,167,77,0.097390,0.076610,0.993551,62.136407,97.146147,75.284074,61.589120,74.066301,90.000000,75.102174,24.897826,0.047808,0.004237,否,,否,,较低风险,信用得分=75.10，有效销项金额=187713527.39，毛利率=99.36%，有效经营月份=36，最大作废率=4.78%，最大负数率=0.42%，进销匹配差异=0.99，客户HHI=0.097，供应商HHI=0.077
E140,***建筑工程有限公司,类B,182429033.050000,6926522.320000,4930514.406757,0.962032,726,2023,0.140828,0.024590,0.026036,0.008679,37,0,0.806396,20,561,0.135180,0.118147,0.962032,61.545831,91.577831,59.543144,66.741205,69.592234,75.000000,69.436051,30.563949,0.140828,0.026036,否,,否,,较低风险,信用得分=69.44，有效销项金额=182429033.05，毛利率=96.20%，有效经营月份=37，最大作废率=14.08%，最大负数率=2.60%，进销匹配差异=0.96，客户HHI=0.135，供应商HHI=0.118
E141,***食品有限公司,类A,159374968.200000,39177009.150000,4553570.520000,0.754183,4458,1357,0.059494,0.039632,0.030380,0.002123,36,0,0.423897,1183,208,0.015721,0.056889,0.754183,66.363085,96.890317,73.915714,81.933806,78.997194,90.000000,79.834524,20.165476,0.059494,0.030380,否,,否,,较低风险,信用得分=79.83，有效销项金额=159374968.20，毛利率=75.42%，有效经营月份=36，最大作废率=5.95%，最大负数率=3.04%，进销匹配差异=0.75，客户HHI=0.016，供应商HHI=0.057
E142,***运业有限公司,类B,97267679.639999,49328650.860000,2628856.206486,0.492857,1366,704,0.074526,0.031637,0.006775,0.015131,37,0,0.617628,66,96,0.300534,0.234734,0.492857,59.296253,94.199606,78.671802,42.686416,69.544011,75.000000,69.369218,30.630782,0.074526,0.015131,否,,否,,较低风险,信用得分=69.37，有效销项金额=97267679.64，毛利率=49.29%，有效经营月份=37，最大作废率=7.45%，最大负数率=1.51%，进销匹配差异=0.49，客户HHI=0.301，供应商HHI=0.235
E143,***电子科技有限公司,类B,90439864.439999,32709212.260000,2512218.456667,0.638332,1099,3579,0.044348,0.036349,0.018261,0.012116,38,1,1.153794,76,598,0.385517,0.079589,0.638332,49.409609,84.252857,79.881365,65.925797,69.041598,75.000000,69.858474,30.141526,0.044348,0.018261,否,,否,,较低风险,信用得分=69.86，有效销项金额=90439864.44，毛利率=63.83%，有效经营月份=38，最大作废率=4.43%，最大负数率=1.83%，进销匹配差异=0.64，客户HHI=0.386，供应商HHI=0.080
E144,***劳务有限公司,类B,104168305.739999,8662197.310000,3858085.397778,0.916844,1245,2434,0.084559,0.017756,0.042647,0.004439,30,1,0.941485,28,671,0.128593,0.074268,0.916844,42.733574,78.201599,65.719932,71.685920,63.137639,75.000000,64.590880,35.409120,0.084559,0.042647,否,,否,,中风险,信用得分=64.59，有效销项金额=104168305.74，毛利率=91.68%，有效经营月份=30，最大作废率=8.46%，最大负数率=4.26%，进销匹配差异=0.92，客户HHI=0.129，供应商HHI=0.074
E145,***工贸有限公司,类A,117569720.060000,112976762.780000,3177560.001622,0.039066,3844,2916,0.099977,0.024096,0.018965,0.006024,37,0,0.394762,394,377,0.087159,0.148676,0.039066,67.333817,97.294974,82.474859,83.636347,81.869873,90.000000,82.638433,17.361567,0.099977,0.018965,否,,否,,低风险,信用得分=82.64，有效销项金额=117569720.06，毛利率=3.91%，有效经营月份=37，最大作废率=10.00%，最大负数率=1.90%，进销匹配差异=0.04，客户HHI=0.087，供应商HHI=0.149
E146,***基础建设工程有限公司,类A,131110608.430000,123019829.789999,3543529.957568,0.061710,1416,3170,0.121588,0.024615,0.021092,0.002462,37,0,0.622431,63,383,0.079834,0.368785,0.061710,72.697818,94.132900,78.733978,56.766192,76.379303,90.000000,77.037768,22.962232,0.121588,0.021092,否,,否,,较低风险,信用得分=77.04，有效销项金额=131110608.43，毛利率=6.17%，有效经营月份=37，最大作废率=12.16%，最大负数率=2.11%，进销匹配差异=0.06，客户HHI=0.080，供应商HHI=0.369
E147,***装饰工程有限责任公司,类A,187669783.070002,147605710.199996,5213049.529722,0.213482,2314,5603,0.024040,0.064764,0.010122,0.010683,37,1,0.728524,145,733,0.060312,0.050908,0.213482,91.770229,90.159383,85.594732,83.992138,88.268025,90.000000,88.171545,11.828455,0.064764,0.010683,否,,否,,低风险,信用得分=88.17，有效销项金额=187669783.07，毛利率=21.35%，有效经营月份=37，最大作废率=6.48%，最大负数率=1.07%，进销匹配差异=0.21，客户HHI=0.060，供应商HHI=0.051
E148,***商贸有限公司,类B,80568173.170000,28869945.280000,4739304.304118,0.641671,270,511,0.039146,0.064103,0.003559,0.003663,36,2,0.927241,186,134,0.011078,0.477567,0.641671,56.303599,84.899424,79.246955,55.032320,68.934138,75.000000,69.373987,30.626013,0.064103,0.003663,否,,否,,较低风险,信用得分=69.37，有效销项金额=80568173.17，毛利率=64.17%，有效经营月份=36，最大作废率=6.41%，最大负数率=0.37%，进销匹配差异=0.64，客户HHI=0.011，供应商HHI=0.478
E149,***建筑劳务有限公司,类C,101240606.260001,566820.350000,3893869.471538,0.994401,1147,285,0.064437,0.027304,0.026101,0.000000,34,3,0.885443,10,109,0.230663,0.191524,0.994401,38.020815,79.979956,69.661600,42.349351,57.286504,60.000000,57.386465,42.613535,0.064437,0.026101,否,,否,,中风险,信用得分=57.39，有效销项金额=101240606.26，毛利率=99.44%，有效经营月份=34，最大作废率=6.44%，最大负数率=2.61%，进销匹配差异=0.99，客户HHI=0.231，供应商HHI=0.192
E150,***建设工程有限公司,类A,114258375.140000,83207437.350000,3173843.753889,0.271761,410,3268,0.116379,0.032850,0.002155,0.004735,37,1,0.804099,126,463,0.073720,0.036822,0.271761,67.542881,89.109733,78.240815,75.864343,77.273370,90.000000,78.440739,21.559261,0.116379,0.004735,否,,否,,较低风险,信用得分=78.44，有效销项金额=114258375.14，毛利率=27.18%，有效经营月份=37，最大作废率=11.64%，最大负数率=0.47%，进销匹配差异=0.27，客户HHI=0.074，供应商HHI=0.037
E151,***路桥工程有限公司,类C,102421152.950000,10289917.700000,4453093.606522,0.899533,140,781,0.054054,0.024969,0.000000,0.001248,31,2,0.856002,5,172,0.274239,0.278050,0.899533,45.759957,78.388861,76.503334,40.312808,60.513598,60.000000,60.306157,39.693843,0.054054,0.001248,否,,否,,中风险,信用得分=60.31，有效销项金额=102421152.95，毛利率=89.95%，有效经营月份=31，最大作废率=5.41%，最大负数率=0.12%，进销匹配差异=0.90，客户HHI=0.274，供应商HHI=0.278
E152,***运贸有限责任公司,类B,119611727.990000,6302403.630000,3232749.405135,0.947309,1488,891,0.024262,0.023026,0.005902,0.025219,37,0,0.302437,15,148,0.696124,0.203977,0.947309,41.812633,98.577270,76.242468,29.000510,62.048827,75.000000,62.529331,37.470669,0.024262,0.025219,否,,否,,中风险,信用得分=62.53，有效销项金额=119611727.99，毛利率=94.73%，有效经营月份=37，最大作废率=2.43%，最大负数率=2.52%，进销匹配差异=0.95，客户HHI=0.696，供应商HHI=0.204
E153,个体经营E153 ,类C,241023767.760000,87916.360000,8311164.405517,0.999635,280,71,0.211268,0.000000,0.002817,0.000000,32,2,1.051019,6,33,0.494476,0.451701,0.999635,70.019896,77.180288,52.506383,22.177857,57.863208,60.000000,56.503199,43.496801,0.211268,0.002817,否,,否,,中风险,信用得分=56.50，有效销项金额=241023767.76，毛利率=99.96%，有效经营月份=32，最大作废率=21.13%，最大负数率=0.28%，进销匹配差异=1.00，客户HHI=0.494，供应商HHI=0.452
E154,***汽车销售服务有限公司,类B,74457899.330000,123056747.009999,2481929.977667,-0.652702,1816,2657,0.055642,0.014466,0.013001,0.020030,30,0,0.611105,303,300,0.364127,0.386617,0.652702,26.116857,85.290212,77.783346,62.962969,61.196040,75.000000,63.125687,36.874313,0.055642,0.020030,否,,否,,中风险,信用得分=63.13，有效销项金额=74457899.33，毛利率=-65.27%，有效经营月份=30，最大作废率=5.56%，最大负数率=2.00%，进销匹配差异=0.65，客户HHI=0.364，供应商HHI=0.387
E155,个体经营E155 ,类B,78595786.980000,74244539.660000,3143831.479200,0.055362,1045,398,0.035088,0.045564,0.008310,0.021583,25,0,0.580139,56,50,0.075685,0.164519,0.055362,59.742183,78.220298,89.414852,49.492766,69.729995,75.000000,70.331871,29.668129,0.045564,0.021583,否,,否,,较低风险,信用得分=70.33，有效销项金额=78595786.98，毛利率=5.54%，有效经营月份=25，最大作废率=4.56%，最大负数率=2.16%，进销匹配差异=0.06，客户HHI=0.076，供应商HHI=0.165
E156,个体经营E156 ,类C,153867406.210000,2141865.020000,4525511.947353,0.986080,384,592,0.135135,0.031097,0.065315,0.018003,36,2,1.463296,32,151,0.178671,0.203084,0.986080,52.412715,77.454217,54.027387,47.096119,58.013439,60.000000,57.520093,42.479907,0.135135,0.065315,否,,否,,中风险,信用得分=57.52，有效销项金额=153867406.21，毛利率=98.61%，有效经营月份=36，最大作废率=13.51%，最大负数率=6.53%，进销匹配差异=0.99，客户HHI=0.179，供应商HHI=0.203
E157,***环境设备工程有限公司,类B,67116525.759999,47908999.590000,1974015.463529,0.286182,918,1472,0.081081,0.052157,0.075075,0.007727,37,2,1.607236,87,307,0.202763,0.051051,0.286182,52.438139,75.455049,72.379206,61.875166,65.065039,75.000000,66.170379,33.829621,0.081081,0.075075,否,,否,,较低风险,信用得分=66.17，有效销项金额=67116525.76，毛利率=28.62%，有效经营月份=37，最大作废率=8.11%，最大负数率=7.51%，进销匹配差异=0.29，客户HHI=0.203，供应商HHI=0.051
E158,***装饰工程有限公司,类B,79121019.390001,62683706.160000,2825750.692500,0.207749,859,1099,0.128803,0.063884,0.000000,0.011073,31,1,1.506759,9,303,0.174574,0.826378,0.207749,58.541112,71.850570,76.670950,32.366999,61.166113,75.000000,62.146529,37.853471,0.128803,0.011073,否,,否,,中风险,信用得分=62.15，有效销项金额=79121019.39，毛利率=20.77%，有效经营月份=31，最大作废率=12.88%，最大负数率=1.11%，进销匹配差异=0.21，客户HHI=0.175，供应商HHI=0.826
E159,个体经营E159 ,类A,103171771.590000,66228852.230000,2947764.902571,0.358072,233,4472,0.079051,0.045260,0.007905,0.002989,35,1,0.678497,80,1037,0.042599,0.041974,0.358072,64.222355,89.354203,81.480776,79.641208,77.903693,90.000000,79.224865,20.775135,0.079051,0.007905,否,,否,,较低风险,信用得分=79.22，有效销项金额=103171771.59，毛利率=35.81%，有效经营月份=35，最大作废率=7.91%，最大负数率=0.79%，进销匹配差异=0.36，客户HHI=0.043，供应商HHI=0.042
E160,***钢结构工程有限公司,类A,222833468.579998,150164582.909999,6022526.177838,0.326113,2814,4245,0.166716,0.031706,0.033758,0.002965,37,0,0.752039,65,424,0.217512,0.094994,0.326113,99.780360,92.332793,65.889114,62.937909,82.077166,90.000000,81.471509,18.528491,0.166716,0.033758,否,,否,,低风险,信用得分=81.47，有效销项金额=222833468.58，毛利率=32.61%，有效经营月份=37，最大作废率=16.67%，最大负数率=3.38%，进销匹配差异=0.33，客户HHI=0.218，供应商HHI=0.095
E161,***建筑劳务有限责任公司,类B,153900098.870000,879826.760000,4663639.359697,0.994283,238,246,0.176471,0.008065,0.010381,0.000000,37,1,0.890082,21,140,0.088263,0.143158,0.994283,52.542963,87.915524,56.337069,50.591265,61.944290,75.000000,62.421366,37.578634,0.176471,0.010381,否,,否,,中风险,信用得分=62.42，有效销项金额=153900098.87，毛利率=99.43%，有效经营月份=37，最大作废率=17.65%，最大负数率=1.04%，进销匹配差异=0.99，客户HHI=0.088，供应商HHI=0.143
E162,***网络信息安全有限公司,类A,136961159.180000,133517857.640000,3804476.643889,0.025141,471,9820,0.078278,0.052398,0.058708,0.023545,38,1,1.434123,100,1277,0.065362,0.052194,0.025141,72.904494,80.359402,79.794871,80.185581,77.947032,90.000000,79.283838,20.716162,0.078278,0.058708,否,,否,,较低风险,信用得分=79.28，有效销项金额=136961159.18，毛利率=2.51%，有效经营月份=38，最大作废率=7.83%，最大负数率=5.87%，进销匹配差异=0.03，客户HHI=0.065，供应商HHI=0.052
E163,***物流有限公司,类B,130693646.520000,75117230.539999,3630379.070000,0.425242,928,2576,0.150183,0.021648,0.008242,0.003798,38,1,0.889786,23,267,0.581995,0.130471,0.425242,72.966875,87.919634,70.296362,40.441090,69.532279,75.000000,68.987954,31.012046,0.150183,0.008242,否,,否,,较低风险,信用得分=68.99，有效销项金额=130693646.52，毛利率=42.52%，有效经营月份=38，最大作废率=15.02%，最大负数率=0.82%，进销匹配差异=0.43，客户HHI=0.582，供应商HHI=0.130
E164,个体经营E164 ,类A,119829636.730000,70610100.740000,3328601.020278,0.410746,1453,4099,0.125226,0.022651,0.012643,0.009061,36,0,0.766524,85,503,0.040809,0.223781,0.410746,69.381518,92.131616,73.383891,69.252507,76.043833,90.000000,76.968177,23.031823,0.125226,0.012643,否,,否,,较低风险,信用得分=76.97，有效销项金额=119829636.73，毛利率=41.07%，有效经营月份=36，最大作废率=12.52%，最大负数率=1.26%，进销匹配差异=0.41，客户HHI=0.041，供应商HHI=0.224
E165,***文化传媒股份有限公司,类A,114219774.230001,86924609.020000,3087020.925135,0.238971,2346,4147,0.099770,0.041156,0.044513,0.011098,37,0,0.491662,246,918,0.040043,0.068418,0.238971,67.175868,95.949142,75.173349,92.168334,81.367050,90.000000,82.210799,17.789201,0.099770,0.044513,否,,否,,低风险,信用得分=82.21，有效销项金额=114219774.23，毛利率=23.90%，有效经营月份=37，最大作废率=9.98%，最大负数率=4.45%，进销匹配差异=0.24，客户HHI=0.040，供应商HHI=0.068
E166,***建筑工程有限公司,类D,77618674.300001,2927643.390000,2587289.143333,0.962282,1397,168,0.111323,0.017544,0.164122,0.000000,34,3,1.507952,14,73,0.498903,0.236909,0.962282,29.289889,71.334003,42.956508,31.169687,43.593532,30.000000,41.562337,58.437663,0.111323,0.164122,否,,是,信用得分41.56 < 50；最大负数率16.41% > 15%,高风险,信用得分=41.56，有效销项金额=77618674.30，毛利率=96.23%，有效经营月份=34，最大作废率=11.13%，最大负数率=16.41%，进销匹配差异=0.96，客户HHI=0.499，供应商HHI=0.237
E167,***体育文化股份有限公司,类A,119627824.720000,138709711.309999,3233184.451892,-0.159510,4642,7071,0.067684,0.031104,0.018678,0.013428,37,0,0.373934,2466,1095,0.076564,0.107029,0.159510,50.985830,97.584255,84.931002,95.397673,80.004098,90.000000,81.575594,18.424406,0.067684,0.018678,否,,否,,低风险,信用得分=81.58，有效销项金额=119627824.72，毛利率=-15.95%，有效经营月份=37，最大作废率=6.77%，最大负数率=1.87%，进销匹配差异=0.16，客户HHI=0.077，供应商HHI=0.107
E168,***建材有限公司,类C,90209902.910000,1361564.030000,3110686.307241,0.984907,399,461,0.038554,0.000000,0.000000,0.000000,30,3,0.684647,12,8,0.410706,0.490479,0.984907,32.928562,76.768790,77.366542,23.094921,53.031386,60.000000,53.546518,46.453482,0.038554,0.000000,否,,否,,中风险,信用得分=53.55，有效销项金额=90209902.91，毛利率=98.49%，有效经营月份=30，最大作废率=3.86%，最大负数率=0.00%，进销匹配差异=0.98，客户HHI=0.411，供应商HHI=0.490
E169,***建筑设计有限公司,类A,114831443.150001,75301296.530000,3103552.517568,0.344245,1410,5811,0.053691,0.037276,0.020134,0.004639,37,0,0.866708,171,1016,0.044147,0.037521,0.344245,67.375835,90.740163,83.438800,87.021307,81.161753,90.000000,82.255953,17.744047,0.053691,0.020134,否,,否,,低风险,信用得分=82.26，有效销项金额=114831443.15，毛利率=34.42%，有效经营月份=37，最大作废率=5.37%，最大负数率=2.01%，进销匹配差异=0.34，客户HHI=0.044，供应商HHI=0.038
E170,***建筑劳务有限公司,类B,71763015.630000,32194310.400000,2657889.467778,0.551380,786,1247,0.012563,0.062406,0.018844,0.041353,34,5,0.725855,11,230,0.171303,0.101427,0.551380,50.733896,77.196461,75.410997,52.086223,63.789278,75.000000,64.892760,35.107240,0.062406,0.041353,否,,否,,中风险,信用得分=64.89，有效销项金额=71763015.63，毛利率=55.14%，有效经营月份=34，最大作废率=6.24%，最大负数率=4.14%，进销匹配差异=0.55，客户HHI=0.171，供应商HHI=0.101
E171,***质量检验测试站,类A,104409268.070001,45206539.150000,2821872.110000,0.567026,7013,1823,0.065930,0.052002,0.015051,0.004160,38,0,0.673016,1439,325,0.018243,0.108714,0.567026,57.585404,93.430334,78.589305,84.978345,77.276200,90.000000,78.725413,21.274587,0.065930,0.015051,否,,否,,较低风险,信用得分=78.73，有效销项金额=104409268.07，毛利率=56.70%，有效经营月份=38，最大作废率=6.59%，最大负数率=1.51%，进销匹配差异=0.57，客户HHI=0.018，供应商HHI=0.109
E172,***物流有限公司,类B,74903266.590000,41265979.180000,2024412.610541,0.449076,1171,464,0.080126,0.014862,0.000000,0.010616,37,0,0.920872,94,53,0.119756,0.116285,0.449076,54.322520,89.987884,79.331211,52.789795,69.184489,75.000000,69.468968,30.531032,0.080126,0.010616,否,,否,,较低风险,信用得分=69.47，有效销项金额=74903266.59，毛利率=44.91%，有效经营月份=37，最大作废率=8.01%，最大负数率=1.06%，进销匹配差异=0.45，客户HHI=0.120，供应商HHI=0.116
E173,***贸易有限责任公司,类A,106836324.760001,105941230.410000,2887468.236757,0.008378,2370,1314,0.052379,0.026667,0.012395,0.004444,37,0,0.326910,342,204,0.036754,0.246056,0.008378,61.194488,98.237355,90.661059,75.172885,80.617527,90.000000,81.645935,18.354065,0.052379,0.012395,否,,否,,低风险,信用得分=81.65，有效销项金额=106836324.76，毛利率=0.84%，有效经营月份=37，最大作废率=5.24%，最大负数率=1.24%，进销匹配差异=0.01，客户HHI=0.037，供应商HHI=0.246
E174,***工程技术有限公司,类A,91150036.850000,75632024.770000,2762122.328788,0.170247,1148,2319,0.080865,0.033347,0.004003,0.002501,34,0,0.690537,83,433,0.049437,0.240552,0.170247,60.867593,90.186986,85.099142,65.462946,75.174399,90.000000,76.621670,23.378330,0.080865,0.004003,否,,否,,较低风险,信用得分=76.62，有效销项金额=91150036.85，毛利率=17.02%，有效经营月份=34，最大作废率=8.09%，最大负数率=0.40%，进销匹配差异=0.17，客户HHI=0.049，供应商HHI=0.241
E175,***食品集团有限公司,类A,74001823.990000,78364272.390000,2466727.466333,-0.058951,3771,3930,0.076867,0.039589,0.016157,0.016373,38,3,1.246690,1788,599,0.034426,0.434367,0.058951,46.617255,77.962646,85.751032,85.098321,71.933260,90.000000,74.704265,25.295735,0.076867,0.016373,否,,否,,较低风险,信用得分=74.70，有效销项金额=74001823.99，毛利率=-5.90%，有效经营月份=38，最大作废率=7.69%，最大负数率=1.64%，进销匹配差异=0.06，客户HHI=0.034，供应商HHI=0.434
E176,***科技有限公司,类B,83492525.800000,4288780.690000,2197171.731579,0.948633,1935,3163,0.107060,0.020440,0.030918,0.005265,38,0,0.378525,165,868,0.107080,0.038171,0.948633,29.687032,97.520485,63.772715,84.502924,66.129995,75.000000,67.269619,32.730381,0.107060,0.030918,否,,否,,较低风险,信用得分=67.27，有效销项金额=83492525.80，毛利率=94.86%，有效经营月份=38，最大作废率=10.71%，最大负数率=3.09%，进销匹配差异=0.95，客户HHI=0.107，供应商HHI=0.038
