企业代号,企业名称,估计信用等级,有效销项金额,有效进项金额,月均销项收入,毛利率,有效销项发票数,有效进项发票数,销项作废率,进项作废率,销项负数率,进项负数率,有效经营月份数,最长销项断档月数,销项收入波动系数,客户数,供应商数,客户集中度HHI,供应商集中度HHI,进销匹配差异
E150,***建设工程有限公司,类A,114258375.140000,83207437.350000,3173843.753889,0.271761,410,3268,0.116379,0.032850,0.002155,0.004735,37,1,0.804099,126,463,0.073720,0.036822,0.271761
E151,***路桥工程有限公司,类C,102421152.950000,10289917.700000,4453093.606522,0.899533,140,781,0.054054,0.024969,0.000000,0.001248,31,2,0.856002,5,172,0.274239,0.278050,0.899533
E152,***运贸有限责任公司,类B,119611727.990000,6302403.630000,3232749.405135,0.947309,1488,891,0.024262,0.023026,0.005902,0.025219,37,0,0.302437,15,148,0.696124,0.203977,0.947309
E153,个体经营E153 ,类C,241023767.760000,87916.360000,8311164.405517,0.999635,280,71,0.211268,0.000000,0.002817,0.000000,32,2,1.051019,6,33,0.494476,0.451701,0.999635
E154,***汽车销售服务有限公司,类B,74457899.330000,123056747.009999,2481929.977667,-0.652702,1816,2657,0.055642,0.014466,0.013001,0.020030,30,0,0.611105,303,300,0.364127,0.386617,0.652702
E155,个体经营E155 ,类B,78595786.980000,74244539.660000,3143831.479200,0.055362,1045,398,0.035088,0.045564,0.008310,0.021583,25,0,0.580139,56,50,0.075685,0.164519,0.055362
E156,个体经营E156 ,类C,153867406.210000,2141865.020000,4525511.947353,0.986080,384,592,0.135135,0.031097,0.065315,0.018003,36,2,1.463296,32,151,0.178671,0.203084,0.986080
E157,***环境设备工程有限公司,类B,67116525.759999,47908999.590000,1974015.463529,0.286182,918,1472,0.081081,0.052157,0.075075,0.007727,37,2,1.607236,87,307,0.202763,0.051051,0.286182
E158,***装饰工程有限公司,类B,79121019.390001,62683706.160000,2825750.692500,0.207749,859,1099,0.128803,0.063884,0.000000,0.011073,31,1,1.506759,9,303,0.174574,0.826378,0.207749
E159,个体经营E159 ,类A,103171771.590000,66228852.230000,2947764.902571,0.358072,233,4472,0.079051,0.045260,0.007905,0.002989,35,1,0.678497,80,1037,0.042599,0.041974,0.358072
E160,***钢结构工程有限公司,类A,222833468.579998,150164582.909999,6022526.177838,0.326113,2814,4245,0.166716,0.031706,0.033758,0.002965,37,0,0.752039,65,424,0.217512,0.094994,0.326113
E161,***建筑劳务有限责任公司,类B,153900098.870000,879826.760000,4663639.359697,0.994283,238,246,0.176471,0.008065,0.010381,0.000000,37,1,0.890082,21,140,0.088263,0.143158,0.994283
E162,***网络信息安全有限公司,类A,136961159.180000,133517857.640000,3804476.643889,0.025141,471,9820,0.078278,0.052398,0.058708,0.023545,38,1,1.434123,100,1277,0.065362,0.052194,0.025141
E163,***物流有限公司,类B,130693646.520000,75117230.539999,3630379.070000,0.425242,928,2576,0.150183,0.021648,0.008242,0.003798,38,1,0.889786,23,267,0.581995,0.130471,0.425242
E164,个体经营E164 ,类A,119829636.730000,70610100.740000,3328601.020278,0.410746,1453,4099,0.125226,0.022651,0.012643,0.009061,36,0,0.766524,85,503,0.040809,0.223781,0.410746
E165,***文化传媒股份有限公司,类A,114219774.230001,86924609.020000,3087020.925135,0.238971,2346,4147,0.099770,0.041156,0.044513,0.011098,37,0,0.491662,246,918,0.040043,0.068418,0.238971
E166,***建筑工程有限公司,类D,77618674.300001,2927643.390000,2587289.143333,0.962282,1397,168,0.111323,0.017544,0.164122,0.000000,34,3,1.507952,14,73,0.498903,0.236909,0.962282
E167,***体育文化股份有限公司,类A,119627824.720000,138709711.309999,3233184.451892,-0.159510,4642,7071,0.067684,0.031104,0.018678,0.013428,37,0,0.373934,2466,1095,0.076564,0.107029,0.159510
E168,***建材有限公司,类C,90209902.910000,1361564.030000,3110686.307241,0.984907,399,461,0.038554,0.000000,0.000000,0.000000,30,3,0.684647,12,8,0.410706,0.490479,0.984907
E169,***建筑设计有限公司,类A,114831443.150001,75301296.530000,3103552.517568,0.344245,1410,5811,0.053691,0.037276,0.020134,0.004639,37,0,0.866708,171,1016,0.044147,0.037521,0.344245
E170,***建筑劳务有限公司,类B,71763015.630000,32194310.400000,2657889.467778,0.551380,786,1247,0.012563,0.062406,0.018844,0.041353,34,5,0.725855,11,230,0.171303,0.101427,0.551380
E171,***质量检验测试站,类A,104409268.070001,45206539.150000,2821872.110000,0.567026,7013,1823,0.065930,0.052002,0.015051,0.004160,38,0,0.673016,1439,325,0.018243,0.108714,0.567026
E172,***物流有限公司,类B,74903266.590000,41265979.180000,2024412.610541,0.449076,1171,464,0.080126,0.014862,0.000000,0.010616,37,0,0.920872,94,53,0.119756,0.116285,0.449076
E173,***贸易有限责任公司,类A,106836324.760001,105941230.410000,2887468.236757,0.008378,2370,1314,0.052379,0.026667,0.012395,0.004444,37,0,0.326910,342,204,0.036754,0.246056,0.008378
E174,***工程技术有限公司,类A,91150036.850000,75632024.770000,2762122.328788,0.170247,1148,2319,0.080865,0.033347,0.004003,0.002501,34,0,0.690537,83,433,0.049437,0.240552,0.170247
E175,***食品集团有限公司,类A,74001823.990000,78364272.390000,2466727.466333,-0.058951,3771,3930,0.076867,0.039589,0.016157,0.016373,38,3,1.246690,1788,599,0.034426,0.434367,0.058951
E176,***科技有限公司,类B,83492525.800000,4288780.690000,2197171.731579,0.948633,1935,3163,0.107060,0.020440,0.030918,0.005265,38,0,0.378525,165,868,0.107080,0.038171,0.948633
E177,***电力工程有限公司,类A,97717360.950002,70911921.570000,3908694.438000,0.274316,835,3061,0.139175,0.028871,0.019588,0.001586,37,3,1.333290,154,644,0.073091,0.109778,0.274316
E178,***贸易有限公司,类B,78541364.380000,80109910.190000,2122739.577838,-0.019971,1019,333,0.086918,0.020588,0.019713,0.014706,37,0,0.652229,181,29,0.023552,0.231176,0.019971
E179,***园林有限公司,类B,60347261.569999,36358548.250000,2080940.054138,0.397511,718,2000,0.108075,0.058824,0.031056,0.005176,37,4,0.913759,41,350,0.064820,0.039769,0.397511
E180,***电气有限公司,类A,74087731.470000,63091063.260000,1949677.143947,0.148428,2023,3545,0.041232,0.035112,0.003318,0.008438,38,0,0.680208,475,608,0.022325,0.742461,0.148428
E181,***食品有限公司,类B,76977567.970000,86445982.110000,2080474.810000,-0.123002,1475,2974,0.061108,0.024278,0.007002,0.010499,37,0,0.409695,180,373,0.529893,0.070540,0.123002
E182,***新材料科技有限公司,类A,77437981.470000,73259105.420000,2092918.418108,0.053964,1049,972,0.026902,0.026052,0.000000,0.000000,37,0,0.490406,42,152,0.086255,0.223877,0.053964
E183,***建设工程有限公司,类B,65085708.139999,25830954.620000,1807936.337222,0.603124,927,1408,0.098249,0.036277,0.001946,0.008898,37,1,0.954079,9,416,0.725439,0.034454,0.603124
E184,***建筑装饰工程有限公司,类B,53005659.130000,37934598.810000,1766855.304333,0.284329,639,1967,0.027397,0.028162,0.031963,0.003953,35,1,1.368307,39,461,0.172732,0.040841,0.284329
E185,***生态魔芋有限公司,类B,96329021.710000,704949.160000,3210967.390333,0.992682,5442,67,0.006753,0.014706,0.001460,0.029412,33,2,0.788378,312,20,0.095591,0.245097,0.992682
E186,***建筑劳务有限公司,类C,83555221.120000,2932725.390000,2695329.713548,0.964901,1073,941,0.022769,0.048534,0.000000,0.011122,35,2,1.066411,5,220,0.759118,0.059419,0.964901
E187,个体经营E187 ,类D,3403409.070000,73590154.530000,340340.907000,-20.622483,16,3694,0.909091,0.047938,0.005682,0.010825,25,5,0.954699,12,3694,0.241323,0.002108,20.622483
E188,***硬质合金有限公司,类A,80713142.810000,78297103.650000,2181436.292162,0.029934,2073,2484,0.039388,0.030066,0.004171,0.001171,37,0,0.322294,241,369,0.039322,0.068071,0.029934
E189,***石油工程技术服务有限公司,类B,50709690.270000,29298497.030000,1690323.009000,0.422231,606,3337,0.054602,0.019106,0.020281,0.003233,37,2,1.106926,24,825,0.138739,0.061334,0.422231
E190,***劳务有限公司,类C,119934393.790000,1530211.560000,3634375.569394,0.987241,344,122,0.142145,0.046875,0.034913,0.007812,36,1,0.825381,22,53,0.125052,0.245217,0.987241
E191,***商贸有限责任公司,类A,256138436.250000,260874688.749999,9486608.750000,-0.018491,2731,1177,0.048763,0.027273,0.000348,0.003306,37,1,0.967090,97,141,0.359213,0.345058,0.018491
E192,***建设工程有限公司,类D,42118600.170000,17311335.930000,2477564.715882,0.588986,68,98,0.209302,0.117117,0.023256,0.027027,27,11,0.822386,7,28,0.390631,0.124227,0.588986
E193,个体经营E193 ,类A,122316829.730005,17081342.110000,3397689.714722,0.860352,30077,1539,0.069141,0.047649,0.011389,0.003713,36,0,0.440138,2484,283,0.008269,0.117747,0.860352
E194,***文化传播有限公司,类B,88972764.610000,10830459.660000,2696144.382121,0.878272,11053,4757,0.058598,0.018973,0.033472,0.002269,34,0,0.647344,3229,914,0.056973,0.151762,0.878272
E195,***医药有限公司,类A,109903508.150000,75544254.350000,2970365.085135,0.312631,4626,2267,0.047560,0.029538,0.018324,0.020548,37,0,0.438188,393,511,0.053728,0.108354,0.312631
E196,***地质制图印刷厂,类A,72526203.120000,42300386.200000,1908584.292632,0.416757,2755,1336,0.069885,0.036075,0.029372,0.006494,38,0,0.552514,689,154,0.036755,0.184631,0.416757
E197,***医疗设备有限公司,类A,181712080.290004,101054533.130000,5344472.949706,0.443876,4050,6349,0.062283,0.024581,0.012040,0.000615,34,0,0.856426,1202,805,0.039393,0.098058,0.443876
E198,***商贸有限公司,类B,57406622.720000,57938852.900000,1739594.627879,-0.009271,728,1109,0.100124,0.033130,0.067985,0.000000,37,3,0.954245,42,210,0.134936,0.077444,0.009271
E199,***建筑劳务有限公司,类D,59575542.090001,160238.800000,3971702.806000,0.997310,808,47,0.014634,0.020833,0.109756,0.000000,23,6,1.274163,3,25,0.370991,0.289291,0.997310
E200,个体经营E200 ,类B,47163293.450000,47469657.040000,1387155.689706,-0.006496,564,1201,0.079935,0.029887,0.019576,0.005654,36,1,0.874033,50,133,0.059378,0.176276,0.006496
E201,***物流有限责任公司,类B,48047952.480000,39212850.350000,1298593.310270,0.183881,1084,463,0.101906,0.035417,0.014085,0.002083,37,0,1.320003,170,105,0.077647,0.149294,0.183881
E202,个体经营E202 ,类C,99269637.600001,10387155.820000,3102176.175000,0.895364,1096,364,0.009042,0.099010,0.000000,0.004950,36,1,0.975397,5,107,0.902523,0.093614,0.895364
E203,***建设工程有限公司,类B,47646507.180000,23399488.060000,1443833.550909,0.508894,578,1142,0.092622,0.053853,0.003140,0.002486,36,1,1.360851,27,338,0.360680,0.087430,0.508894
E204,***科技发展有限公司,类A,92091768.280000,57409981.430000,2488966.710270,0.376600,1339,5029,0.202976,0.036036,0.020833,0.009009,37,0,0.652847,373,1205,0.024702,0.020765,0.376600
E205,个体经营E205 ,类B,74253216.710000,23934662.510000,2062589.353056,0.677662,967,137,0.040675,0.092715,0.008929,0.006623,36,0,0.390458,71,15,0.079914,0.397644,0.677662
E206,***建设工程有限公司,类A,96008119.430001,72946880.400000,3310624.807931,0.240201,913,3557,0.051921,0.033161,0.001038,0.002175,37,2,0.870103,307,889,0.095534,0.037131,0.240201
E207,个体经营E207 ,类A,120936342.800002,72195567.270000,3779260.712500,0.403028,1393,3298,0.044582,0.025989,0.006859,0.003839,35,2,1.170401,17,267,0.585927,0.081746,0.403028
E208,个体经营E208 ,类B,75553782.030000,75862564.990000,2158679.486571,-0.004087,897,963,0.127432,0.013320,0.019455,0.001025,36,1,0.618621,80,44,0.037356,0.329229,0.004087
E209,***工程检测有限公司,类A,65700985.170000,43991012.250000,1877171.004857,0.330436,1223,8128,0.170847,0.027751,0.042034,0.002273,37,2,0.669963,488,1599,0.013558,0.023169,0.330436
E210,***建筑工程有限公司,类C,53682992.720000,5855280.490000,2982388.484444,0.890929,557,536,0.067002,0.025455,0.000000,0.005455,30,6,0.900918,3,153,0.782673,0.111533,0.890929
E211,个体经营E211 ,类B,49070943.990000,21886710.580000,1363081.777500,0.553978,1470,403,0.101467,0.035885,0.009169,0.007177,36,0,0.550388,82,105,0.047979,0.481304,0.553978
E212,***建电管理咨询有限公司,类C,76890077.770000,148331.110000,2023423.099211,0.998071,1497,133,0.109459,0.036232,0.011898,0.000000,38,0,0.963924,121,49,0.062593,0.166436,0.998071
E213,***科技有限公司,类A,57697215.600000,45404788.960000,1559384.205405,0.213051,1148,2103,0.096063,0.040602,0.018110,0.008212,37,0,0.609644,248,592,0.036232,0.065680,0.213051
E214,***建筑工程有限公司,类B,64252383.440000,36190187.000000,1736550.903784,0.436750,713,692,0.178571,0.063599,0.017281,0.002706,37,0,0.987334,218,154,0.038224,0.066281,0.436750
E215,***建筑工程有限公司,类C,67502754.200001,216474.130000,3552776.536842,0.996793,756,172,0.092437,0.022727,0.000000,0.000000,28,3,0.987335,8,69,0.281979,0.145542,0.996793
E216,***建设工程有限公司,类B,58325941.250000,33287980.310000,1822685.664062,0.429277,685,3340,0.114987,0.030479,0.006460,0.004935,37,1,0.972425,30,570,0.147153,0.098512,0.429277
E217,个体经营E217 ,类D,2434236.610000,52913767.230000,221294.237273,-20.737315,34,202,0.954606,0.056075,0.010681,0.000000,25,4,1.398408,15,202,0.148329,0.010418,20.737315
E218,***建设工程有限公司,类C,39328554.230000,40801973.160000,2313444.366471,-0.037464,137,1026,0.409483,0.070652,0.000000,0.003623,36,5,1.478613,43,269,0.524748,0.139792,0.037464
E219,***品牌营销策划有限公司,类B,35642623.950000,35677550.270000,1229055.998276,-0.000980,491,4299,0.211878,0.035017,0.052970,0.009203,36,2,1.116380,27,757,0.084432,0.031413,0.000980
E220,***文化传播有限公司,类A,80286331.100000,55190901.440000,2169900.840541,0.312574,1233,5708,0.049345,0.038734,0.008481,0.008420,37,0,0.689263,147,1570,0.367703,0.010788,0.312574
E221,***测绘服务有限公司,类A,45971718.410000,33465961.900000,1641847.086071,0.272032,652,4429,0.060519,0.014464,0.020173,0.002448,29,0,0.822389,296,954,0.037524,0.093390,0.272032
E222,***数码科技有限公司,类B,62615800.410000,52232782.640000,1692318.930000,0.165821,1023,4325,0.256541,0.065471,0.018895,0.025929,37,0,1.136148,66,928,0.071948,0.026267,0.165821
E223,***科技有限公司,类C,31385466.780000,38566681.770000,1846203.928235,-0.228807,477,2505,0.098299,0.045351,0.039698,0.007622,19,0,0.572596,52,785,0.251230,0.178802,0.228807
E224,***纸业有限公司,类A,95946734.500000,98473831.160000,2593154.986486,-0.026339,1110,723,0.015084,0.047431,0.013310,0.006588,37,0,0.521683,41,103,0.123203,0.104801,0.026339
E225,***物业服务有限责任公司***分公司,类A,68686418.240000,43661253.970000,1807537.322105,0.364339,8315,4173,0.062782,0.036704,0.011835,0.011080,38,0,0.694309,470,680,0.021020,0.188383,0.364339
E226,***建设工程有限公司,类B,44714111.360000,46066940.460000,1541865.908966,-0.030255,516,1022,0.068592,0.023878,0.010830,0.027698,35,2,1.021991,26,219,0.429420,0.089048,0.030255
E227,***安全技术有限公司,类A,55848119.350000,50732713.700000,1692367.253030,0.091595,687,2778,0.074124,0.055744,0.008086,0.006118,36,2,0.711883,72,554,0.054501,0.024761,0.091595
E228,***文化发展有限公司,类B,59965638.310000,29703662.780000,1620692.927297,0.504655,993,2665,0.155612,0.028436,0.088435,0.003646,37,0,0.518572,156,603,0.030832,0.032712,0.504655
E229,***家贸易有限公司,类B,54774178.320000,56541639.200000,1480383.197838,-0.032268,773,1570,0.103248,0.031462,0.001160,0.004935,37,0,0.274796,30,227,0.682357,0.093855,0.032268
E230,***建筑劳务有限公司,类C,49308980.030000,120507.450000,1590612.259032,0.997556,592,83,0.124260,0.011905,0.029586,0.000000,34,1,1.109678,61,17,0.064782,0.664918,0.997556
E231,***建筑科技有限公司,类C,33376164.700000,35730036.880000,1390673.529167,-0.070526,370,681,0.093137,0.020144,0.000000,0.000000,36,6,0.896036,7,133,0.295594,0.165880,0.070526
E232,***投资发展有限责任公司,类C,47970719.640000,35129701.390000,5330079.960000,0.267685,113,782,0.042373,0.055556,0.076271,0.047101,38,4,1.314340,4,151,0.499592,0.623467,0.267685
E233,***劳务有限公司,类D,19988668.900000,401349.690000,2220963.211111,0.979921,223,718,0.063025,0.012380,0.000000,0.000000,26,7,1.306853,3,194,0.854256,0.026479,0.979921
E234,***机电设备商贸有限公司,类C,39835337.130000,4551474.640000,1373632.314828,0.885743,580,919,0.039735,0.028541,0.006623,0.001057,29,0,0.657789,137,205,0.019804,0.143239,0.885743
E235,个体经营E235 ,类B,40024592.540000,14054231.020000,1143559.786857,0.648860,944,593,0.069034,0.031046,0.003945,0.000000,35,0,0.664496,191,122,0.100458,0.582269,0.648860
E236,个体经营E236 ,类C,44647209.890000,4980574.770000,1785888.395600,0.888446,518,197,0.223388,0.034314,0.019490,0.004902,35,5,0.905256,29,69,0.229679,0.223292,0.888446
E237,个体经营E237 ,类C,19792717.950000,17103901.020000,1522516.765385,0.135849,221,1900,0.250847,0.019102,0.000000,0.053691,27,2,0.799738,8,324,0.307981,0.263539,0.135849
E238,个体经营E238 ,类A,56429503.980001,15987761.560000,1567486.221667,0.716677,11256,3808,0.068520,0.023339,0.046756,0.005899,36,0,0.423279,2199,760,0.003818,0.119547,0.716677
E239,个体经营E239 ,类C,26270147.960000,25876475.690000,1094589.498333,0.014986,306,367,0.120690,0.031662,0.008621,0.013193,27,0,0.956067,33,46,0.093024,0.155939,0.014986
E240,个体经营E240 ,类D,17016977.520000,30020619.800000,2836162.920000,-0.764157,20,1085,0.838710,0.032977,0.024194,0.000891,25,7,1.071740,2,1085,0.957017,0.010026,0.764157
E241,个体经营E241 ,类C,37898804.220000,5982268.470000,1052744.561667,0.842152,721,415,0.091940,0.028103,0.006297,0.002342,36,0,0.454338,36,112,0.564877,0.102394,0.842152
E242,个体经营E242 ,类D,1518719.260000,18605594.030000,138065.387273,-11.250845,18,503,0.931559,0.019493,0.026616,0.000000,25,5,0.887261,11,503,0.201067,0.006911,11.250845
E243,***科技有限公司,类C,32091033.410000,4588763.790000,943853.923824,0.857008,677,681,0.047820,0.022956,0.000000,0.002869,34,0,0.852925,35,131,0.207786,0.252909,0.857008
E244,个体经营E244 ,类C,34862195.290000,13820506.180000,1056430.160303,0.603568,443,1105,0.173507,0.039965,0.024254,0.006082,36,1,0.856874,20,153,0.317472,0.057740,0.603568
E245,***建筑劳务有限公司,类D,25170610.390000,132745.050000,1144118.654091,0.994726,309,264,0.124646,0.003774,0.050992,0.000000,30,2,0.987848,33,64,0.158437,0.129128,0.994726
E246,***物业服务有限公司,类B,31377751.460000,6524608.600000,848047.336757,0.792063,749,1298,0.096502,0.051170,0.018094,0.008041,37,0,0.410428,121,409,0.156003,0.089828,0.792063
E247,***石化有限公司,类B,21712508.800000,12283876.140000,603125.244444,0.434249,333,915,0.072423,0.029692,0.000000,0.007423,38,0,0.964194,10,185,0.599493,0.055845,0.434249
E248,***智能科技有限公司,类B,20868777.100000,13784612.420000,579688.252778,0.339462,353,1466,0.128395,0.029782,0.014815,0.005956,37,1,1.551844,118,262,0.084742,0.047695,0.339462
E249,***建筑工程有限公司,类C,51819821.700000,27296207.130000,4710892.881818,0.473248,470,620,0.004237,0.137691,0.000000,0.001391,35,7,0.708077,3,106,0.972602,0.151384,0.473248
E250,***塑料厂,类C,32443945.690000,8633213.090000,853788.044474,0.733904,660,427,0.151671,0.027335,0.029563,0.020501,38,0,0.387254,102,127,0.060598,0.185666,0.733904
E251,***医疗器械有限责任公司,类C,12859876.880000,9138566.250000,559125.081739,0.289374,274,1355,0.130159,0.070007,0.044444,0.017845,33,9,1.437775,130,347,0.114635,0.047307,0.289374
E252,***印务有限公司,类B,39283384.000000,26238254.220000,1061713.081081,0.332078,517,905,0.044362,0.055324,0.018484,0.004175,37,0,1.223444,40,111,0.133735,0.054115,0.332078
E253,***钢结构工程有限公司,类B,23725535.580000,18383666.460000,659042.655000,0.225153,318,1196,0.165354,0.033145,0.007874,0.004042,37,1,0.919196,105,319,0.033860,0.103064,0.225153
E254,***设备安装工程有限公司,类C,37200358.720000,3221474.180000,1127283.597576,0.913402,456,236,0.075051,0.004219,0.004057,0.000000,35,2,0.836742,22,39,0.259069,0.238318,0.913402
E255,个体经营E255 ,类C,38606481.840000,11268140.560000,1135484.760000,0.708128,599,1331,0.062598,0.033406,0.046948,0.005084,36,1,0.968410,19,311,0.434388,0.130362,0.708128
E256,***物资有限公司,类B,29926361.090000,10258640.400000,808820.570000,0.657204,892,270,0.029380,0.035714,0.008705,0.010714,37,0,0.264414,211,54,0.043396,0.077892,0.657204
E257,***门窗安装有限公司,类C,23793654.890000,15089198.550000,793121.829667,0.365831,317,337,0.121884,0.042614,0.030471,0.005682,30,0,0.863526,39,97,0.104420,0.054022,0.365831
E258,***国际货运有限公司,类B,68046478.540000,15197534.260000,1790696.803684,0.776660,2380,2233,0.046092,0.036670,0.021242,0.010785,38,0,0.822562,193,248,0.149416,0.073807,0.776660
E259,***文化传媒有限公司,类B,31725623.110000,18472779.250000,857449.273243,0.417733,707,2321,0.135697,0.057271,0.023227,0.008936,37,0,0.538481,211,521,0.014588,0.015519,0.417733
E260,***广告有限公司,类B,22168583.160000,17836465.140000,599150.896216,0.195417,1405,1343,0.115239,0.016117,0.015113,0.006593,37,0,0.953959,289,258,0.044188,0.042747,0.195417
E261,***医疗器械有限公司,类B,15967699.380000,8616353.380000,431559.442703,0.460389,1367,1338,0.116925,0.034632,0.015504,0.006494,37,0,0.634857,131,457,0.051831,0.544953,0.460389
E262,个体经营E262 ,类B,24523963.300000,16419328.120000,817465.443333,0.330478,656,320,0.052023,0.027356,0.013006,0.000000,34,3,1.052563,199,42,0.233905,0.093393,0.330478
E263,***通信工程有限公司,类C,26231558.890000,14352187.420000,728654.413611,0.452866,404,490,0.185484,0.012097,0.038306,0.002016,37,1,1.022730,15,148,0.256382,0.200847,0.452866
E264,个体经营E264 ,类D,1173035.700000,23547443.510000,90233.515385,-19.073936,24,1502,0.943262,0.067081,0.044917,0.006832,25,3,0.719423,8,1502,0.531504,0.006646,19.073936
E265,***净化工程有限公司,类B,23812366.630000,21512865.910000,744136.457187,0.096568,401,1968,0.155789,0.032924,0.033684,0.006388,33,1,0.951843,62,477,0.093336,0.115413,0.096568
E266,***煤矿机械有限公司,类C,26289597.490000,1223479.750000,938914.196071,0.953461,450,289,0.070248,0.020339,0.018595,0.006780,36,3,0.676763,16,83,0.675927,0.323316,0.953461
E267,***林园艺场,类D,17493142.050000,1033331.690000,1249510.146429,0.940929,202,189,0.110132,0.015625,0.022026,0.000000,19,2,0.791769,11,41,0.176225,0.338787,0.940929
