企业代号,企业名称,信誉评级,是否违约,信用得分,风险等级,分级依据指标,是否一票否决,一票否决原因,是否高风险池,高风险池原因,是否放贷,初始建议额度_万元,额度上限_万元,最终贷款额度_万元,建议贷款年利率,客户流失率
E11,***建设工程有限公司,C,否,77.047081,较低风险,信用得分=77.05，有效销项金额=148439127.14，毛利率=10.25%，有效经营月份=31，最大作废率=5.91%，最大负数率=0.85%，进销匹配差异=0.10，客户HHI=0.396，供应商HHI=0.082,否,,否,,放贷,79.342373,80.000000,80.000000,0.082500,0.530249
E12,***建筑劳务有限公司,B,否,75.975586,较低风险,信用得分=75.98，有效销项金额=223684403.09，毛利率=60.28%，有效经营月份=36，最大作废率=7.72%，最大负数率=0.72%，进销匹配差异=0.60，客户HHI=0.564，供应商HHI=0.140,否,,否,,放贷,78.378027,80.000000,80.000000,0.070500,0.458295
E13,***汽车贸易有限公司,A,否,87.020057,低风险,信用得分=87.02，有效销项金额=212454771.01，毛利率=56.68%，有效经营月份=38，最大作废率=14.95%，最大负数率=0.92%，进销匹配差异=0.57，客户HHI=0.062，供应商HHI=0.097,否,,否,,放贷,88.318051,100.000000,100.000000,0.046500,0.135727
E14,个体经营E14,C,否,89.230228,低风险,信用得分=89.23，有效销项金额=209084031.79，毛利率=46.74%，有效经营月份=36，最大作废率=7.77%，最大负数率=1.84%，进销匹配差异=0.47，客户HHI=0.010，供应商HHI=0.064,否,,否,,放贷,90.307205,100.000000,100.000000,0.058500,0.290189
E15,***劳务有限公司,A,否,65.940801,较低风险,信用得分=65.94，有效销项金额=211824339.20，毛利率=98.00%，有效经营月份=32，最大作废率=6.30%，最大负数率=0.00%，进销匹配差异=0.98，客户HHI=0.725，供应商HHI=0.262,否,,否,,放贷,69.346721,80.000000,80.000000,0.074500,0.511097
E16,***建筑劳务有限公司,A,否,71.994864,较低风险,信用得分=71.99，有效销项金额=209410435.50，毛利率=99.87%，有效经营月份=36，最大作废率=11.16%，最大负数率=0.34%，进销匹配差异=1.00，客户HHI=0.065，供应商HHI=0.088,否,,否,,放贷,74.795378,80.000000,80.000000,0.074500,0.511097
E17,***消防工程有限公司,A,否,84.132473,低风险,信用得分=84.13，有效销项金额=154980771.44，毛利率=15.82%，有效经营月份=37，最大作废率=17.01%，最大负数率=1.92%，进销匹配差异=0.16，客户HHI=0.042，供应商HHI=0.019,否,,否,,放贷,85.719225,100.000000,100.000000,0.046500,0.135727
E18,***消防工程有限责任公司,A,否,85.828686,低风险,信用得分=85.83，有效销项金额=187726474.54，毛利率=31.85%，有效经营月份=37，最大作废率=9.45%，最大负数率=0.54%，进销匹配差异=0.32，客户HHI=0.125，供应商HHI=0.044,否,,否,,放贷,87.245817,100.000000,100.000000,0.046500,0.135727
E19,***科技有限公司,A,否,86.475843,低风险,信用得分=86.48，有效销项金额=180443886.07，毛利率=-1.53%，有效经营月份=37，最大作废率=8.97%，最大负数率=2.13%，进销匹配差异=0.02，客户HHI=0.015，供应商HHI=0.187,否,,否,,放贷,87.828259,100.000000,100.000000,0.046500,0.135727
E20,***贸易有限公司,B,否,80.085699,低风险,信用得分=80.09，有效销项金额=191826403.60，毛利率=7.44%，有效经营月份=37，最大作废率=7.88%，最大负数率=0.27%，进销匹配差异=0.07，客户HHI=0.318，供应商HHI=0.073,否,,否,,放贷,82.077129,100.000000,100.000000,0.058500,0.302883
E21,***建设工程有限公司,B,否,80.534774,低风险,信用得分=80.53，有效销项金额=118412938.23，毛利率=3.07%，有效经营月份=37，最大作废率=7.18%，最大负数率=3.14%，进销匹配差异=0.03，客户HHI=0.240，供应商HHI=0.059,否,,否,,放贷,82.481296,100.000000,100.000000,0.058500,0.302883
E22,***物流有限公司,A,否,72.919538,较低风险,信用得分=72.92，有效销项金额=111933993.52，毛利率=41.11%，有效经营月份=37，最大作废率=12.55%，最大负数率=1.37%，进销匹配差异=0.41，客户HHI=0.098，供应商HHI=0.122,否,,否,,放贷,75.627584,80.000000,80.000000,0.074500,0.511097
E23,***贸易有限公司,B,否,85.804081,低风险,信用得分=85.80，有效销项金额=183238932.06，毛利率=5.16%，有效经营月份=37，最大作废率=3.61%，最大负数率=1.51%，进销匹配差异=0.05，客户HHI=0.054，供应商HHI=0.666,否,,否,,放贷,87.223673,100.000000,100.000000,0.058500,0.302883
E24,***建筑工程有限公司,A,否,79.242257,较低风险,信用得分=79.24，有效销项金额=140520367.66，毛利率=46.42%，有效经营月份=36，最大作废率=8.08%，最大负数率=1.57%，进销匹配差异=0.46，客户HHI=0.141，供应商HHI=0.082,否,,否,,放贷,80,80.000000,80,0.074500,0.511097
E25,***通讯设备有限公司,C,否,60.248417,中风险,信用得分=60.25，有效销项金额=37997036.42，毛利率=76.38%，有效经营月份=34，最大作废率=16.77%，最大负数率=2.35%，进销匹配差异=0.76，客户HHI=0.050，供应商HHI=0.063,否,,否,,放贷,50,50.000000,50,0.110500,0.711101
E26,***金属材料有限公司,A,否,69.488744,较低风险,信用得分=69.49，有效销项金额=36648003.49，毛利率=-1.17%，有效经营月份=37，最大作废率=10.71%，最大负数率=0.40%，进销匹配差异=0.01，客户HHI=0.081，供应商HHI=0.086,否,,否,,放贷,72.539869,80.000000,80.000000,0.074500,0.511097
E27,***农业开发有限公司,A,否,74.855245,较低风险,信用得分=74.86，有效销项金额=44058220.50，毛利率=-0.49%，有效经营月份=37，最大作废率=5.38%，最大负数率=1.63%，进销匹配差异=0.00，客户HHI=0.065，供应商HHI=0.379,否,,否,,放贷,77.369721,80.000000,80.000000,0.074500,0.511097
E28,***景观工程有限公司,B,否,53.618017,中风险,信用得分=53.62，有效销项金额=49029625.43，毛利率=97.41%，有效经营月份=32，最大作废率=7.73%，最大负数率=0.00%，进销匹配差异=0.97，客户HHI=0.348，供应商HHI=0.108,否,,否,,放贷,50,50.000000,50,0.106500,0.705316
E29,***建筑劳务有限公司,C,是,41.536600,高风险,信用得分=41.54，有效销项金额=45171435.47，毛利率=99.64%，有效经营月份=24，最大作废率=4.00%，最大负数率=0.00%，进销匹配差异=1.00，客户HHI=0.404，供应商HHI=0.791,否,,是,历史违约记录；信用得分41.54 < 50,放贷,30,30.000000,30,0.122500,0.784481
E30,***建筑工程有限公司,B,否,60.703150,中风险,信用得分=60.70，有效销项金额=71493447.69，毛利率=70.41%，有效经营月份=32，最大作废率=6.62%，最大负数率=0.27%，进销匹配差异=0.70，客户HHI=0.228，供应商HHI=0.638,否,,否,,放贷,50,50.000000,50,0.106500,0.705316
E31,***食品有限公司,A,否,62.786044,中风险,信用得分=62.79，有效销项金额=47282037.60，毛利率=90.67%，有效经营月份=37，最大作废率=4.10%，最大负数率=0.24%，进销匹配差异=0.91，客户HHI=0.066，供应商HHI=0.679,否,,否,,放贷,50,50.000000,50,0.102500,0.731275
E32,***建筑劳务有限公司,B,否,53.530737,中风险,信用得分=53.53，有效销项金额=44150482.29，毛利率=94.67%，有效经营月份=35，最大作废率=15.22%，最大负数率=0.36%，进销匹配差异=0.95，客户HHI=0.553，供应商HHI=0.107,否,,否,,放贷,50,50.000000,50,0.106500,0.705316
E33,***园林有限责任公司,B,否,70.249686,较低风险,信用得分=70.25，有效销项金额=69611432.64，毛利率=1.40%，有效经营月份=34，最大作废率=15.00%，最大负数率=1.30%，进销匹配差异=0.01，客户HHI=0.045，供应商HHI=0.046,否,,否,,放贷,73.224717,80.000000,80.000000,0.070500,0.458295
E34,***建设工程有限公司,B,否,68.585178,较低风险,信用得分=68.59，有效销项金额=90353514.16，毛利率=45.36%，有效经营月份=37，最大作废率=15.70%，最大负数率=1.91%，进销匹配差异=0.45，客户HHI=0.291，供应商HHI=0.037,否,,否,,放贷,71.726661,80.000000,80.000000,0.070500,0.458295
E35,***商贸有限公司,B,否,68.748837,较低风险,信用得分=68.75，有效销项金额=35050115.76，毛利率=14.53%，有效经营月份=37，最大作废率=5.38%，最大负数率=1.79%，进销匹配差异=0.15，客户HHI=0.155，供应商HHI=0.046,否,,否,,放贷,71.873953,80.000000,80.000000,0.070500,0.458295
E36,***超硬材料有限公司,D,是,64.417219,中风险,信用得分=64.42，有效销项金额=35208995.92，毛利率=44.46%，有效经营月份=32，最大作废率=7.63%，最大负数率=2.33%，进销匹配差异=0.44，客户HHI=0.029，供应商HHI=0.054,是,信誉评级D,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
E37,***木业有限公司,B,否,73.386619,较低风险,信用得分=73.39，有效销项金额=43448933.42，毛利率=-0.09%，有效经营月份=37，最大作废率=6.99%，最大负数率=1.10%，进销匹配差异=0.00，客户HHI=0.024，供应商HHI=0.062,否,,否,,放贷,76.047957,80.000000,80.000000,0.070500,0.458295
E38,***建设工程有限公司,B,否,57.431992,中风险,信用得分=57.43，有效销项金额=48352635.91，毛利率=74.93%，有效经营月份=33，最大作废率=12.10%，最大负数率=0.64%，进销匹配差异=0.75，客户HHI=0.425，供应商HHI=0.112,否,,否,,放贷,50,50.000000,50,0.106500,0.705316
E39,***建筑劳务有限公司,C,否,45.346154,高风险,信用得分=45.35，有效销项金额=29171167.31，毛利率=98.80%，有效经营月份=30，最大作废率=10.61%，最大负数率=2.27%，进销匹配差异=0.99，客户HHI=0.944，供应商HHI=0.100,否,,是,信用得分45.35 < 50,放贷,30,30.000000,30,0.122500,0.784481
E40,***财税咨询服务有限公司,C,否,63.729593,中风险,信用得分=63.73，有效销项金额=33731395.20，毛利率=87.34%，有效经营月份=35，最大作废率=9.40%，最大负数率=4.76%，进销匹配差异=0.87，客户HHI=0.013，供应商HHI=0.021,否,,否,,放贷,50,50.000000,50,0.110500,0.711101
E41,***物业发展有限公司,C,否,58.164823,中风险,信用得分=58.16，有效销项金额=32547375.89，毛利率=84.38%，有效经营月份=38，最大作废率=8.75%，最大负数率=2.71%，进销匹配差异=0.84，客户HHI=0.342，供应商HHI=0.029,否,,否,,放贷,50,50.000000,50,0.110500,0.711101
E42,***园艺场,A,否,47.752644,高风险,信用得分=47.75，有效销项金额=26235453.61，毛利率=99.96%，有效经营月份=22，最大作废率=10.09%，最大负数率=1.83%，进销匹配差异=1.00，客户HHI=0.081，供应商HHI=0.630,否,,是,信用得分47.75 < 50,放贷,30,30.000000,30,0.122500,0.814421
E43,***建设工程有限公司,B,否,44.184131,高风险,信用得分=44.18，有效销项金额=18337561.20，毛利率=81.63%，有效经营月份=18，最大作废率=12.82%，最大负数率=12.82%，进销匹配差异=0.82，客户HHI=0.415，供应商HHI=0.265,否,,是,信用得分44.18 < 50,放贷,30,30.000000,30,0.122500,0.791504
E44,***商贸有限公司,C,否,65.405773,较低风险,信用得分=65.41，有效销项金额=32843928.71，毛利率=9.03%，有效经营月份=37，最大作废率=7.93%，最大负数率=2.34%，进销匹配差异=0.09，客户HHI=0.352，供应商HHI=0.053,否,,否,,放贷,68.865195,80.000000,80.000000,0.082500,0.530249
E45,个体经营E45,B,是,59.884400,高风险,信用得分=59.88，有效销项金额=24516874.66，毛利率=2.74%，有效经营月份=29，最大作废率=6.15%，最大负数率=2.15%，进销匹配差异=0.03，客户HHI=0.108，供应商HHI=0.408,否,,是,历史违约记录,放贷,30,30.000000,30,0.122500,0.791504
E46,***广告传媒有限公司,C,否,72.093224,较低风险,信用得分=72.09，有效销项金额=58575368.49，毛利率=15.31%，有效经营月份=37，最大作废率=8.73%，最大负数率=3.90%，进销匹配差异=0.15，客户HHI=0.049，供应商HHI=0.078,否,,否,,放贷,74.883901,80.000000,80.000000,0.082500,0.530249
E47,***控制设备有限责任公司,C,否,76.586143,较低风险,信用得分=76.59，有效销项金额=49623136.13，毛利率=16.65%，有效经营月份=37，最大作废率=4.60%，最大负数率=0.60%，进销匹配差异=0.17，客户HHI=0.020，供应商HHI=0.156,否,,否,,放贷,78.927529,80.000000,80.000000,0.082500,0.530249
E48,***化工有限公司,A,否,66.844331,较低风险,信用得分=66.84，有效销项金额=50061017.69，毛利率=74.82%，有效经营月份=38，最大作废率=5.51%，最大负数率=0.59%，进销匹配差异=0.75，客户HHI=0.064，供应商HHI=0.137,否,,否,,放贷,70.159898,80.000000,80.000000,0.074500,0.511097
E49,***地球环保科技有限公司,C,否,69.689921,较低风险,信用得分=69.69，有效销项金额=36887103.24，毛利率=36.92%，有效经营月份=37，最大作废率=10.14%，最大负数率=2.53%，进销匹配差异=0.37，客户HHI=0.074，供应商HHI=0.088,否,,否,,放贷,72.720929,80.000000,80.000000,0.082500,0.530249
E50,***建筑劳务有限公司,C,否,42.250819,高风险,信用得分=42.25，有效销项金额=19113678.35，毛利率=91.11%，有效经营月份=28，最大作废率=10.53%，最大负数率=6.32%，进销匹配差异=0.91，客户HHI=0.315，供应商HHI=0.461,否,,是,信用得分42.25 < 50,放贷,30,30.000000,30,0.122500,0.784481
E51,***物流有限公司,B,否,67.949364,较低风险,信用得分=67.95，有效销项金额=27726264.06，毛利率=26.47%，有效经营月份=37，最大作废率=6.82%，最大负数率=0.88%，进销匹配差异=0.26，客户HHI=0.110，供应商HHI=0.285,否,,否,,放贷,71.154428,80.000000,80.000000,0.070500,0.458295
E52,***商贸有限公司,D,是,45.978415,高风险,信用得分=45.98，有效销项金额=18778556.89，毛利率=13.21%，有效经营月份=29，最大作废率=24.54%，最大负数率=1.32%，进销匹配差异=0.13，客户HHI=0.448，供应商HHI=0.140,是,信誉评级D,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
E53,***文化传媒有限公司,C,否,60.370787,中风险,信用得分=60.37，有效销项金额=35969165.35，毛利率=9.26%，有效经营月份=32，最大作废率=12.78%，最大负数率=0.88%，进销匹配差异=0.09，客户HHI=0.077，供应商HHI=0.450,否,,否,,放贷,50,50.000000,50,0.110500,0.711101
E54,***新技术开发有限公司,A,否,71.405718,较低风险,信用得分=71.41，有效销项金额=33674511.37，毛利率=77.70%，有效经营月份=38，最大作废率=8.17%，最大负数率=1.22%，进销匹配差异=0.78，客户HHI=0.017，供应商HHI=0.036,否,,否,,放贷,74.265146,80.000000,80.000000,0.074500,0.511097
E55,***集团有限公司***电力设备分公司,C,否,49.032813,高风险,信用得分=49.03，有效销项金额=23406330.75，毛利率=56.52%，有效经营月份=38，最大作废率=24.92%，最大负数率=12.54%，进销匹配差异=0.57，客户HHI=0.166，供应商HHI=0.055,否,,是,信用得分49.03 < 50,放贷,30,30.000000,30,0.122500,0.784481
E56,***家居材料***有限公司,C,否,66.018372,较低风险,信用得分=66.02，有效销项金额=26257261.89，毛利率=6.54%，有效经营月份=36，最大作废率=7.47%，最大负数率=1.62%，进销匹配差异=0.07，客户HHI=0.211，供应商HHI=0.100,否,,否,,放贷,69.416535,80.000000,80.000000,0.082500,0.530249
E57,***机械设备有限公司,B,否,60.148713,中风险,信用得分=60.15，有效销项金额=32011181.14，毛利率=12.84%，有效经营月份=33，最大作废率=11.87%，最大负数率=2.05%，进销匹配差异=0.13，客户HHI=0.122，供应商HHI=0.648,否,,否,,放贷,50,50.000000,50,0.106500,0.705316
E58,***油气工程建设有限责任公司,B,否,52.213558,中风险,信用得分=52.21，有效销项金额=22580017.44，毛利率=70.06%，有效经营月份=29，最大作废率=26.80%，最大负数率=1.55%，进销匹配差异=0.70，客户HHI=0.210，供应商HHI=0.169,否,,是,最大作废率26.80% > 25%,放贷,30.000000,30.000000,30.000000,0.106500,0.705316
E59,***商贸有限公司,A,否,73.278094,较低风险,信用得分=73.28，有效销项金额=26718775.03，毛利率=31.52%，有效经营月份=37，最大作废率=3.82%，最大负数率=0.18%，进销匹配差异=0.32，客户HHI=0.026，供应商HHI=0.148,否,,否,,放贷,75.950284,80.000000,80.000000,0.074500,0.511097
E60,***机械租赁有限公司,B,否,55.827201,中风险,信用得分=55.83，有效销项金额=7969850.18，毛利率=40.88%，有效经营月份=28，最大作废率=17.35%，最大负数率=0.19%，进销匹配差异=0.41，客户HHI=0.250，供应商HHI=0.261,否,,否,,放贷,50,50.000000,50,0.106500,0.705316
E61,***调味品有限公司,B,否,58.967274,中风险,信用得分=58.97，有效销项金额=16879972.56，毛利率=95.08%，有效经营月份=37，最大作废率=1.86%，最大负数率=2.01%，进销匹配差异=0.95，客户HHI=0.142，供应商HHI=0.098,否,,否,,放贷,50,50.000000,50,0.106500,0.705316
E62,***工程造价咨询有限公司***分公司,B,否,49.596037,高风险,信用得分=49.60，有效销项金额=9490671.89，毛利率=87.61%，有效经营月份=38，最大作废率=12.79%，最大负数率=10.96%，进销匹配差异=0.88，客户HHI=0.148，供应商HHI=0.206,否,,是,信用得分49.60 < 50,放贷,30,30.000000,30,0.122500,0.791504
E63,***科技有限公司,B,否,64.924125,中风险,信用得分=64.92，有效销项金额=47103971.17，毛利率=24.44%，有效经营月份=38，最大作废率=7.13%，最大负数率=1.78%，进销匹配差异=0.24，客户HHI=0.189，供应商HHI=0.772,否,,否,,放贷,50,50.000000,50,0.106500,0.705316
E64,***图书有限责任公司,A,否,55.757782,中风险,信用得分=55.76，有效销项金额=8885211.72，毛利率=99.02%，有效经营月份=36，最大作废率=6.69%，最大负数率=0.00%，进销匹配差异=0.99，客户HHI=0.078，供应商HHI=0.436,否,,否,,放贷,50,50.000000,50,0.102500,0.731275
E65,***商贸有限公司,B,否,60.874914,中风险,信用得分=60.87，有效销项金额=7441474.72，毛利率=41.02%，有效经营月份=36，最大作废率=6.19%，最大负数率=1.44%，进销匹配差异=0.41，客户HHI=0.180，供应商HHI=0.823,否,,否,,放贷,50,50.000000,50,0.106500,0.705316
E66,***快递有限公司,B,否,58.164269,中风险,信用得分=58.16，有效销项金额=4761254.91，毛利率=-6.31%，有效经营月份=32，最大作废率=7.51%，最大负数率=0.88%，进销匹配差异=0.06，客户HHI=0.157，供应商HHI=0.812,否,,否,,放贷,50,50.000000,50,0.106500,0.705316
E67,***信息技术有限公司,B,否,55.977842,中风险,信用得分=55.98，有效销项金额=5622436.24，毛利率=78.21%，有效经营月份=38，最大作废率=10.70%，最大负数率=1.40%，进销匹配差异=0.78，客户HHI=0.128，供应商HHI=0.058,否,,否,,放贷,50,50.000000,50,0.106500,0.705316
E68,***花木总公司,C,否,35.234916,高风险,信用得分=35.23，有效销项金额=5867409.22，毛利率=99.99%，有效经营月份=12，最大作废率=10.96%，最大负数率=0.00%，进销匹配差异=1.00，客户HHI=0.476，供应商HHI=0.632,否,,是,信用得分35.23 < 50,放贷,30,30.000000,30,0.122500,0.784481
E69,***电子器材经营部,C,否,34.425866,高风险,信用得分=34.43，有效销项金额=3639218.08，毛利率=99.91%，有效经营月份=19，最大作废率=10.90%，最大负数率=6.81%，进销匹配差异=1.00，客户HHI=0.740，供应商HHI=1.000,否,,是,信用得分34.43 < 50,放贷,30,30.000000,30,0.122500,0.784481
E70,***科技有限公司,B,否,60.122932,中风险,信用得分=60.12，有效销项金额=9296042.26，毛利率=42.57%，有效经营月份=38，最大作废率=18.86%，最大负数率=2.42%，进销匹配差异=0.43，客户HHI=0.140，供应商HHI=0.072,否,,否,,放贷,50,50.000000,50,0.106500,0.705316
E71,***农业科技有限公司,B,否,66.778444,较低风险,信用得分=66.78，有效销项金额=12226712.62，毛利率=19.03%，有效经营月份=35，最大作废率=4.29%，最大负数率=1.11%，进销匹配差异=0.19，客户HHI=0.101，供应商HHI=0.405,否,,否,,放贷,70.100600,80.000000,80.000000,0.070500,0.458295
E72,***图书有限公司,C,否,43.257364,高风险,信用得分=43.26，有效销项金额=4359736.00，毛利率=67.55%，有效经营月份=32，最大作废率=29.03%，最大负数率=1.71%，进销匹配差异=0.68，客户HHI=0.125，供应商HHI=0.723,否,,是,信用得分43.26 < 50；最大作废率29.03% > 25%,放贷,30,30.000000,30,0.122500,0.784481
E73,***商贸有限责任公司,C,否,54.102306,中风险,信用得分=54.10，有效销项金额=6139907.71，毛利率=87.37%，有效经营月份=38，最大作废率=5.51%，最大负数率=2.97%，进销匹配差异=0.87，客户HHI=0.438，供应商HHI=0.078,否,,否,,放贷,50,50.000000,50,0.110500,0.711101
E74,***蔬菜专业合作社,B,否,51.077660,中风险,信用得分=51.08，有效销项金额=3986839.75，毛利率=91.55%，有效经营月份=29，最大作废率=7.75%，最大负数率=2.52%，进销匹配差异=0.92，客户HHI=0.144，供应商HHI=0.393,否,,否,,放贷,50,50.000000,50,0.106500,0.705316
E75,***酒店管理有限公司,C,否,65.556634,较低风险,信用得分=65.56，有效销项金额=6451154.44，毛利率=60.37%，有效经营月份=37，最大作废率=6.83%，最大负数率=0.36%，进销匹配差异=0.60，客户HHI=0.007，供应商HHI=0.174,否,,否,,放贷,69.000970,80.000000,80.000000,0.082500,0.530249
E76,***信息科技有限公司,B,否,57.027554,中风险,信用得分=57.03，有效销项金额=4030841.10，毛利率=78.50%，有效经营月份=37，最大作废率=8.98%，最大负数率=0.57%，进销匹配差异=0.79，客户HHI=0.099，供应商HHI=0.133,否,,否,,放贷,50,50.000000,50,0.106500,0.705316
E77,***机电设备有限公司,C,否,40.057666,高风险,信用得分=40.06，有效销项金额=4358879.23，毛利率=82.81%，有效经营月份=25，最大作废率=2.33%，最大负数率=2.33%，进销匹配差异=0.83，客户HHI=0.987，供应商HHI=0.926,否,,是,信用得分40.06 < 50,放贷,30,30.000000,30,0.122500,0.784481
E78,个体经营E78,C,否,55.379634,中风险,信用得分=55.38，有效销项金额=9248973.77，毛利率=65.19%，有效经营月份=32，最大作废率=7.46%，最大负数率=0.00%，进销匹配差异=0.65，客户HHI=0.232，供应商HHI=0.394,否,,否,,放贷,50,50.000000,50,0.110500,0.711101
E79,***鞋业有限公司,B,否,58.397758,中风险,信用得分=58.40，有效销项金额=3289875.52，毛利率=11.23%，有效经营月份=38，最大作废率=13.95%，最大负数率=0.00%，进销匹配差异=0.11，客户HHI=0.238，供应商HHI=0.526,否,,否,,放贷,50,50.000000,50,0.106500,0.705316
E80,***实业有限责任公司,C,否,57.044544,中风险,信用得分=57.04，有效销项金额=3614042.03，毛利率=31.84%，有效经营月份=34，最大作废率=2.08%，最大负数率=0.00%，进销匹配差异=0.32，客户HHI=0.064，供应商HHI=0.401,否,,否,,放贷,50,50.000000,50,0.110500,0.711101
E81,***机械设备有限公司,A,否,66.771832,较低风险,信用得分=66.77，有效销项金额=3380651.07，毛利率=41.98%，有效经营月份=37，最大作废率=6.16%，最大负数率=1.42%，进销匹配差异=0.42，客户HHI=0.047，供应商HHI=0.468,否,,否,,放贷,70.094649,80.000000,80.000000,0.074500,0.511097
E82,***商贸有限公司,D,是,50.571348,中风险,信用得分=50.57，有效销项金额=2932292.09，毛利率=49.67%，有效经营月份=35，最大作废率=2.33%，最大负数率=0.95%，进销匹配差异=0.50，客户HHI=0.955，供应商HHI=0.067,是,信誉评级D,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
E83,***社会福利院（***社会福利社会化服务中心）,B,否,49.962257,高风险,信用得分=49.96，有效销项金额=3379729.20，毛利率=-932.12%，有效经营月份=37，最大作废率=8.07%，最大负数率=1.90%，进销匹配差异=9.32，客户HHI=0.035，供应商HHI=0.051,是,进销匹配差异9.32 > 4,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
E84,***建材有限公司,A,否,58.276463,中风险,信用得分=58.28，有效销项金额=4830825.65，毛利率=70.30%，有效经营月份=33，最大作废率=10.64%，最大负数率=1.20%，进销匹配差异=0.70，客户HHI=0.084，供应商HHI=0.125,否,,否,,放贷,50,50.000000,50,0.102500,0.731275
E85,***安防科技有限公司,B,否,51.804683,中风险,信用得分=51.80，有效销项金额=2659492.25，毛利率=84.64%，有效经营月份=37，最大作废率=15.70%，最大负数率=0.44%，进销匹配差异=0.85，客户HHI=0.142，供应商HHI=0.151,否,,否,,放贷,50,50.000000,50,0.106500,0.705316
E86,***地质工程勘察院***分院,C,否,44.585791,高风险,信用得分=44.59，有效销项金额=2164127.33，毛利率=19.98%，有效经营月份=29，最大作废率=13.64%，最大负数率=27.27%，进销匹配差异=0.20，客户HHI=0.232，供应商HHI=0.422,否,,是,信用得分44.59 < 50；最大负数率27.27% > 15%,放贷,30,30.000000,30,0.122500,0.784481
E87,***实业有限责任公司,C,是,53.300934,高风险,信用得分=53.30，有效销项金额=3917377.75，毛利率=60.46%，有效经营月份=31，最大作废率=4.05%，最大负数率=0.00%，进销匹配差异=0.60，客户HHI=0.338，供应商HHI=0.078,否,,是,历史违约记录,放贷,30,30.000000,30,0.122500,0.784481
