企业代号,企业名称,信誉评级,是否违约,有效销项金额,有效进项金额,月均销项收入,毛利率,有效销项发票数,有效进项发票数,销项作废率,进项作废率,销项负数率,进项负数率,有效经营月份数,最长销项断档月数,销项收入波动系数,客户数,供应商数,客户集中度HHI,供应商集中度HHI,进销匹配差异
E17,***消防工程有限公司,A,否,154980771.440000,130460468.019997,4188669.498378,0.158215,561,7143,0.170118,0.056158,0.019231,0.012024,37,0,0.678762,182,869,0.042314,0.019295,0.158215
E18,***消防工程有限责任公司,A,否,187726474.540000,127926244.549996,5073688.501081,0.318550,345,5455,0.094488,0.053773,0.005249,0.005377,37,0,0.888975,46,642,0.124621,0.044268,0.318550
E19,***科技有限公司,A,否,180443886.070000,183208718.950000,4876861.785676,-0.015322,2821,1484,0.089706,0.026247,0.021297,0.001969,37,0,0.396938,508,167,0.014680,0.187206,0.015322
E20,***贸易有限公司,B,否,191826403.600000,177559726.440000,5480754.388571,0.074373,737,1041,0.051480,0.078761,0.000000,0.002655,37,2,0.478565,25,70,0.318146,0.072541,0.074373
E21,***建设工程有限公司,B,否,118412938.230004,114782677.349999,3482733.477353,0.030658,1428,2146,0.025921,0.071799,0.031378,0.009516,37,1,1.028738,325,480,0.240446,0.059199,0.030658
E22,***物流有限公司,A,否,111933993.520000,65915911.020000,3109277.597778,0.411118,1366,1520,0.125480,0.055901,0.007682,0.013665,37,1,0.798163,45,80,0.098248,0.122249,0.411118
E23,***贸易有限公司,B,否,183238932.060000,173780708.680000,4952403.569189,0.051617,3441,4802,0.036134,0.030095,0.010364,0.015148,37,0,0.206556,117,682,0.053797,0.666449,0.051617
E24,***建筑工程有限公司,A,否,140520367.659999,75290120.820000,4014867.647429,0.464205,1638,2004,0.080808,0.021006,0.015713,0.007816,36,1,0.637733,48,367,0.140918,0.081763,0.464205
E25,***通讯设备有限公司,C,否,37997036.420000,8975529.430000,1117559.894706,0.763783,814,1391,0.167689,0.013475,0.023517,0.004255,34,0,1.116687,233,368,0.049795,0.062934,0.763783
E26,***金属材料有限公司,A,否,36648003.490000,37078221.160000,1018000.096944,-0.011739,450,758,0.107143,0.041719,0.003968,0.001264,37,0,0.706913,42,117,0.080702,0.085516,0.011739
E27,***农业开发有限公司,A,否,44058220.500000,44272038.460000,1190762.716216,-0.004853,1389,2475,0.053815,0.035088,0.016349,0.008577,37,0,0.516917,177,403,0.065308,0.378742,0.004853
E28,***景观工程有限公司,B,否,49029625.430000,1272115.790000,2042901.059583,0.974054,525,156,0.077329,0.076923,0.000000,0.000000,32,4,0.941747,5,61,0.347824,0.108438,0.974054
E29,***建筑劳务有限公司,C,是,45171435.470000,160579.420000,3011429.031333,0.996445,469,48,0.012632,0.040000,0.000000,0.000000,24,8,0.861618,3,17,0.403736,0.790905,0.996445
E30,***建筑工程有限公司,B,否,71493447.690000,21154741.030000,2978893.653750,0.704102,747,740,0.066250,0.018568,0.000000,0.002653,32,2,0.767045,7,169,0.228031,0.638047,0.704102
E31,***食品有限公司,A,否,47282037.600000,4411556.940000,1277892.908108,0.906697,2501,404,0.041028,0.019417,0.002301,0.002427,37,0,0.372092,151,109,0.065792,0.678635,0.906697
E32,***建筑劳务有限公司,B,否,44150482.290000,2351999.100000,1522430.423793,0.946728,468,2811,0.152174,0.005308,0.003623,0.002123,35,1,0.902905,10,272,0.553213,0.107264,0.946728
E33,***园林有限责任公司,B,否,69611432.640000,68636564.720000,2047395.077647,0.014004,912,1133,0.150047,0.123743,0.013048,0.010828,34,0,0.821764,84,240,0.045029,0.046127,0.014004
E34,***建设工程有限公司,B,否,90353514.160000,49370789.220000,2581528.976000,0.453582,596,2071,0.157001,0.103075,0.004243,0.019056,37,1,1.393802,64,447,0.290707,0.037379,0.453582
E35,***商贸有限公司,B,否,35050115.760000,29957308.160000,947300.425946,0.145301,737,633,0.042857,0.053812,0.002597,0.017937,37,0,0.762516,31,103,0.154507,0.045885,0.145301
E36,***超硬材料有限公司,D,是,35208995.920000,19556418.010000,1100281.122500,0.444562,1429,1562,0.076277,0.045232,0.023271,0.003667,32,0,0.386605,198,417,0.029139,0.053804,0.444562
E37,***木业有限公司,B,否,43448933.420000,43487945.830000,1174295.497838,-0.000898,1184,592,0.069914,0.042071,0.010998,0.003236,37,0,0.672412,276,79,0.024203,0.061906,0.000898
E38,***建设工程有限公司,B,否,48352635.910000,12119875.870000,2014693.162917,0.749344,552,958,0.121019,0.033300,0.006369,0.004036,33,3,0.992345,8,236,0.424663,0.111928,0.749344
E39,***建筑劳务有限公司,C,否,29171167.310000,350218.910000,1215465.304583,0.987994,236,279,0.106061,0.010638,0.022727,0.000000,30,1,1.023720,2,54,0.944458,0.099733,0.987994
E40,***财税咨询服务有限公司,C,否,33731395.200000,4270659.390000,963754.148571,0.873392,800,3068,0.093998,0.025413,0.047565,0.010801,35,0,1.122357,483,796,0.012953,0.021487,0.873392
E41,***物业发展有限公司,C,否,32547375.890000,5084164.040000,856509.891842,0.843792,605,1968,0.087481,0.031972,0.027149,0.006394,38,0,0.800242,13,486,0.341506,0.029483,0.843792
E42,***园艺场,A,否,26235453.610000,10425.630000,1380813.347895,0.999603,294,47,0.100917,0.000000,0.018349,0.000000,22,3,0.862722,28,7,0.081001,0.630247,0.999603
E43,***建设工程有限公司,B,否,18337561.200000,3367877.650000,1410581.630769,0.816340,214,68,0.126531,0.128205,0.020408,0.128205,18,2,0.369006,5,19,0.415211,0.264831,0.816340
E44,***商贸有限公司,C,否,32843928.710000,29879150.640000,887673.748919,0.090269,2242,1222,0.079261,0.020833,0.023409,0.001603,37,0,0.708688,30,211,0.351781,0.052949,0.090269
E45,个体经营E45,B,是,24516874.660000,23845376.530000,1114403.393636,0.027389,305,592,0.061538,0.013333,0.021538,0.000000,29,3,0.970178,63,114,0.107982,0.407559,0.027389
E46,***广告传媒有限公司,C,否,58575368.490000,49609846.300000,1583118.067297,0.153060,889,2492,0.087269,0.020440,0.039014,0.006682,37,0,0.577086,140,437,0.048882,0.078246,0.153060
E47,***控制设备有限责任公司,C,否,49623136.130000,41361240.740000,1341165.841351,0.166493,3356,2811,0.046049,0.032358,0.005969,0.003787,37,0,0.362428,760,374,0.019787,0.155983,0.166493
E48,***化工有限公司,A,否,50061017.690000,12605373.220000,1390583.824722,0.748200,960,1210,0.055118,0.020243,0.005906,0.004049,38,1,0.711310,59,232,0.063636,0.136741,0.748200
E49,***地球环保科技有限公司,C,否,36887103.240000,23269176.610000,1271969.077241,0.369179,461,3518,0.101365,0.026833,0.025341,0.005256,37,3,1.128085,248,713,0.073995,0.087846,0.369179
E50,***建筑劳务有限公司,C,否,19113678.350000,1699224.010000,1470282.950000,0.911099,255,186,0.105263,0.055838,0.063158,0.005076,28,9,0.670428,5,66,0.314776,0.460896,0.911099
E51,***物流有限公司,B,否,27726264.060000,20388050.510000,749358.488108,0.264667,834,451,0.068156,0.004415,0.003352,0.008830,37,0,0.583924,129,61,0.110062,0.284688,0.264667
E52,***商贸有限公司,D,是,18778556.890000,16298326.870000,782439.870417,0.132078,286,409,0.245383,0.037647,0.013193,0.004706,29,1,1.510336,11,131,0.447942,0.139786,0.132078
E53,***文化传媒有限公司,C,否,35969165.350000,32639105.100000,1198972.178333,0.092581,396,599,0.127753,0.049206,0.008811,0.001587,32,1,1.027487,43,62,0.077312,0.450486,0.092581
E54,***新技术开发有限公司,A,否,33674511.370000,7510589.240000,886171.351842,0.776965,3215,1555,0.081691,0.054136,0.010568,0.012165,38,0,0.610734,1110,458,0.016869,0.035688,0.776965
E55,***集团有限公司***电力设备分公司,C,否,23406330.750000,10176811.460000,866901.138889,0.565211,443,752,0.249153,0.086270,0.125424,0.036452,38,2,1.383691,22,137,0.165916,0.055442,0.565211
E56,***家居材料***有限公司,C,否,26257261.890000,24540736.960000,750207.482571,0.065373,458,1152,0.074747,0.040799,0.016162,0.005828,36,0,0.617963,37,162,0.210827,0.100236,0.065373
E57,***机械设备有限公司,B,否,32011181.140000,27900259.020000,1143256.469286,0.128421,386,122,0.118721,0.061538,0.020548,0.000000,33,2,0.832044,25,41,0.122434,0.648160,0.128421
E58,***油气工程建设有限责任公司,B,否,22580017.440000,6761042.890000,903200.697600,0.700574,284,1313,0.268041,0.028846,0.015464,0.007396,29,2,1.059350,22,354,0.210264,0.169353,0.700574
E59,***商贸有限公司,A,否,26718775.030000,18297329.060000,722129.054865,0.315188,2067,532,0.038157,0.030965,0.000931,0.001821,37,0,0.626135,185,76,0.025814,0.147564,0.315188
E60,***机械租赁有限公司,B,否,7969850.180000,4712116.120000,379516.675238,0.408757,424,530,0.173489,0.014870,0.001949,0.000000,28,2,0.971130,8,128,0.249986,0.260743,0.408757
E61,***调味品有限公司,B,否,16879972.560000,830339.260000,456215.474595,0.950809,1955,209,0.018574,0.014151,0.020080,0.009434,37,0,0.371041,65,44,0.142028,0.097913,0.950809
E62,***工程造价咨询有限公司***分公司,B,否,9490671.890000,1176092.160000,351506.366296,0.876079,191,527,0.127854,0.005660,0.109589,0.000000,38,3,0.740744,27,148,0.147811,0.206177,0.876079
E63,***科技有限公司,B,否,47103971.170000,35590441.560000,2047998.746522,0.244428,625,1526,0.071322,0.029879,0.004458,0.017800,38,3,0.725480,42,293,0.188752,0.772326,0.244428
E64,***图书有限责任公司,A,否,8885211.720000,86955.160000,261329.756471,0.990213,1283,32,0.066909,0.000000,0.000000,0.000000,36,3,0.744119,162,21,0.078304,0.436461,0.990213
E65,***商贸有限公司,B,否,7441474.720000,4389086.940000,206707.631111,0.410186,455,579,0.061856,0.013629,0.014433,0.000000,36,0,0.484465,58,38,0.179795,0.822993,0.410186
E66,***快递有限公司,B,否,4761254.910000,5061635.190000,176342.774444,-0.063088,628,575,0.075110,0.003466,0.008837,0.001733,32,0,1.113041,151,30,0.157215,0.811633,0.063088
E67,***信息技术有限公司,B,否,5622436.240000,1225182.130000,224897.449600,0.782091,192,627,0.106977,0.030912,0.013953,0.003091,38,2,1.165605,23,195,0.127509,0.058464,0.782091
E68,***花木总公司,C,否,5867409.220000,698.110000,533400.838182,0.999881,65,3,0.109589,0.000000,0.000000,0.000000,12,4,1.057443,7,2,0.475993,0.631849,0.999881
E69,***电子器材经营部,C,否,3639218.080000,3155.340000,191537.793684,0.999133,523,1,0.109029,0.000000,0.068143,0.000000,19,0,0.811538,18,1,0.740428,1.000000,0.999133
E70,***科技有限公司,B,否,9296042.260000,5338792.620000,265601.207429,0.425692,469,1787,0.188581,0.022963,0.024221,0.003280,38,1,1.073420,56,188,0.140011,0.072397,0.425692
E71,***农业科技有限公司,B,否,12226712.620000,9899723.390000,719218.389412,0.190320,359,1205,0.042667,0.042891,0.002667,0.011120,35,5,1.354989,282,282,0.101052,0.405322,0.190320
E72,***图书有限公司,C,否,4359736.000000,1414547.720000,242207.555556,0.675543,176,114,0.290323,0.025641,0.000000,0.017094,32,5,0.974016,28,54,0.124613,0.723422,0.675543
E73,***商贸有限责任公司,C,否,6139907.710000,775665.110000,165943.451622,0.873668,223,600,0.055085,0.009901,0.029661,0.003300,38,0,0.535854,58,118,0.437726,0.077518,0.873668
E74,***蔬菜专业合作社,B,否,3986839.750000,337049.710000,142387.133929,0.915459,512,19,0.077477,0.000000,0.025225,0.000000,29,0,0.450828,19,8,0.143873,0.393383,0.915459
E75,***酒店管理有限公司,C,否,6451154.440000,2556437.910000,174355.525405,0.603724,8064,538,0.068284,0.025362,0.001386,0.003623,37,0,0.400435,7484,53,0.007297,0.173776,0.603724
E76,***信息科技有限公司,B,否,4030841.100000,866521.200000,111967.808333,0.785027,223,346,0.089796,0.011429,0.004082,0.005714,37,1,1.116583,73,102,0.098501,0.133378,0.785027
E77,***机电设备有限公司,C,否,4358879.230000,749461.610000,290591.948667,0.828061,252,53,0.023256,0.018519,0.023256,0.000000,25,6,1.010171,2,16,0.986898,0.925959,0.828061
E78,个体经营E78,C,否,9248973.770000,3219546.280000,289030.430313,0.651902,248,52,0.074627,0.000000,0.000000,0.000000,32,0,0.669440,37,16,0.232140,0.394158,0.651902
E79,***鞋业有限公司,B,否,3289875.520000,2920288.880000,137078.146667,0.112341,74,152,0.139535,0.012987,0.000000,0.000000,38,3,0.688334,15,46,0.238177,0.525830,0.112341
E80,***实业有限责任公司,C,否,3614042.030000,2463271.350000,451755.253750,0.318417,47,390,0.020833,0.012658,0.000000,0.000000,34,16,0.906740,38,105,0.064326,0.400926,0.318417
E81,***机械设备有限公司,A,否,3380651.070000,1961457.460000,91368.947838,0.419799,609,205,0.061633,0.028436,0.004622,0.014218,37,0,0.460123,119,68,0.047309,0.468397,0.419799
E82,***商贸有限公司,D,是,2932292.090000,1475772.190000,112780.465000,0.496717,335,311,0.023324,0.012698,0.005831,0.009524,35,2,0.967919,8,68,0.954516,0.067256,0.496717
E83,***社会福利院（***社会福利社会化服务中心）,B,否,3379729.200000,34882942.090000,146944.747826,-9.321224,649,2699,0.080737,0.066090,0.004249,0.019031,37,4,1.378912,160,259,0.034922,0.051042,9.321224
E84,***建材有限公司,A,否,4830825.650000,1434513.700000,150963.301562,0.703050,445,53,0.106426,0.018519,0.012048,0.000000,33,2,0.742558,35,19,0.084389,0.124733,0.703050
E85,***安防科技有限公司,B,否,2659492.250000,408409.150000,71878.168919,0.846433,247,228,0.156997,0.004367,0.000000,0.004367,37,0,1.294619,23,38,0.141747,0.150980,0.846433
E86,***地质工程勘察院***分院,C,否,2164127.330000,1731730.930000,166471.333077,0.199802,19,137,0.136364,0.007246,0.272727,0.007246,29,6,1.014802,7,36,0.231583,0.422394,0.199802
E87,***实业有限责任公司,C,是,3917377.750000,1548937.440000,178062.625000,0.604598,71,371,0.040541,0.021108,0.000000,0.000000,31,2,1.179172,13,82,0.337721,0.078413,0.604598
E88,***贸易有限公司,A,否,2525652.870000,648069.060000,72161.510571,0.743405,364,214,0.090000,0.000000,0.010000,0.000000,37,1,0.872188,86,26,0.044327,0.416443,0.743405
E89,***物资有限公司,A,否,1863249.860000,2587686.130000,81010.863478,-0.388803,165,63,0.040698,0.030769,0.000000,0.000000,29,4,1.074134,24,12,0.094929,0.977535,0.388803
E90,***文化传媒有限责任公司,C,否,3249122.070000,731124.940000,101535.064688,0.774978,187,135,0.283525,0.028777,0.022989,0.000000,32,1,1.348077,49,35,0.323862,0.121263,0.774978
E91,***科技实业有限公司,A,否,2335401.360000,1300367.170000,63118.955676,0.443193,123,168,0.046512,0.050847,0.007752,0.005650,37,0,0.301957,73,35,0.036286,0.176278,0.443193
E92,***地质灾害防治有限公司,C,否,2209553.360000,148695.850000,184129.446667,0.932703,36,212,0.076923,0.004695,0.051282,0.000000,33,6,1.110424,13,89,0.368114,0.059461,0.932703
E93,***电脑设计事务所,B,否,1476055.340000,285803.230000,42173.009714,0.806374,141,208,0.047297,0.023474,0.033784,0.004695,37,1,1.136959,28,65,0.114807,0.169130,0.806374
E94,***汽车美容有限公司,C,否,1053200.080000,14049.870000,43883.336667,0.986660,178,4,0.091837,0.000000,0.045918,0.000000,26,4,1.473067,56,4,0.139766,0.885249,0.986660
E95,***兰花店,B,否,2310757.260000,1073.580000,66021.636000,0.999535,864,4,0.053669,0.000000,0.000000,0.000000,35,2,0.761207,485,1,0.034141,1.000000,0.999535
E96,***土地整理有限公司,C,否,1438203.890000,2319001.370000,359550.972500,-0.612429,18,11,0.100000,0.000000,0.000000,0.000000,10,12,0.837150,3,6,0.746954,0.993016,0.612429
E97,***美工装饰部,B,否,971400.820000,18754.700000,51126.358947,0.980693,255,9,0.034091,0.000000,0.015152,0.000000,20,0,0.749555,63,2,0.111519,0.972228,0.980693
E98,***文化传播有限公司,B,否,1403241.570000,199319.010000,45265.857097,0.857958,133,50,0.130719,0.019608,0.039216,0.019608,33,2,1.223243,25,27,0.167433,0.271233,0.857958
E99,***建筑工程有限责任公司,D,是,1181250.290000,4132374.590000,295312.572500,-2.498306,5,871,0.375000,0.010227,0.000000,0.012500,25,9,0.273532,2,81,0.616702,0.240833,2.498306
E100,***装饰工程有限公司,D,是,671348.730000,21068.800000,23149.956207,0.968617,98,58,0.010101,0.000000,0.151515,0.000000,34,3,1.700588,13,21,0.170436,0.118000,0.968617
E101,***灯饰工程有限公司,D,是,340545.580000,45901.770000,85136.395000,0.865211,32,16,0.492063,0.000000,0.000000,0.000000,14,4,0.546936,2,6,0.615331,0.608973,0.865211
E102,***大药房有限责任公司,D,是,380552.120000,3177083.500000,17297.823636,-7.348616,151,710,0.146893,0.027397,0.016949,0.009589,38,3,0.916175,100,70,0.317660,0.156848,7.348616
E103,***科技有限公司,D,是,1702417.640000,682695.480000,106401.102500,0.598985,54,169,0.156250,0.017442,0.031250,0.000000,28,2,1.949695,19,65,0.272641,0.118090,0.598985
E104,***管理咨询有限责任公司,C,否,262650.510000,264.150000,26265.051000,0.998994,19,1,0.095238,0.000000,0.047619,0.000000,10,2,0.634461,10,1,0.271923,1.000000,0.998994
E105,***建材经营部,C,否,924819.370000,7436.920000,40209.537826,0.991959,121,6,0.008197,0.000000,0.032787,0.000000,23,4,0.665098,101,4,0.026440,0.613774,0.991959
E106,***财务管理有限公司,B,否,586048.860000,50335.270000,18904.801935,0.914111,138,35,0.098039,0.027778,0.026144,0.000000,32,1,0.847886,103,19,0.056633,0.328719,0.914111
E107,***科技有限公司,D,是,786792.390000,104637.380000,78679.239000,0.867008,34,9,0.370370,0.000000,0.000000,0.000000,16,3,2.069271,3,7,0.566275,0.682195,0.867008
E108,***商贸有限公司,D,是,191471.110000,99297.000000,47867.777500,0.481400,33,218,0.000000,0.000000,0.030303,0.018349,25,6,0.477832,19,70,0.220041,0.076069,0.481400
E109,***服饰有限公司,D,是,442766.770000,3257.440000,36897.230833,0.992643,23,10,0.303030,0.000000,0.000000,0.000000,15,4,1.224882,17,7,0.153603,0.179408,0.992643
E110,***通讯器材经营部,C,否,196919.860000,963.390000,9377.136190,0.995108,62,3,0.253012,0.000000,0.000000,0.000000,21,2,1.021715,34,1,0.154412,1.000000,0.995108
E111,***科技有限公司,D,是,722954.010000,489491.990000,24098.467000,0.322928,204,264,0.184000,0.050360,0.112000,0.014388,31,0,1.001609,9,95,0.390188,0.153346,0.322928
E112,***机械设备有限公司,D,是,936281.430000,790709.840000,93628.143000,0.155478,16,102,0.272727,0.037736,0.045455,0.018868,27,3,0.588327,2,25,0.992386,0.308753,0.155478
E113,***美居科技有限公司,D,是,283580.550000,1289936.460000,70895.137500,-3.548748,31,102,0.340426,0.019231,0.000000,0.000000,22,7,0.684025,3,35,0.453171,0.502724,3.548748
E114,***食品有限责任公司,D,是,219628.780000,566540.050000,9151.199167,-1.579535,66,69,0.120000,0.092105,0.013333,0.000000,34,3,0.909133,23,20,0.080459,0.180330,1.579535
E115,***装饰工程有限公司,D,是,55533.980000,528.300000,18511.326667,0.990487,4,2,0.333333,0.000000,0.000000,0.000000,5,11,0.592159,3,2,0.450218,0.500000,0.990487
E116,***门窗有限公司,D,是,231427.540000,2605.870000,15428.502667,0.988740,43,10,0.085106,0.000000,0.000000,0.000000,19,4,0.896871,25,8,0.089639,0.149939,0.988740
E117,***人力资源管理咨询有限公司,D,是,523351.310000,6708.790000,52335.131000,0.987181,26,4,0.409091,0.000000,0.000000,0.000000,12,3,0.847526,1,3,1.000000,0.578632,0.987181
E118,***体育用品有限公司,D,是,272744.780000,62209.690000,9091.492667,0.771912,136,27,0.055556,0.068966,0.006944,0.000000,35,2,1.456938,117,9,0.104186,0.340657,0.771912
E119,***药房,D,是,35671.860000,219738.720000,3963.540000,-5.160002,18,314,0.142857,0.003175,0.000000,0.003175,31,9,0.604687,14,17,0.096674,0.162470,5.160002
E120,***陈列广告有限公司,D,是,190673.210000,18115.560000,31778.868333,0.904992,9,35,0.689655,0.027778,0.000000,0.000000,15,9,0.912698,6,16,0.305421,0.347709,0.904992
E121,***药业连锁有限公司***药店,D,是,101462.020000,1073486.180000,4227.584167,-9.580177,163,50,0.123656,0.000000,0.000000,0.020000,26,0,0.792403,116,11,0.042771,0.961957,9.580177
E122,***商贸有限责任公司,D,是,58921.820000,50672.110000,2266.223846,0.140011,102,47,0.135593,0.020833,0.067797,0.020833,30,2,1.147329,69,22,0.069750,0.276821,0.140011
E123,***创科技有限责任公司,D,是,200235.850000,792.450000,14302.560714,0.996042,33,3,0.492308,0.000000,0.000000,0.000000,15,5,2.025326,5,2,0.414870,0.555556,0.996042
