企业代号,企业名称,行业类别,冲击等级,情景,脆弱性修正系数,脆弱性原因,收入下降率,毛利率下降幅度,波动系数上升率,经营月份减少数,调整前信用得分,信用得分,调整前风险等级,风险等级,调整前贷款额度_万元,最终贷款额度_万元,调整前贷款年利率,建议贷款年利率
E143,***电子科技有限公司,科技与线上服务,中冲击,base,1.150000,销项收入波动系数>1.00,0.172500,0.057500,0.287500,1,69.858474,67.933966,较低风险,较低风险,72.872627,64.026513,0.070500,0.070500
E144,***劳务有限公司,其他服务,中冲击,base,1.000000,,0.150000,0.050000,0.250000,1,64.590880,62.380291,中风险,中风险,50.000000,45.000000,0.106500,0.106500
E145,***工贸有限公司,其他服务,中冲击,base,1.150000,毛利率<5%,0.172500,0.057500,0.287500,1,82.638433,78.933478,低风险,较低风险,84.374590,72.000000,0.046500,0.074500
E146,***基础建设工程有限公司,建筑与工程,中高冲击,base,1.000000,,0.220000,0.075000,0.380000,2,77.037768,71.367092,较低风险,较低风险,79.333991,60.868914,0.074500,0.074500
E147,***装饰工程有限责任公司,装饰装修与家居,高冲击,base,1.000000,,0.300000,0.100000,0.500000,2,88.171545,81.214555,低风险,低风险,89.354390,62.319825,0.046500,0.046500
E148,***商贸有限公司,普通批发商贸,中冲击,base,1.000000,,0.150000,0.050000,0.250000,1,69.373987,67.227248,较低风险,较低风险,72.436589,63.454071,0.070500,0.070500
E149,***建筑劳务有限公司,建筑与工程,中高冲击,base,1.000000,,0.220000,0.075000,0.380000,2,57.386465,53.791161,中风险,中风险,0.000000,41.000000,0.110500,0.110500
E150,***建设工程有限公司,建筑与工程,中高冲击,base,1.000000,,0.220000,0.075000,0.380000,2,78.440739,74.218058,较低风险,较低风险,80.000000,62.972927,0.074500,0.074500
E151,***路桥工程有限公司,建筑与工程,中高冲击,base,1.000000,,0.220000,0.075000,0.380000,2,60.306157,56.600887,中风险,中风险,50.000000,41.000000,0.110500,0.110500
E152,***运贸有限责任公司,其他服务,中冲击,base,1.000000,,0.150000,0.050000,0.250000,1,62.529331,61.034774,中风险,中风险,50.000000,45.000000,0.106500,0.106500
E153,个体经营E153 ,可选消费与门店经营,高冲击,base,1.150000,销项收入波动系数>1.00,0.345000,0.115000,0.575000,2,56.503199,51.369923,中风险,中风险,0.000000,0.000000,0.110500,0.000000
E154,***汽车销售服务有限公司,其他服务,中冲击,base,1.150000,毛利率<5%,0.172500,0.057500,0.287500,1,63.125687,60.704255,中风险,中风险,50.000000,45.000000,0.106500,0.106500
E155,个体经营E155 ,可选消费与门店经营,高冲击,base,1.000000,,0.300000,0.100000,0.500000,2,70.331871,63.655114,较低风险,中风险,73.298684,37.500000,0.070500,0.106500
E156,个体经营E156 ,可选消费与门店经营,高冲击,base,1.150000,销项收入波动系数>1.00,0.345000,0.115000,0.575000,2,57.520093,51.528120,中风险,中风险,37.651566,0.000000,0.110500,0.000000
E157,***环境设备工程有限公司,建筑与工程,中高冲击,base,1.150000,销项收入波动系数>1.00,0.253000,0.086250,0.437000,2,66.170379,62.349735,较低风险,中风险,69.553341,41.000000,0.070500,0.106500
E158,***装饰工程有限公司,装饰装修与家居,高冲击,base,1.350000,供应商集中度HHI>0.80；销项收入波动系数>1.00,0.405000,0.135000,0.675000,3,62.146529,53.969957,中风险,中风险,50.000000,0.000000,0.106500,0.000000
E159,个体经营E159 ,可选消费与门店经营,高冲击,base,1.000000,,0.300000,0.100000,0.500000,2,79.224865,74.103487,较低风险,较低风险,80.000000,57.519854,0.074500,0.074500
E160,***钢结构工程有限公司,建筑与工程,中高冲击,base,1.000000,,0.220000,0.075000,0.380000,2,81.471509,76.096877,低风险,较低风险,83.324358,64.359495,0.046500,0.074500
E161,***建筑劳务有限责任公司,建筑与工程,中高冲击,base,1.000000,,0.220000,0.075000,0.380000,2,62.421366,56.822760,中风险,中风险,50.000000,41.000000,0.106500,0.110500
E162,***网络信息安全有限公司,科技与线上服务,中冲击,base,1.300000,销项收入波动系数>1.00；毛利率<5%,0.195000,0.065000,0.325000,1,79.283838,73.892799,较低风险,较低风险,80.000000,68.853167,0.074500,0.074500
E163,***物流有限公司,物流运输,中冲击,base,1.000000,,0.150000,0.050000,0.250000,1,68.987954,66.252608,较低风险,较低风险,72.089159,62.664612,0.070500,0.070500
E164,个体经营E164 ,可选消费与门店经营,高冲击,base,1.000000,,0.300000,0.100000,0.500000,2,76.968177,71.337573,较低风险,较低风险,79.271359,55.652862,0.074500,0.074500
E165,***文化传媒股份有限公司,文娱广告与线下服务,高冲击,base,1.000000,,0.300000,0.100000,0.500000,2,82.210799,77.427357,低风险,较低风险,83.989720,59.763466,0.046500,0.074500
E166,***建筑工程有限公司,建筑与工程,中高冲击,base,1.250000,销项收入波动系数>1.00；第二问高风险池,0.275000,0.093750,0.475000,2,41.562337,37.990385,高风险,高风险,0.000000,0.000000,0.122500,0.122500
E167,***体育文化股份有限公司,文娱广告与线下服务,高冲击,base,1.150000,毛利率<5%,0.345000,0.115000,0.575000,2,81.575594,73.840960,低风险,较低风险,83.418034,57.342648,0.046500,0.074500
E168,***建材有限公司,建筑与工程,中高冲击,base,1.000000,,0.220000,0.075000,0.380000,2,53.546518,50.471706,中风险,中风险,0.000000,41.000000,0.110500,0.110500
E169,***建筑设计有限公司,建筑与工程,中高冲击,base,1.000000,,0.220000,0.075000,0.380000,2,82.255953,77.976376,低风险,较低风险,84.030358,65.600000,0.046500,0.074500
E170,***建筑劳务有限公司,建筑与工程,中高冲击,base,1.000000,,0.220000,0.075000,0.380000,2,64.892760,62.095747,中风险,中风险,50.000000,41.000000,0.106500,0.106500
E171,***质量检验测试站,其他服务,中冲击,base,1.000000,,0.150000,0.050000,0.250000,1,78.725413,77.159823,较低风险,较低风险,80.000000,71.499456,0.074500,0.074500
E172,***物流有限公司,物流运输,中冲击,base,1.000000,,0.150000,0.050000,0.250000,1,69.468968,67.411175,较低风险,较低风险,72.522072,63.603052,0.070500,0.070500
E173,***贸易有限责任公司,普通批发商贸,中冲击,base,1.150000,毛利率<5%,0.172500,0.057500,0.287500,1,81.645935,78.146500,低风险,较低风险,83.481341,72.000000,0.046500,0.074500
E174,***工程技术有限公司,建筑与工程,中高冲击,base,1.000000,,0.220000,0.075000,0.380000,2,76.621670,72.585987,较低风险,较低风险,78.959503,61.768458,0.074500,0.074500
E175,***食品集团有限公司,食品与基础民生,低冲击,base,1.300000,销项收入波动系数>1.00；毛利率<5%,0.065000,0.026000,0.130000,0,74.704265,73.272457,较低风险,较低风险,77.233838,75.945212,0.074500,0.074500
E176,***科技有限公司,科技与线上服务,中冲击,base,1.000000,,0.150000,0.050000,0.250000,1,67.269619,66.174221,较低风险,较低风险,70.542657,62.601119,0.070500,0.070500
E177,***电力工程有限公司,建筑与工程,中高冲击,base,1.150000,销项收入波动系数>1.00,0.253000,0.086250,0.437000,2,75.784014,70.513710,较低风险,较低风险,78.205613,60.239118,0.074500,0.074500
E178,***贸易有限公司,普通批发商贸,中冲击,base,1.150000,毛利率<5%,0.172500,0.057500,0.287500,1,71.392116,68.031786,较低风险,较低风险,74.252905,64.105747,0.070500,0.070500
E179,***园林有限公司,建筑与工程,中高冲击,base,1.000000,,0.220000,0.075000,0.380000,2,67.627481,64.175623,较低风险,中风险,70.864733,41.000000,0.070500,0.106500
E180,***电气有限公司,其他服务,中冲击,base,1.000000,,0.150000,0.050000,0.250000,1,78.911399,77.038911,较低风险,较低风险,80.000000,71.401518,0.074500,0.074500
E181,***食品有限公司,食品与基础民生,低冲击,base,1.150000,毛利率<5%,0.057500,0.023000,0.115000,0,71.063317,71.577813,较低风险,较低风险,73.956985,74.420031,0.070500,0.074500
E182,***新材料科技有限公司,科技与线上服务,中冲击,base,1.000000,,0.150000,0.050000,0.250000,1,75.850004,73.073596,较低风险,较低风险,78.265004,68.189613,0.074500,0.074500
E183,***建设工程有限公司,建筑与工程,中高冲击,base,1.000000,,0.220000,0.075000,0.380000,2,62.993445,60.527702,中风险,中风险,50.000000,41.000000,0.106500,0.106500
E184,***建筑装饰工程有限公司,装饰装修与家居,高冲击,base,1.150000,销项收入波动系数>1.00,0.345000,0.115000,0.575000,2,70.265643,65.297255,较低风险,较低风险,73.239079,0.000000,0.070500,0.000000
E185,***生态魔芋有限公司,其他服务,中冲击,base,1.000000,,0.150000,0.050000,0.250000,1,64.677025,62.736283,中风险,中风险,50.000000,45.000000,0.106500,0.106500
E186,***建筑劳务有限公司,建筑与工程,中高冲击,base,1.150000,销项收入波动系数>1.00,0.253000,0.086250,0.437000,2,55.415853,51.855550,中风险,中风险,0.000000,41.000000,0.110500,0.110500
E187,个体经营E187 ,可选消费与门店经营,高冲击,base,1.150000,毛利率<5%,0.345000,0.115000,0.575000,2,36.397335,33.087995,高风险,高风险,0.000000,0.000000,0.000000,0.000000
E188,***硬质合金有限公司,其他服务,中冲击,base,1.150000,毛利率<5%,0.172500,0.057500,0.287500,1,81.898536,78.771078,低风险,较低风险,83.708682,72.000000,0.046500,0.074500
E189,***石油工程技术服务有限公司,科技与线上服务,中冲击,base,1.150000,销项收入波动系数>1.00,0.172500,0.057500,0.287500,1,70.686479,68.530571,较低风险,较低风险,73.617831,64.509762,0.070500,0.070500
E190,***劳务有限公司,其他服务,中冲击,base,1.000000,,0.150000,0.050000,0.250000,1,57.044594,54.822006,中风险,中风险,0.000000,45.000000,0.110500,0.110500
E191,***商贸有限责任公司,普通批发商贸,中冲击,base,1.150000,毛利率<5%,0.172500,0.057500,0.287500,1,81.302318,78.797858,低风险,较低风险,83.172087,72.000000,0.046500,0.074500
E192,***建设工程有限公司,建筑与工程,中高冲击,base,1.100000,第二问高风险池,0.242000,0.082500,0.418000,2,44.720590,42.622924,高风险,高风险,0.000000,24.600000,0.122500,0.122500
E193,个体经营E193 ,可选消费与门店经营,高冲击,base,1.000000,,0.300000,0.100000,0.500000,2,75.276702,71.401488,较低风险,较低风险,77.749032,55.696004,0.074500,0.074500
E194,***文化传播有限公司,文娱广告与线下服务,高冲击,base,1.000000,,0.300000,0.100000,0.500000,2,71.618661,68.211392,较低风险,较低风险,74.456795,53.542690,0.070500,0.070500
E195,***医药有限公司,医疗药品与健康服务,低冲击,base,1.000000,,0.050000,0.020000,0.100000,0,84.254562,83.683728,低风险,低风险,85.829106,85.315355,0.046500,0.046500
E196,***地质制图印刷厂,其他服务,中冲击,base,1.000000,,0.150000,0.050000,0.250000,1,76.009258,74.244435,较低风险,较低风险,78.408332,69.137993,0.074500,0.074500
E197,***医疗设备有限公司,医疗药品与健康服务,低冲击,base,1.000000,,0.050000,0.020000,0.100000,0,89.136244,88.133392,低风险,低风险,90.222619,89.320052,0.046500,0.046500
E198,***商贸有限公司,普通批发商贸,中冲击,base,1.150000,毛利率<5%,0.172500,0.057500,0.287500,1,65.025020,61.687954,较低风险,中风险,68.522518,45.000000,0.070500,0.106500
E199,***建筑劳务有限公司,建筑与工程,中高冲击,base,1.250000,销项收入波动系数>1.00；第二问高风险池,0.275000,0.093750,0.475000,2,42.386741,38.374215,高风险,高风险,0.000000,0.000000,0.122500,0.122500
E200,个体经营E200 ,可选消费与门店经营,高冲击,base,1.150000,毛利率<5%,0.345000,0.115000,0.575000,2,67.285700,58.955439,较低风险,中风险,70.557130,37.500000,0.070500,0.110500
E201,***物流有限责任公司,物流运输,中冲击,base,1.150000,销项收入波动系数>1.00,0.172500,0.057500,0.287500,1,68.127018,65.895413,较低风险,较低风险,71.314316,62.375285,0.070500,0.070500
E202,个体经营E202 ,可选消费与门店经营,高冲击,base,1.200000,客户集中度HHI>0.80,0.360000,0.120000,0.600000,2,56.061585,51.395638,中风险,中风险,0.000000,0.000000,0.110500,0.000000
E203,***建设工程有限公司,建筑与工程,中高冲击,base,1.150000,销项收入波动系数>1.00,0.253000,0.086250,0.437000,2,64.318539,60.843688,中风险,中风险,50.000000,41.000000,0.106500,0.106500
E204,***科技发展有限公司,科技与线上服务,中冲击,base,1.000000,,0.150000,0.050000,0.250000,1,78.159448,76.077105,较低风险,较低风险,80.000000,70.622455,0.074500,0.074500
E205,个体经营E205 ,可选消费与门店经营,高冲击,base,1.000000,,0.300000,0.100000,0.500000,2,64.242681,61.626113,中风险,中风险,50.000000,37.500000,0.106500,0.106500
E206,***建设工程有限公司,建筑与工程,中高冲击,base,1.000000,,0.220000,0.075000,0.380000,2,83.489250,79.381858,低风险,较低风险,85.140325,65.600000,0.046500,0.074500
E207,个体经营E207 ,可选消费与门店经营,高冲击,base,1.150000,销项收入波动系数>1.00,0.345000,0.115000,0.575000,2,72.573303,64.011882,较低风险,中风险,75.315973,0.000000,0.074500,0.000000
E208,个体经营E208 ,可选消费与门店经营,高冲击,base,1.150000,毛利率<5%,0.345000,0.115000,0.575000,2,67.649437,60.425118,较低风险,中风险,70.884493,37.500000,0.070500,0.106500
E209,***工程检测有限公司,建筑与工程,中高冲击,base,1.000000,,0.220000,0.075000,0.380000,2,75.605973,72.394404,较低风险,较低风险,78.045375,61.627070,0.074500,0.074500
E210,***建筑工程有限公司,建筑与工程,中高冲击,base,1.000000,,0.220000,0.075000,0.380000,2,50.926195,48.084660,中风险,高风险,0.000000,24.600000,0.110500,0.122500
E211,个体经营E211 ,可选消费与门店经营,高冲击,base,1.000000,,0.300000,0.100000,0.500000,2,64.201688,61.986301,中风险,中风险,50.000000,37.500000,0.106500,0.106500
E212,***建电管理咨询有限公司,其他服务,中冲击,base,1.000000,,0.150000,0.050000,0.250000,1,57.450195,56.028431,中风险,中风险,0.000000,45.000000,0.110500,0.110500
E213,***科技有限公司,科技与线上服务,中冲击,base,1.000000,,0.150000,0.050000,0.250000,1,78.282754,76.652059,较低风险,较低风险,80.000000,71.088168,0.074500,0.074500
E214,***建筑工程有限公司,建筑与工程,中高冲击,base,1.000000,,0.220000,0.075000,0.380000,2,68.413734,64.916270,较低风险,中风险,71.572361,41.000000,0.070500,0.106500
E215,***建筑工程有限公司,建筑与工程,中高冲击,base,1.000000,,0.220000,0.075000,0.380000,2,52.703281,49.477345,中风险,高风险,0.000000,24.600000,0.110500,0.122500
E216,***建设工程有限公司,建筑与工程,中高冲击,base,1.000000,,0.220000,0.075000,0.380000,2,69.819566,66.388411,较低风险,较低风险,72.837609,57.194648,0.070500,0.070500
E217,个体经营E217 ,可选消费与门店经营,高冲击,base,1.300000,销项收入波动系数>1.00；毛利率<5%,0.390000,0.130000,0.650000,3,32.714219,28.502897,高风险,高风险,0.000000,0.000000,0.000000,0.000000
E218,***建设工程有限公司,建筑与工程,中高冲击,base,1.300000,销项收入波动系数>1.00；毛利率<5%,0.286000,0.097500,0.494000,3,54.720828,47.494571,中风险,高风险,0.000000,0.000000,0.000000,0.000000
E219,***品牌营销策划有限公司,文娱广告与线下服务,高冲击,base,1.300000,销项收入波动系数>1.00；毛利率<5%,0.390000,0.130000,0.650000,3,63.980999,54.036434,中风险,中风险,50.000000,0.000000,0.106500,0.000000
E220,***文化传播有限公司,文娱广告与线下服务,高冲击,base,1.000000,,0.300000,0.100000,0.500000,2,78.307039,74.081181,较低风险,较低风险,80.000000,57.504797,0.074500,0.074500
E221,***测绘服务有限公司,其他服务,中冲击,base,1.000000,,0.150000,0.050000,0.250000,1,76.825419,74.828833,较低风险,较低风险,79.142877,69.611355,0.074500,0.074500
E222,***数码科技有限公司,科技与线上服务,中冲击,base,1.250000,销项收入波动系数>1.00；第二问高风险池,0.187500,0.062500,0.312500,1,67.644730,65.198950,较低风险,较低风险,30.000000,27.000000,0.070500,0.070500
E223,***科技有限公司,科技与线上服务,中冲击,base,1.150000,毛利率<5%,0.172500,0.057500,0.287500,1,57.280426,54.170684,中风险,中风险,0.000000,45.000000,0.110500,0.110500
E224,***纸业有限公司,其他服务,中冲击,base,1.150000,毛利率<5%,0.172500,0.057500,0.287500,1,74.659548,71.158055,较低风险,较低风险,77.193593,66.638025,0.074500,0.074500
E225,***物业服务有限责任公司***分公司,其他服务,中冲击,base,1.000000,,0.150000,0.050000,0.250000,1,80.327915,78.511255,低风险,较低风险,82.295123,72.000000,0.046500,0.074500
E226,***建设工程有限公司,建筑与工程,中高冲击,base,1.300000,销项收入波动系数>1.00；毛利率<5%,0.286000,0.097500,0.494000,3,64.076513,55.541182,中风险,中风险,50.000000,41.000000,0.106500,0.110500
E227,***安全技术有限公司,其他服务,中冲击,base,1.000000,,0.150000,0.050000,0.250000,1,75.732559,73.545082,较低风险,较低风险,78.159303,68.571516,0.074500,0.074500
E228,***文化发展有限公司,文娱广告与线下服务,高冲击,base,1.000000,,0.300000,0.100000,0.500000,2,69.339662,66.594447,较低风险,较低风险,72.405696,52.451252,0.070500,0.070500
E229,***家贸易有限公司,普通批发商贸,中冲击,base,1.150000,毛利率<5%,0.172500,0.057500,0.287500,1,65.994846,63.271036,较低风险,中风险,69.395362,45.000000,0.070500,0.106500
E230,***建筑劳务有限公司,建筑与工程,中高冲击,base,1.250000,销项收入波动系数>1.00；第二问高风险池,0.275000,0.093750,0.475000,2,48.414167,42.446907,高风险,高风险,0.000000,24.600000,0.122500,0.122500
E231,***建筑科技有限公司,科技与线上服务,中冲击,base,1.150000,毛利率<5%,0.172500,0.057500,0.287500,1,58.969851,55.664514,中风险,中风险,50.000000,45.000000,0.110500,0.110500
E232,***投资发展有限责任公司,其他服务,中冲击,base,1.150000,销项收入波动系数>1.00,0.172500,0.057500,0.287500,1,59.696476,56.751856,中风险,中风险,50.000000,45.000000,0.110500,0.110500
E233,***劳务有限公司,其他服务,中冲击,base,1.450000,客户集中度HHI>0.80；销项收入波动系数>1.00；第二问高风险池,0.217500,0.072500,0.362500,1,42.003675,40.143502,高风险,高风险,0.000000,27.000000,0.122500,0.122500
E234,***机电设备商贸有限公司,制造与设备,中冲击,base,1.000000,,0.150000,0.050000,0.250000,1,60.129459,60.520083,中风险,中风险,50.000000,45.000000,0.110500,0.106500
E235,个体经营E235 ,可选消费与门店经营,高冲击,base,1.000000,,0.300000,0.100000,0.500000,2,63.392074,61.232262,中风险,中风险,50.000000,37.500000,0.106500,0.106500
E236,个体经营E236 ,可选消费与门店经营,高冲击,base,1.100000,第二问高风险池,0.330000,0.110000,0.550000,2,47.786844,41.902239,高风险,高风险,0.000000,0.000000,0.122500,0.000000
E237,个体经营E237 ,可选消费与门店经营,高冲击,base,1.100000,第二问高风险池,0.330000,0.110000,0.550000,2,53.582765,49.372991,中风险,高风险,0.000000,0.000000,0.110500,0.000000
E238,个体经营E238 ,可选消费与门店经营,高冲击,base,1.000000,,0.300000,0.100000,0.500000,2,73.932646,71.711696,较低风险,较低风险,76.539382,55.905395,0.074500,0.074500
E239,个体经营E239 ,可选消费与门店经营,高冲击,base,1.150000,毛利率<5%,0.345000,0.115000,0.575000,2,60.110027,53.640896,中风险,中风险,50.000000,0.000000,0.110500,0.000000
E240,个体经营E240 ,可选消费与门店经营,高冲击,base,1.500000,客户集中度HHI>0.80；销项收入波动系数>1.00；毛利率<5%,0.450000,0.150000,0.750000,3,39.581968,33.218854,高风险,高风险,0.000000,0.000000,0.000000,0.000000
E241,个体经营E241 ,可选消费与门店经营,高冲击,base,1.000000,,0.300000,0.100000,0.500000,2,55.732532,53.927075,中风险,中风险,0.000000,37.500000,0.110500,0.110500
E242,个体经营E242 ,可选消费与门店经营,高冲击,base,1.150000,毛利率<5%,0.345000,0.115000,0.575000,2,34.920324,31.825772,高风险,高风险,0.000000,0.000000,0.000000,0.000000
E243,***科技有限公司,科技与线上服务,中冲击,base,1.000000,,0.150000,0.050000,0.250000,1,56.466504,55.350748,中风险,中风险,0.000000,45.000000,0.110500,0.110500
E244,个体经营E244 ,可选消费与门店经营,高冲击,base,1.000000,,0.300000,0.100000,0.500000,2,56.669470,54.352828,中风险,中风险,0.000000,37.500000,0.110500,0.110500
E245,***建筑劳务有限公司,建筑与工程,中高冲击,base,1.100000,第二问高风险池,0.242000,0.082500,0.418000,2,44.291006,42.055209,高风险,高风险,0.000000,24.600000,0.122500,0.122500
E246,***物业服务有限公司,其他服务,中冲击,base,1.000000,,0.150000,0.050000,0.250000,1,63.544107,63.056218,中风险,中风险,50.000000,45.000000,0.106500,0.106500
E247,***石化有限公司,其他服务,中冲击,base,1.000000,,0.150000,0.050000,0.250000,1,62.501036,61.062769,中风险,中风险,50.000000,45.000000,0.106500,0.106500
E248,***智能科技有限公司,科技与线上服务,中冲击,base,1.150000,销项收入波动系数>1.00,0.172500,0.057500,0.287500,1,64.178517,62.142189,中风险,中风险,50.000000,45.000000,0.106500,0.106500
E249,***建筑工程有限公司,建筑与工程,中高冲击,base,1.200000,客户集中度HHI>0.80,0.264000,0.090000,0.456000,2,58.603573,54.402936,中风险,中风险,50.000000,41.000000,0.110500,0.110500
E250,***塑料厂,其他服务,中冲击,base,1.000000,,0.150000,0.050000,0.250000,1,58.282893,57.801607,中风险,中风险,50.000000,45.000000,0.110500,0.110500
E251,***医疗器械有限责任公司,医疗药品与健康服务,低冲击,base,1.150000,销项收入波动系数>1.00,0.057500,0.023000,0.115000,0,57.376211,56.843927,中风险,中风险,0.000000,50.000000,0.110500,0.110500
E252,***印务有限公司,其他服务,中冲击,base,1.150000,销项收入波动系数>1.00,0.172500,0.057500,0.287500,1,66.712769,64.681877,较低风险,中风险,70.041492,45.000000,0.070500,0.106500
E253,***钢结构工程有限公司,建筑与工程,中高冲击,base,1.000000,,0.220000,0.075000,0.380000,2,65.859912,63.159017,较低风险,中风险,69.273921,41.000000,0.070500,0.106500
E254,***设备安装工程有限公司,建筑与工程,中高冲击,base,1.000000,,0.220000,0.075000,0.380000,2,53.079104,50.922007,中风险,中风险,0.000000,41.000000,0.110500,0.110500
E255,个体经营E255 ,可选消费与门店经营,高冲击,base,1.000000,,0.300000,0.100000,0.500000,2,57.830223,55.273733,中风险,中风险,50.000000,37.500000,0.110500,0.110500
E256,***物资有限公司,普通批发商贸,中冲击,base,1.000000,,0.150000,0.050000,0.250000,1,68.048572,67.679909,较低风险,较低风险,71.243715,63.820726,0.070500,0.070500
E257,***门窗安装有限公司,装饰装修与家居,高冲击,base,1.000000,,0.300000,0.100000,0.500000,2,60.434667,57.005415,中风险,中风险,50.000000,37.500000,0.110500,0.110500
E258,***国际货运有限公司,物流运输,中冲击,base,1.000000,,0.150000,0.050000,0.250000,1,67.272923,66.056816,较低风险,较低风险,70.545631,62.506021,0.070500,0.070500
E259,***文化传媒有限公司,文娱广告与线下服务,高冲击,base,1.000000,,0.300000,0.100000,0.500000,2,71.616405,68.790644,较低风险,较低风险,74.454765,53.933684,0.070500,0.070500
E260,***广告有限公司,文娱广告与线下服务,高冲击,base,1.000000,,0.300000,0.100000,0.500000,2,70.506954,67.338481,较低风险,较低风险,73.456258,52.953474,0.070500,0.070500
E261,***医疗器械有限公司,医疗药品与健康服务,低冲击,base,1.000000,,0.050000,0.020000,0.100000,0,65.314003,65.214061,较低风险,较低风险,68.782603,68.692655,0.070500,0.070500
E262,个体经营E262 ,可选消费与门店经营,高冲击,base,1.150000,销项收入波动系数>1.00,0.345000,0.115000,0.575000,2,65.466372,61.438590,较低风险,中风险,68.919735,0.000000,0.070500,0.000000
E263,***通信工程有限公司,建筑与工程,中高冲击,base,1.150000,销项收入波动系数>1.00,0.253000,0.086250,0.437000,2,56.527908,53.477960,中风险,中风险,0.000000,41.000000,0.110500,0.110500
E264,个体经营E264 ,可选消费与门店经营,高冲击,base,1.150000,毛利率<5%,0.345000,0.115000,0.575000,2,34.469857,31.666860,高风险,高风险,0.000000,0.000000,0.000000,0.000000
E265,***净化工程有限公司,建筑与工程,中高冲击,base,1.000000,,0.220000,0.075000,0.380000,2,65.013071,61.348108,较低风险,中风险,68.511764,41.000000,0.070500,0.106500
E266,***煤矿机械有限公司,制造与设备,中冲击,base,1.100000,第二问高风险池,0.165000,0.055000,0.275000,1,48.483960,47.523550,高风险,高风险,0.000000,27.000000,0.122500,0.122500
