行业类别,冲击等级,脆弱性修正系数,企业代号,企业名称,估计信用等级,有效销项金额,有效进项金额,月均销项收入,毛利率,有效销项发票数,有效进项发票数,销项作废率,进项作废率,销项负数率,进项负数率,有效经营月份数,最长销项断档月数,销项收入波动系数,客户数,供应商数,客户集中度HHI,供应商集中度HHI,进销匹配差异,经营规模分,经营连续性分,交易真实性分,抗风险能力分,经营综合预评分,信用基础分,信用得分,风险得分,最大作废率,最大负数率,是否一票否决,一票否决原因,是否高风险池,高风险池原因,风险等级,分级依据指标
建筑与工程,中高冲击,1.000000,E134,***工程咨询有限公司,类A,95796066.584401,3928745.500000,2589082.880660,0.893011,2835.000000,1664.000000,0.076547,0.018289,0.018893,0.004130,35.000000,2.000000,1.086612,1672.000000,581.000000,0.007615,0.109889,0.968011,36.988556,81.185944,69.509277,95.236703,67.817713,90.000000,70.908988,29.091012,0.076547,0.018893,否,,否,,较低风险,信用得分=70.91，有效销项金额=95796066.58，毛利率=89.30%，有效经营月份=35.0，最大作废率=7.65%，最大负数率=1.89%，进销匹配差异=0.97，客户HHI=0.008，供应商HHI=0.110
建筑与工程,中高冲击,1.000000,E135,***建设工程有限公司,类B,105719295.645600,24565279.450000,3020551.304160,0.743757,367.000000,2847.000000,0.111380,0.015220,0.033898,0.001730,35.000000,4.000000,1.098484,73.000000,364.000000,0.092281,0.050838,0.818757,49.048337,76.021054,64.993853,66.594476,63.287123,75.000000,64.533653,35.466347,0.111380,0.033898,否,,否,,中风险,信用得分=64.53，有效销项金额=105719295.65，毛利率=74.38%，有效经营月份=35.0，最大作废率=11.14%，最大负数率=3.39%，进销匹配差异=0.82，客户HHI=0.092，供应商HHI=0.051
制造与设备,中冲击,1.350000,E136,***机械有限责任公司,类C,93030117.824600,114520005.260000,3322504.208022,-0.049222,1284.000000,1286.000000,0.052399,0.001553,0.002952,0.000776,28.000000,2.000000,1.254639,4.000000,16.000000,0.639820,0.999322,0.018278,55.082740,68.352233,91.901475,5.528119,57.693873,60.000000,57.522124,42.477876,0.052399,0.002952,否,,否,,中风险,信用得分=57.52，有效销项金额=93030117.82，毛利率=-4.92%，有效经营月份=28.0，最大作废率=5.24%，最大负数率=0.30%，进销匹配差异=0.02，客户HHI=0.640，供应商HHI=0.999
建筑与工程,中高冲击,1.150000,E137,***建设工程有限公司,类A,107018486.571240,103268584.529999,3567282.885708,0.192925,231.000000,3141.000000,0.090551,0.042670,0.023622,0.011582,35.000000,4.000000,1.512221,25.000000,675.000000,0.137409,0.038214,0.279175,67.609898,70.274706,78.893997,72.318708,72.038887,90.000000,74.144657,25.855343,0.090551,0.023622,否,,否,,较低风险,信用得分=74.14，有效销项金额=107018486.57，毛利率=19.29%，有效经营月份=35.0，最大作废率=9.06%，最大负数率=2.36%，进销匹配差异=0.28，客户HHI=0.137，供应商HHI=0.038
可选消费与门店经营,高冲击,1.000000,E138,个体经营E138 ,类B,75482218.721000,20785662.730000,2096728.297805,0.707240,1439.000000,512.000000,0.035523,0.015385,0.008043,0.048077,34.000000,2.000000,0.918141,118.000000,54.000000,0.042573,0.173865,0.807240,40.714640,82.025819,73.688530,55.380142,62.219008,75.000000,63.581985,36.418015,0.035523,0.048077,否,,否,,中风险,信用得分=63.58，有效销项金额=75482218.72，毛利率=70.72%，有效经营月份=34.0，最大作废率=3.55%，最大负数率=4.81%，进销匹配差异=0.81，客户HHI=0.043，供应商HHI=0.174
可选消费与门店经营,高冲击,1.000000,E139,个体经营E139 ,类B,131399469.173001,1210488.040000,3649985.254805,0.893551,12209.000000,457.000000,0.047808,0.031780,0.002574,0.004237,34.000000,2.000000,0.608216,167.000000,77.000000,0.097390,0.076610,0.993551,49.006121,86.330340,75.284188,61.589134,67.423295,75.000000,68.156472,31.843528,0.047808,0.004237,否,,否,,较低风险,信用得分=68.16，有效销项金额=131399469.17，毛利率=89.36%，有效经营月份=34.0，最大作废率=4.78%，最大负数率=0.42%，进销匹配差异=0.99，客户HHI=0.097，供应商HHI=0.077
建筑与工程,中高冲击,1.000000,E140,***建筑工程有限公司,类B,142294645.779000,6926522.320000,3845801.237270,0.887032,726.000000,2023.000000,0.140828,0.024590,0.026036,0.008679,35.000000,2.000000,1.112826,20.000000,561.000000,0.135180,0.118147,0.962032,52.515993,80.821854,59.543120,66.741196,64.194281,75.000000,65.027388,34.972612,0.140828,0.026036,否,,否,,较低风险,信用得分=65.03，有效销项金额=142294645.78，毛利率=88.70%，有效经营月份=35.0，最大作废率=14.08%，最大负数率=2.60%，进销匹配差异=0.96，客户HHI=0.135，供应商HHI=0.118
食品与基础民生,低冲击,1.000000,E141,***食品有限公司,类A,151406219.790000,39177009.150000,4325891.994000,0.734183,4458.000000,1357.000000,0.059494,0.039632,0.030380,0.002123,36.000000,0.000000,0.466287,1183.000000,208.000000,0.015721,0.056889,0.754183,64.798029,96.301574,73.915638,81.933812,78.380474,90.000000,79.325494,20.674506,0.059494,0.030380,否,,否,,较低风险,信用得分=79.33，有效销项金额=151406219.79，毛利率=73.42%，有效经营月份=36.0，最大作废率=5.95%，最大负数率=3.04%，进销匹配差异=0.75，客户HHI=0.016，供应商HHI=0.057
其他服务,中冲击,1.000000,E142,***运业有限公司,类A,82677527.693999,49328650.860000,2234527.775513,0.442857,1366.000000,704.000000,0.074526,0.031637,0.006775,0.015131,36.000000,1.000000,0.772035,66.000000,96.000000,0.300534,0.234734,0.492857,56.864081,89.555069,78.671713,42.686424,67.653204,90.000000,69.332247,30.667753,0.074526,0.015131,否,,否,,较低风险,信用得分=69.33，有效销项金额=82677527.69，毛利率=44.29%，有效经营月份=36.0，最大作废率=7.45%，最大负数率=1.51%，进销匹配差异=0.49，客户HHI=0.301，供应商HHI=0.235
科技与线上服务,中冲击,1.150000,E143,***电子科技有限公司,类B,74838987.824099,32709212.260000,2078860.772892,0.580832,1099.000000,3579.000000,0.044348,0.036349,0.018261,0.012116,37.000000,2.000000,1.485510,76.000000,598.000000,0.385517,0.079589,0.638332,47.397342,77.145698,79.881320,65.925807,66.661118,75.000000,67.933966,32.066034,0.044348,0.018261,否,,否,,较低风险,信用得分=67.93，有效销项金额=74838987.82，毛利率=58.08%，有效经营月份=37.0，最大作废率=4.43%，最大负数率=1.83%，进销匹配差异=0.64，客户HHI=0.386，供应商HHI=0.080
其他服务,中冲击,1.000000,E144,***劳务有限公司,类B,88543059.878999,8662197.310000,3279372.588111,0.866844,1245.000000,2434.000000,0.084559,0.017756,0.042647,0.004439,29.000000,2.000000,1.176856,28.000000,671.000000,0.128593,0.074268,0.916844,39.706460,70.932552,65.719920,71.685926,60.412241,75.000000,62.380291,37.619709,0.084559,0.042647,否,,否,,中风险,信用得分=62.38，有效销项金额=88543059.88，毛利率=86.68%，有效经营月份=29.0，最大作废率=8.46%，最大负数率=4.26%，进销匹配差异=0.92，客户HHI=0.129，供应商HHI=0.074
其他服务,中冲击,1.150000,E145,***工贸有限公司,类A,97288943.349650,112976762.780000,2629430.901342,-0.018434,3844.000000,2916.000000,0.099977,0.024096,0.018965,0.006024,36.000000,1.000000,0.508256,394.000000,377.000000,0.087159,0.148676,0.039066,55.775072,93.218666,82.474815,83.636365,77.383165,90.000000,78.933478,21.066522,0.099977,0.018965,否,,否,,较低风险,信用得分=78.93，有效销项金额=97288943.35，毛利率=-1.84%，有效经营月份=36.0，最大作废率=10.00%，最大负数率=1.90%，进销匹配差异=0.04，客户HHI=0.087，供应商HHI=0.149
建筑与工程,中高冲击,1.000000,E146,***基础建设工程有限公司,类A,102266274.575400,123019829.789999,2763953.366903,-0.013290,1416.000000,3170.000000,0.121588,0.024615,0.021092,0.002462,35.000000,2.000000,0.858955,63.000000,383.000000,0.079834,0.368785,0.061710,57.843175,84.347850,78.733955,56.766198,69.476643,90.000000,71.367092,28.632908,0.121588,0.021092,否,,否,,较低风险,信用得分=71.37，有效销项金额=102266274.58，毛利率=-1.33%，有效经营月份=35.0，最大作废率=12.16%，最大负数率=2.11%，进销匹配差异=0.06，客户HHI=0.080，供应商HHI=0.369
装饰装修与家居,高冲击,1.000000,E147,***装饰工程有限责任公司,类A,131368848.149001,147605710.199996,3649134.670805,0.113482,2314.000000,5603.000000,0.024040,0.064764,0.010122,0.010683,35.000000,3.000000,1.092786,145.000000,733.000000,0.060312,0.050908,0.213482,73.189706,78.600194,85.594655,83.992132,79.804051,90.000000,81.214555,18.785445,0.064764,0.010683,否,,否,,低风险,信用得分=81.21，有效销项金额=131368848.15，毛利率=11.35%，有效经营月份=35.0，最大作废率=6.48%，最大负数率=1.07%，进销匹配差异=0.21，客户HHI=0.060，供应商HHI=0.051
普通批发商贸,中冲击,1.000000,E148,***商贸有限公司,类B,68482947.194500,28869945.280000,4028408.658500,0.591671,270.000000,511.000000,0.039146,0.064103,0.003559,0.003663,35.000000,3.000000,1.159051,186.000000,134.000000,0.011078,0.477567,0.641671,53.492369,77.679844,79.246887,55.032328,66.285859,75.000000,67.227248,32.772752,0.064103,0.003663,否,,否,,较低风险,信用得分=67.23，有效销项金额=68482947.19，毛利率=59.17%，有效经营月份=35.0，最大作废率=6.41%，最大负数率=0.37%，进销匹配差异=0.64，客户HHI=0.011，供应商HHI=0.478
建筑与工程,中高冲击,1.000000,E149,***建筑劳务有限公司,类C,78967672.882801,566820.350000,3037218.187800,0.919401,1147.000000,285.000000,0.064437,0.027304,0.026101,0.000000,32.000000,5.000000,1.221911,10.000000,109.000000,0.230663,0.191524,0.994401,33.778077,67.306787,69.661653,42.349354,52.845404,60.000000,53.791161,46.208839,0.064437,0.026101,否,,否,,中风险,信用得分=53.79，有效销项金额=78967672.88，毛利率=91.94%，有效经营月份=32.0，最大作废率=6.44%，最大负数率=2.61%，进销匹配差异=0.99，客户HHI=0.231，供应商HHI=0.192
建筑与工程,中高冲击,1.000000,E150,***建设工程有限公司,类A,89121532.609200,83207437.350000,2475598.128033,0.196761,410.000000,3268.000000,0.116379,0.032850,0.002155,0.004735,35.000000,3.000000,1.109657,126.000000,463.000000,0.073720,0.036822,0.271761,59.247181,78.365880,78.240872,75.864345,72.098711,90.000000,74.218058,25.781942,0.116379,0.004735,否,,否,,较低风险,信用得分=74.22，有效销项金额=89121532.61，毛利率=19.68%，有效经营月份=35.0，最大作废率=11.64%，最大负数率=0.47%，进销匹配差异=0.27，客户HHI=0.074，供应商HHI=0.037
建筑与工程,中高冲击,1.000000,E151,***路桥工程有限公司,类C,79888499.301000,10289917.700000,3473413.013087,0.824533,140.000000,781.000000,0.054054,0.024969,0.000000,0.001248,29.000000,4.000000,1.181283,5.000000,172.000000,0.274239,0.278050,0.899533,40.953025,65.871073,76.503412,40.312818,55.942092,60.000000,56.600887,43.399113,0.054054,0.001248,否,,否,,中风险,信用得分=56.60，有效销项金额=79888499.30，毛利率=82.45%，有效经营月份=29.0，最大作废率=5.41%，最大负数率=0.12%，进销匹配差异=0.90，客户HHI=0.274，供应商HHI=0.278
其他服务,中冲击,1.000000,E152,***运贸有限责任公司,类B,101669968.791500,6302403.630000,2747836.994365,0.897309,1488.000000,891.000000,0.024262,0.023026,0.005902,0.025219,36.000000,1.000000,0.378046,15.000000,148.000000,0.696124,0.203977,0.947309,38.674415,95.027135,76.242563,29.000515,60.219852,75.000000,61.034774,38.965226,0.024262,0.025219,否,,否,,中风险,信用得分=61.03，有效销项金额=101669968.79，毛利率=89.73%，有效经营月份=36.0，最大作废率=2.43%，最大负数率=2.52%，进销匹配差异=0.95，客户HHI=0.696，供应商HHI=0.204
可选消费与门店经营,高冲击,1.150000,E153,个体经营E153 ,类C,157870567.882800,87916.360000,5443812.685614,0.884635,280.000000,71.000000,0.211268,0.000000,0.002817,0.000000,30.000000,4.000000,1.655355,6.000000,33.000000,0.494476,0.451701,0.999635,62.601691,60.786737,52.506317,22.177867,51.539344,60.000000,51.369923,48.630077,0.211268,0.002817,否,,是,高冲击行业且销项收入波动系数>1.5,中风险,信用得分=51.37，有效销项金额=157870567.88，毛利率=88.46%，有效经营月份=30.0，最大作废率=21.13%，最大负数率=0.28%，进销匹配差异=1.00，客户HHI=0.494，供应商HHI=0.452
其他服务,中冲击,1.150000,E154,***汽车销售服务有限公司,类B,61613911.695575,123056747.009999,2053797.056519,-0.710202,1816.000000,2657.000000,0.055642,0.014466,0.013001,0.020030,29.000000,1.000000,0.786798,303.000000,300.000000,0.364127,0.386617,0.652702,21.583263,78.850032,77.783335,62.962994,58.225919,75.000000,60.704255,39.295745,0.055642,0.020030,否,,否,,中风险,信用得分=60.70，有效销项金额=61613911.70，毛利率=-71.02%，有效经营月份=29.0，最大作废率=5.56%，最大负数率=2.00%，进销匹配差异=0.65，客户HHI=0.364，供应商HHI=0.387
可选消费与门店经营,高冲击,1.000000,E155,个体经营E155 ,类B,55017050.886000,74244539.660000,2200682.035440,-0.044638,1045.000000,398.000000,0.035088,0.045564,0.008310,0.021583,23.000000,2.000000,0.870208,56.000000,50.000000,0.075685,0.164519,0.055362,42.658245,66.191549,89.414755,49.492770,61.597603,75.000000,63.655114,36.344886,0.045564,0.021583,否,,否,,中风险,信用得分=63.66，有效销项金额=55017050.89，毛利率=-4.46%，有效经营月份=23.0，最大作废率=4.56%，最大负数率=2.16%，进销匹配差异=0.06，客户HHI=0.076，供应商HHI=0.165
可选消费与门店经营,高冲击,1.150000,E156,个体经营E156 ,类C,100783151.067550,2141865.020000,2964210.325516,0.871080,384.000000,592.000000,0.135135,0.031097,0.065315,0.018003,34.000000,4.000000,2.304691,32.000000,151.000000,0.178671,0.203084,0.986080,40.808125,62.000000,54.027450,47.096132,50.668526,60.000000,51.528120,48.471880,0.135135,0.065315,否,,是,高冲击行业且销项收入波动系数>1.5,中风险,信用得分=51.53，有效销项金额=100783151.07，毛利率=87.11%，有效经营月份=34.0，最大作废率=13.51%，最大负数率=6.53%，进销匹配差异=0.99，客户HHI=0.179，供应商HHI=0.203
建筑与工程,中高冲击,1.150000,E157,***环境设备工程有限公司,类B,50136044.742719,47908999.590000,1474589.551256,0.199932,918.000000,1472.000000,0.081081,0.052157,0.075075,0.007727,35.000000,4.000000,2.309598,87.000000,307.000000,0.202763,0.051051,0.286182,46.719583,63.500000,72.379225,61.875164,60.360714,75.000000,62.349735,37.650265,0.081081,0.075075,否,,否,,中风险,信用得分=62.35，有效销项金额=50136044.74，毛利率=19.99%，有效经营月份=35.0，最大作废率=8.11%，最大负数率=7.51%，进销匹配差异=0.29，客户HHI=0.203，供应商HHI=0.051
装饰装修与家居,高冲击,1.350000,E158,***装饰工程有限公司,类C,47077006.537051,62683706.160000,1681321.662037,0.072749,859.000000,1099.000000,0.128803,0.063884,0.000000,0.011073,28.000000,4.000000,2.523821,9.000000,303.000000,0.174574,0.826378,0.207749,46.915198,53.000000,76.671022,32.367011,52.965717,60.000000,53.969957,46.030043,0.128803,0.011073,否,,是,高冲击行业且销项收入波动系数>1.5,中风险,信用得分=53.97，有效销项金额=47077006.54，毛利率=7.27%，有效经营月份=28.0，最大作废率=12.88%，最大负数率=1.11%，进销匹配差异=0.21，客户HHI=0.175，供应商HHI=0.826
可选消费与门店经营,高冲击,1.000000,E159,个体经营E159 ,类A,72220240.113000,66228852.230000,2063435.431800,0.258072,233.000000,4472.000000,0.079051,0.045260,0.007905,0.002989,33.000000,3.000000,1.017745,80.000000,1037.000000,0.042599,0.041974,0.358072,53.906194,76.642424,81.480850,79.641205,71.630918,90.000000,74.103487,25.896513,0.079051,0.007905,否,,否,,较低风险,信用得分=74.10，有效销项金额=72220240.11，毛利率=25.81%，有效经营月份=33.0，最大作废率=7.91%，最大负数率=0.79%，进销匹配差异=0.36，客户HHI=0.043，供应商HHI=0.042
建筑与工程,中高冲击,1.000000,E160,***钢结构工程有限公司,类A,173810105.492398,150164582.909999,4697570.418714,0.251113,2814.000000,4245.000000,0.166716,0.031706,0.033758,0.002965,35.000000,2.000000,1.037814,65.000000,424.000000,0.217512,0.094994,0.326113,86.657133,81.863697,65.889083,62.937918,75.522918,90.000000,76.096877,23.903123,0.166716,0.033758,否,,否,,较低风险,信用得分=76.10，有效销项金额=173810105.49，毛利率=25.11%，有效经营月份=35.0，最大作废率=16.67%，最大负数率=3.38%，进销匹配差异=0.33，客户HHI=0.218，供应商HHI=0.095
建筑与工程,中高冲击,1.000000,E161,***建筑劳务有限责任公司,类C,120042077.118600,879826.760000,3637638.700564,0.919283,238.000000,246.000000,0.176471,0.008065,0.010381,0.000000,35.000000,3.000000,1.228313,21.000000,140.000000,0.088263,0.143158,0.994283,45.106764,76.717873,56.336957,50.591277,56.913992,60.000000,56.822760,43.177240,0.176471,0.010381,否,,否,,中风险,信用得分=56.82，有效销项金额=120042077.12，毛利率=91.93%，有效经营月份=35.0，最大作废率=17.65%，最大负数率=1.04%，进销匹配差异=0.99，客户HHI=0.088，供应商HHI=0.143
科技与线上服务,中冲击,1.300000,E162,***网络信息安全有限公司,类A,110253733.139900,133517857.640000,3062603.698331,-0.039859,471.000000,9820.000000,0.078278,0.052398,0.058708,0.023545,37.000000,2.000000,1.900213,100.000000,1277.000000,0.065362,0.052194,0.025141,58.519063,71.385931,79.794912,80.185595,71.388049,90.000000,73.892799,26.107201,0.078278,0.058708,否,,否,,较低风险,信用得分=73.89，有效销项金额=110253733.14，毛利率=-3.99%，有效经营月份=37.0，最大作废率=7.83%，最大负数率=5.87%，进销匹配差异=0.03，客户HHI=0.065，供应商HHI=0.052
物流运输,中冲击,1.000000,E163,***物流有限公司,类B,111089599.542000,75117230.539999,3085822.209500,0.375242,928.000000,2576.000000,0.150183,0.021648,0.008242,0.003798,37.000000,2.000000,1.112232,23.000000,267.000000,0.581995,0.130471,0.425242,66.497117,82.330104,70.296345,40.441108,66.193969,75.000000,66.252608,33.747392,0.150183,0.008242,否,,否,,较低风险,信用得分=66.25，有效销项金额=111089599.54，毛利率=37.52%，有效经营月份=37.0，最大作废率=15.02%，最大负数率=0.82%，进销匹配差异=0.43，客户HHI=0.582，供应商HHI=0.130
可选消费与门店经营,高冲击,1.000000,E164,个体经营E164 ,类A,83880745.711000,70610100.740000,2330020.714195,0.310746,1453.000000,4099.000000,0.125226,0.022651,0.012643,0.009061,34.000000,2.000000,1.149786,85.000000,503.000000,0.040809,0.223781,0.410746,57.517608,78.808528,73.383855,69.252509,69.153880,90.000000,71.337573,28.662427,0.125226,0.012643,否,,否,,较低风险,信用得分=71.34，有效销项金额=83880745.71，毛利率=31.07%，有效经营月份=34.0，最大作废率=12.52%，最大负数率=1.26%，进销匹配差异=0.41，客户HHI=0.041，供应商HHI=0.224
文娱广告与线下服务,高冲击,1.000000,E165,***文化传媒股份有限公司,类A,79953841.961001,86924609.020000,2160914.647594,0.138971,2346.000000,4147.000000,0.099770,0.041156,0.044513,0.011098,35.000000,2.000000,0.737493,246.000000,918.000000,0.040043,0.068418,0.238971,55.973654,86.034819,75.173258,92.168325,75.527780,90.000000,77.427357,22.572643,0.099770,0.044513,否,,否,,较低风险,信用得分=77.43，有效销项金额=79953841.96，毛利率=13.90%，有效经营月份=35.0，最大作废率=9.98%，最大负数率=4.45%，进销匹配差异=0.24，客户HHI=0.040，供应商HHI=0.068
建筑与工程,中高冲击,1.250000,E166,***建筑工程有限公司,类D,56273538.867501,2927643.390000,1875784.628916,0.868532,1397.000000,168.000000,0.111323,0.017544,0.164122,0.000000,32.000000,5.000000,2.224229,14.000000,73.000000,0.498903,0.236909,0.962282,26.869232,56.500000,42.956545,31.169702,39.158846,30.000000,37.990385,62.009615,0.111323,0.164122,否,,是,信用得分37.99 < 50；最大负数率16.41% > 15%,高风险,信用得分=37.99，有效销项金额=56273538.87，毛利率=86.85%，有效经营月份=32.0，最大作废率=11.13%，最大负数率=16.41%，进销匹配差异=0.96，客户HHI=0.499，供应商HHI=0.237
文娱广告与线下服务,高冲击,1.150000,E167,***体育文化股份有限公司,类A,78356225.191600,138709711.309999,2117735.815989,-0.274510,4642.000000,7071.000000,0.067684,0.031104,0.018678,0.013428,35.000000,2.000000,0.588946,2466.000000,1095.000000,0.076564,0.107029,0.159510,27.636218,88.097972,84.931115,95.397660,70.627669,90.000000,73.840960,26.159040,0.067684,0.018678,否,,否,,较低风险,信用得分=73.84，有效销项金额=78356225.19，毛利率=-27.45%，有效经营月份=35.0，最大作废率=6.77%，最大负数率=1.87%，进销匹配差异=0.16，客户HHI=0.077，供应商HHI=0.107
建筑与工程,中高冲击,1.000000,E168,***建材有限公司,类C,70363724.269800,1361564.030000,2426335.319648,0.909907,399.000000,461.000000,0.038554,0.000000,0.000000,0.000000,28.000000,5.000000,0.944813,12.000000,8.000000,0.410706,0.490479,0.984907,29.920025,65.155377,77.366568,23.094910,49.225476,60.000000,50.471706,49.528294,0.038554,0.000000,否,,否,,中风险,信用得分=50.47，有效销项金额=70363724.27，毛利率=90.99%，有效经营月份=28.0，最大作废率=3.86%，最大负数率=0.00%，进销匹配差异=0.98，客户HHI=0.411，供应商HHI=0.490
