行业类别,冲击等级,脆弱性修正系数,冲击额度折减系数,企业代号,企业名称,估计信用等级,信用得分,风险等级,是否一票否决,一票否决原因,是否高风险池,高风险池原因,是否放贷,初始建议额度_万元,额度上限_万元,最终贷款额度_万元,建议贷款年利率,客户流失率
可选消费与门店经营,高冲击,1.000000,0.750000,E244,个体经营E244 ,类C,54.352828,中风险,否,,否,,放贷,37.500000,37.500000,37.500000,0.110500,0.711101
建筑与工程,中高冲击,1.100000,0.820000,E245,***建筑劳务有限公司,类D,42.055209,高风险,否,,是,信用得分42.06 < 50,放贷,24.600000,24.600000,24.600000,0.122500,0.784481
其他服务,中冲击,1.000000,0.900000,E246,***物业服务有限公司,类B,63.056218,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.106500,0.705316
其他服务,中冲击,1.000000,0.900000,E247,***石化有限公司,类B,61.062769,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.106500,0.705316
科技与线上服务,中冲击,1.150000,0.900000,E248,***智能科技有限公司,类B,62.142189,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.106500,0.705316
建筑与工程,中高冲击,1.200000,0.820000,E249,***建筑工程有限公司,类C,54.402936,中风险,否,,否,,放贷,41.000000,41.000000,41.000000,0.110500,0.711101
其他服务,中冲击,1.000000,0.900000,E250,***塑料厂,类C,57.801607,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.110500,0.711101
医疗药品与健康服务,低冲击,1.150000,1.000000,E251,***医疗器械有限责任公司,类C,56.843927,中风险,否,,否,,放贷,50.000000,50.000000,50.000000,0.110500,0.711101
其他服务,中冲击,1.150000,0.900000,E252,***印务有限公司,类B,64.681877,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.106500,0.705316
建筑与工程,中高冲击,1.000000,0.820000,E253,***钢结构工程有限公司,类B,63.159017,中风险,否,,否,,放贷,41.000000,41.000000,41.000000,0.106500,0.705316
建筑与工程,中高冲击,1.000000,0.820000,E254,***设备安装工程有限公司,类C,50.922007,中风险,否,,否,,放贷,41.000000,41.000000,41.000000,0.110500,0.711101
可选消费与门店经营,高冲击,1.000000,0.750000,E255,个体经营E255 ,类C,55.273733,中风险,否,,否,,放贷,37.500000,37.500000,37.500000,0.110500,0.711101
普通批发商贸,中冲击,1.000000,0.900000,E256,***物资有限公司,类B,67.679909,较低风险,否,,否,,放贷,63.820726,72.000000,63.820726,0.070500,0.458295
装饰装修与家居,高冲击,1.000000,0.750000,E257,***门窗安装有限公司,类C,57.005415,中风险,否,,否,,放贷,37.500000,37.500000,37.500000,0.110500,0.711101
物流运输,中冲击,1.000000,0.900000,E258,***国际货运有限公司,类B,66.056816,较低风险,否,,否,,放贷,62.506021,72.000000,62.506021,0.070500,0.458295
文娱广告与线下服务,高冲击,1.000000,0.750000,E259,***文化传媒有限公司,类B,68.790644,较低风险,否,,否,,放贷,53.933684,60.000000,53.933684,0.070500,0.458295
文娱广告与线下服务,高冲击,1.000000,0.750000,E260,***广告有限公司,类B,67.338481,较低风险,否,,否,,放贷,52.953474,60.000000,52.953474,0.070500,0.458295
医疗药品与健康服务,低冲击,1.000000,1.000000,E261,***医疗器械有限公司,类B,65.214061,较低风险,否,,否,,放贷,68.692655,80.000000,68.692655,0.070500,0.458295
可选消费与门店经营,高冲击,1.150000,0.000000,E262,个体经营E262 ,类B,61.438590,中风险,否,,是,高冲击行业且销项收入波动系数>1.5,高冲击高风险池暂停授信,0.000000,0.000000,0.000000,0.000000,0.000000
建筑与工程,中高冲击,1.150000,0.820000,E263,***通信工程有限公司,类C,53.477960,中风险,否,,否,,放贷,41.000000,41.000000,41.000000,0.110500,0.711101
可选消费与门店经营,高冲击,1.150000,0.000000,E264,个体经营E264 ,类D,31.666860,高风险,是,最大作废率94.33% > 40%；进销匹配差异19.07 > 4,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
建筑与工程,中高冲击,1.000000,0.820000,E265,***净化工程有限公司,类B,61.348108,中风险,否,,否,,放贷,41.000000,41.000000,41.000000,0.106500,0.705316
制造与设备,中冲击,1.100000,0.900000,E266,***煤矿机械有限公司,类C,47.523550,高风险,否,,是,信用得分47.52 < 50,放贷,27.000000,27.000000,27.000000,0.122500,0.784481
其他服务,中冲击,1.100000,0.900000,E267,***林园艺场,类D,40.776081,高风险,否,,是,信用得分40.78 < 50,放贷,27.000000,27.000000,27.000000,0.122500,0.784481
建筑与工程,中高冲击,1.100000,0.820000,E268,***建筑劳务有限公司,类C,47.034112,高风险,否,,是,信用得分47.03 < 50,放贷,24.600000,24.600000,24.600000,0.122500,0.784481
其他服务,中冲击,1.250000,0.900000,E269,***节能服务有限公司,类D,39.861631,高风险,否,,是,信用得分39.86 < 50,资金不足未放贷,27.000000,27.000000,0.000000,0.122500,0.784481
可选消费与门店经营,高冲击,1.000000,0.000000,E270,个体经营E270 ,类C,49.798404,高风险,否,,是,信用得分49.80 < 50,高冲击高风险池暂停授信,0.000000,0.000000,0.000000,0.000000,0.000000
科技与线上服务,中冲击,1.150000,0.900000,E271,***科技有限公司,类B,63.529459,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.106500,0.705316
可选消费与门店经营,高冲击,1.150000,0.000000,E272,个体经营E272 ,类C,56.068128,中风险,否,,是,高冲击行业且销项收入波动系数>1.5,高冲击高风险池暂停授信,0.000000,0.000000,0.000000,0.000000,0.000000
可选消费与门店经营,高冲击,1.000000,0.750000,E273,个体经营E273 ,类B,68.028543,较低风险,否,,否,,放贷,53.419266,60.000000,53.419266,0.070500,0.458295
建筑与工程,中高冲击,1.250000,0.820000,E274,***建筑劳务有限公司,类D,35.792893,高风险,否,,是,信用得分35.79 < 50,资金不足未放贷,24.600000,24.600000,0.000000,0.122500,0.784481
建筑与工程,中高冲击,1.100000,0.820000,E275,***网络工程有限公司,类C,47.434256,高风险,否,,是,信用得分47.43 < 50,放贷,24.600000,24.600000,24.600000,0.122500,0.784481
文娱广告与线下服务,高冲击,1.150000,0.000000,E276,***体育设施工程有限公司,类C,47.946752,高风险,否,,是,信用得分47.95 < 50；高冲击行业且销项收入波动系数>1.5,高冲击高风险池暂停授信,0.000000,0.000000,0.000000,0.000000,0.000000
建筑与工程,中高冲击,1.000000,0.820000,E277,***消防设备制造有限公司,类C,57.912718,中风险,否,,否,,放贷,41.000000,41.000000,41.000000,0.110500,0.711101
