日期类型,时段编号,交叉口,版本,周期_C,南北绿灯,东西绿灯,最大饱和度,总交叉口延误_秒车,右转行人冲突系数
周末及普通休息日,2,I01,2,60,20,30,0.5540511126086788,7818.840414893371,0.75
周末及普通休息日,2,I02,2,60,20,30,0.5540511126086788,7818.840414893371,0.75
周末及普通休息日,2,I03,2,60,20,30,0.5540511126086788,7818.840414893371,0.75
周末及普通休息日,2,I04,2,60,20,30,0.5540511126086788,7818.840414893371,0.75
周末及普通休息日,2,I05,2,60,20,30,0.5540511126086788,7818.840414893371,0.75
周末及普通休息日,2,I06,2,60,20,30,0.5540511126086788,7818.840414893371,0.75
周末及普通休息日,2,I07,2,60,20,30,0.5540511126086788,7818.840414893371,0.75
周末及普通休息日,2,I08,2,60,20,30,0.5540511126086788,7818.840414893371,0.75
周末及普通休息日,2,I09,2,60,20,30,0.5540511126086788,7818.840414893371,0.75
周末及普通休息日,2,I10,2,60,20,30,0.5540511126086788,7818.840414893371,0.75
周末及普通休息日,2,I11,2,60,20,30,0.5540511126086788,7818.840414893371,0.75
周末及普通休息日,2,I12,2,60,20,30,0.5540511126086788,7818.840414893371,0.75
周末及普通休息日,3,I01,2,60,20,30,0.7012381641338541,12587.090711145596,0.75
周末及普通休息日,3,I02,2,60,20,30,0.7012381641338541,12587.090711145596,0.75
周末及普通休息日,3,I03,2,60,20,30,0.7012381641338541,12587.090711145596,0.75
周末及普通休息日,3,I04,2,60,20,30,0.7012381641338541,12587.090711145596,0.75
周末及普通休息日,3,I05,2,60,20,30,0.7012381641338541,12587.090711145596,0.75
周末及普通休息日,3,I06,2,60,20,30,0.7012381641338541,12587.090711145596,0.75
周末及普通休息日,3,I07,2,60,20,30,0.7012381641338541,12587.090711145596,0.75
周末及普通休息日,3,I08,2,60,20,30,0.7012381641338541,12587.090711145596,0.75
周末及普通休息日,3,I09,2,60,20,30,0.7012381641338541,12587.090711145596,0.75
周末及普通休息日,3,I10,2,60,20,30,0.7012381641338541,12587.090711145596,0.75
周末及普通休息日,3,I11,2,60,20,30,0.7012381641338541,12587.090711145596,0.75
周末及普通休息日,3,I12,2,60,20,30,0.7012381641338541,12587.090711145596,0.75
周末及普通休息日,4,I01,2,60,20,30,0.30999903126126965,5713.751604771824,0.75
周末及普通休息日,4,I02,2,60,20,30,0.30999903126126965,5713.751604771824,0.75
周末及普通休息日,4,I03,2,60,20,30,0.30999903126126965,5713.751604771824,0.75
周末及普通休息日,4,I04,2,60,20,30,0.30999903126126965,5713.751604771824,0.75
周末及普通休息日,4,I05,2,60,20,30,0.30999903126126965,5713.751604771824,0.75
周末及普通休息日,4,I06,2,60,20,30,0.30999903126126965,5713.751604771824,0.75
周末及普通休息日,4,I07,2,60,20,30,0.30999903126126965,5713.751604771824,0.75
周末及普通休息日,4,I08,2,60,20,30,0.30999903126126965,5713.751604771824,0.75
周末及普通休息日,4,I09,2,60,20,30,0.30999903126126965,5713.751604771824,0.75
周末及普通休息日,4,I10,2,60,20,30,0.30999903126126965,5713.751604771824,0.75
周末及普通休息日,4,I11,2,60,20,30,0.30999903126126965,5713.751604771824,0.75
周末及普通休息日,4,I12,2,60,20,30,0.30999903126126965,5713.751604771824,0.75
周末及普通休息日,5,I01,2,60,20,30,0.17225155706827266,2936.9303830806125,0.75
周末及普通休息日,5,I02,2,60,20,30,0.17225155706827266,2936.9303830806125,0.75
周末及普通休息日,5,I03,2,60,20,30,0.17225155706827266,2936.9303830806125,0.75
周末及普通休息日,5,I04,2,60,20,30,0.17225155706827266,2936.9303830806125,0.75
周末及普通休息日,5,I05,2,60,20,30,0.17225155706827266,2936.9303830806125,0.75
周末及普通休息日,5,I06,2,60,20,30,0.17225155706827266,2936.9303830806125,0.75
周末及普通休息日,5,I07,2,60,20,30,0.17225155706827266,2936.9303830806125,0.75
周末及普通休息日,5,I08,2,60,20,30,0.17225155706827266,2936.9303830806125,0.75
周末及普通休息日,5,I09,2,60,20,30,0.17225155706827266,2936.9303830806125,0.75
周末及普通休息日,5,I10,2,60,20,30,0.17225155706827266,2936.9303830806125,0.75
周末及普通休息日,5,I11,2,60,20,30,0.17225155706827266,2936.9303830806125,0.75
周末及普通休息日,5,I12,2,60,20,30,0.17225155706827266,2936.9303830806125,0.75
工作日,1,I01,2,60,20,30,0.08499001081718557,1124.210582656727,0.75
工作日,1,I02,2,60,20,30,0.08499001081718557,1124.210582656727,0.75
工作日,1,I03,2,60,20,30,0.08499001081718557,1124.210582656727,0.75
工作日,1,I04,2,60,20,30,0.08499001081718557,1124.210582656727,0.75
工作日,1,I05,2,60,20,30,0.08499001081718557,1124.210582656727,0.75
工作日,1,I06,2,60,20,30,0.08499001081718557,1124.210582656727,0.75
工作日,1,I07,2,60,20,30,0.08499001081718557,1124.210582656727,0.75
工作日,1,I08,2,60,20,30,0.08499001081718557,1124.210582656727,0.75
工作日,1,I09,2,60,20,30,0.08499001081718557,1124.210582656727,0.75
工作日,1,I10,2,60,20,30,0.08499001081718557,1124.210582656727,0.75
工作日,1,I11,2,60,20,30,0.08499001081718557,1124.210582656727,0.75
工作日,1,I12,2,60,20,30,0.08499001081718557,1124.210582656727,0.75
工作日,2,I01,2,60,20,30,0.6412547867889566,9647.756479025238,0.75
工作日,2,I02,2,60,20,30,0.6412547867889566,9647.756479025238,0.75
工作日,2,I03,2,60,20,30,0.6412547867889566,9647.756479025238,0.75
工作日,2,I04,2,60,20,30,0.6412547867889566,9647.756479025238,0.75
工作日,2,I05,2,60,20,30,0.6412547867889566,9647.756479025238,0.75
工作日,2,I06,2,60,20,30,0.6412547867889566,9647.756479025238,0.75
工作日,2,I07,2,60,20,30,0.6412547867889566,9647.756479025238,0.75
工作日,2,I08,2,60,20,30,0.6412547867889566,9647.756479025238,0.75
工作日,2,I09,2,60,20,30,0.6412547867889566,9647.756479025238,0.75
工作日,2,I10,2,60,20,30,0.6412547867889566,9647.756479025238,0.75
工作日,2,I11,2,60,20,30,0.6412547867889566,9647.756479025238,0.75
工作日,2,I12,2,60,20,30,0.6412547867889566,9647.756479025238,0.75
工作日,3,I01,2,60,20,30,0.38493425473236953,5483.210153775539,0.75
工作日,3,I02,2,60,20,30,0.38493425473236953,5483.210153775539,0.75
工作日,3,I03,2,60,20,30,0.38493425473236953,5483.210153775539,0.75
工作日,3,I04,2,60,20,30,0.38493425473236953,5483.210153775539,0.75
工作日,3,I05,2,60,20,30,0.38493425473236953,5483.210153775539,0.75
工作日,3,I06,2,60,20,30,0.38493425473236953,5483.210153775539,0.75
工作日,3,I07,2,60,20,30,0.38493425473236953,5483.210153775539,0.75
工作日,3,I08,2,60,20,30,0.38493425473236953,5483.210153775539,0.75
工作日,3,I09,2,60,20,30,0.38493425473236953,5483.210153775539,0.75
工作日,3,I10,2,60,20,30,0.38493425473236953,5483.210153775539,0.75
工作日,3,I11,2,60,20,30,0.38493425473236953,5483.210153775539,0.75
工作日,3,I12,2,60,20,30,0.38493425473236953,5483.210153775539,0.75
工作日,4,I01,2,60,20,30,0.6065017181139274,9973.265289712383,0.75
工作日,4,I02,2,60,20,30,0.6065017181139274,9973.265289712383,0.75
工作日,4,I03,2,60,20,30,0.6065017181139274,9973.265289712383,0.75
工作日,4,I04,2,60,20,30,0.6065017181139274,9973.265289712383,0.75
工作日,4,I05,2,60,20,30,0.6065017181139274,9973.265289712383,0.75
工作日,4,I06,2,60,20,30,0.6065017181139274,9973.265289712383,0.75
工作日,4,I07,2,60,20,30,0.6065017181139274,9973.265289712383,0.75
工作日,4,I08,2,60,20,30,0.6065017181139274,9973.265289712383,0.75
工作日,4,I09,2,60,20,30,0.6065017181139274,9973.265289712383,0.75
工作日,4,I10,2,60,20,30,0.6065017181139274,9973.265289712383,0.75
工作日,4,I11,2,60,20,30,0.6065017181139274,9973.265289712383,0.75
工作日,4,I12,2,60,20,30,0.6065017181139274,9973.265289712383,0.75
工作日,5,I01,2,60,20,30,0.3411216461823372,5367.612496226337,0.75
工作日,5,I02,2,60,20,30,0.3411216461823372,5367.612496226337,0.75
工作日,5,I03,2,60,20,30,0.3411216461823372,5367.612496226337,0.75
工作日,5,I04,2,60,20,30,0.3411216461823372,5367.612496226337,0.75
工作日,5,I05,2,60,20,30,0.3411216461823372,5367.612496226337,0.75
工作日,5,I06,2,60,20,30,0.3411216461823372,5367.612496226337,0.75
工作日,5,I07,2,60,20,30,0.3411216461823372,5367.612496226337,0.75
工作日,5,I08,2,60,20,30,0.3411216461823372,5367.612496226337,0.75
工作日,5,I09,2,60,20,30,0.3411216461823372,5367.612496226337,0.75
工作日,5,I10,2,60,20,30,0.3411216461823372,5367.612496226337,0.75
工作日,5,I11,2,60,20,30,0.3411216461823372,5367.612496226337,0.75
工作日,5,I12,2,60,20,30,0.3411216461823372,5367.612496226337,0.75
工作日,6,I01,2,60,20,30,0.5680754866966014,9854.378864946299,0.75
工作日,6,I02,2,60,20,30,0.5680754866966014,9854.378864946299,0.75
工作日,6,I03,2,60,20,30,0.5680754866966014,9854.378864946299,0.75
工作日,6,I04,2,60,20,30,0.5680754866966014,9854.378864946299,0.75
工作日,6,I05,2,60,20,30,0.5680754866966014,9854.378864946299,0.75
工作日,6,I06,2,60,20,30,0.5680754866966014,9854.378864946299,0.75
工作日,6,I07,2,60,20,30,0.5680754866966014,9854.378864946299,0.75
工作日,6,I08,2,60,20,30,0.5680754866966014,9854.378864946299,0.75
工作日,6,I09,2,60,20,30,0.5680754866966014,9854.378864946299,0.75
工作日,6,I10,2,60,20,30,0.5680754866966014,9854.378864946299,0.75
工作日,6,I11,2,60,20,30,0.5680754866966014,9854.378864946299,0.75
工作日,6,I12,2,60,20,30,0.5680754866966014,9854.378864946299,0.75
工作日,7,I01,2,60,20,30,0.24914278197278752,4206.514481241365,0.75
工作日,7,I02,2,60,20,30,0.24914278197278752,4206.514481241365,0.75
工作日,7,I03,2,60,20,30,0.24914278197278752,4206.514481241365,0.75
工作日,7,I04,2,60,20,30,0.24914278197278752,4206.514481241365,0.75
工作日,7,I05,2,60,20,30,0.24914278197278752,4206.514481241365,0.75
工作日,7,I06,2,60,20,30,0.24914278197278752,4206.514481241365,0.75
工作日,7,I07,2,60,20,30,0.24914278197278752,4206.514481241365,0.75
工作日,7,I08,2,60,20,30,0.24914278197278752,4206.514481241365,0.75
工作日,7,I09,2,60,20,30,0.24914278197278752,4206.514481241365,0.75
工作日,7,I10,2,60,20,30,0.24914278197278752,4206.514481241365,0.75
工作日,7,I11,2,60,20,30,0.24914278197278752,4206.514481241365,0.75
工作日,7,I12,2,60,20,30,0.24914278197278752,4206.514481241365,0.75
工作日,8,I01,2,60,20,30,0.14406856537167878,2425.117796167831,0.75
工作日,8,I02,2,60,20,30,0.14406856537167878,2425.117796167831,0.75
工作日,8,I03,2,60,20,30,0.14406856537167878,2425.117796167831,0.75
工作日,8,I04,2,60,20,30,0.14406856537167878,2425.117796167831,0.75
工作日,8,I05,2,60,20,30,0.14406856537167878,2425.117796167831,0.75
工作日,8,I06,2,60,20,30,0.14406856537167878,2425.117796167831,0.75
工作日,8,I07,2,60,20,30,0.14406856537167878,2425.117796167831,0.75
工作日,8,I08,2,60,20,30,0.14406856537167878,2425.117796167831,0.75
工作日,8,I09,2,60,20,30,0.14406856537167878,2425.117796167831,0.75
工作日,8,I10,2,60,20,30,0.14406856537167878,2425.117796167831,0.75
工作日,8,I11,2,60,20,30,0.14406856537167878,2425.117796167831,0.75
工作日,8,I12,2,60,20,30,0.14406856537167878,2425.117796167831,0.75
